DATE,ACTUAL_VALUE,D+1
2023-12-01,5.61,5.3611516249056805
2023-12-02,5.0,5.7106103844838465
2023-12-03,4.91,4.437747567202422
2023-12-04,4.96,5.270948283687065
2023-12-05,4.68,4.586600183692678
2023-12-06,9.45,5.052640526300921
2023-12-07,6.28,7.910054715427063
2023-12-08,5.35,6.54906729611017
2023-12-09,8.8,5.3830557676233335
2023-12-10,6.06,6.822637429634415
2023-12-11,7.0,5.818974187063461
2023-12-12,8.68,6.849575071682422
2023-12-13,6.37,7.9152332458189605
2023-12-14,5.9,7.032980839552946
2023-12-15,5.5,6.293497004711777
2023-12-16,5.57,5.696203037830576
2023-12-17,6.68,5.583579599216218
2023-12-18,6.57,6.205707288596995
2023-12-19,6.16,6.353826245670924
2023-12-20,5.64,6.385020060665516
2023-12-21,5.14,5.724429737665179
2023-12-22,5.0,5.333485678437657
2023-12-23,6.15,5.170184839273628
2023-12-24,7.2,5.847740140011117
2023-12-25,6.65,6.438223821492103
2023-12-26,6.26,6.331352082311971
2023-12-27,6.36,5.974438429929607
2023-12-28,5.73,5.873199898199978
2023-12-29,5.37,5.6946276235568645
2023-12-30,5.02,5.7752304090700575
2023-12-31,6.83,5.453983588967196
2024-01-01,5.25,6.634925903250055
2024-01-02,5.19,5.185791351219193
2024-01-03,4.88,5.199802626497014
2024-01-04,4.64,4.672277939206103
2024-01-05,4.9,4.885352313255628
2024-01-06,4.22,4.9364264179526325
2024-01-07,3.95,4.708339304154945
2024-01-08,3.98,4.240854776010105
2024-01-09,3.69,4.20366847989118
2024-01-10,3.54,3.7041228278327414
2024-01-11,3.47,3.691707781663049
2024-01-12,3.21,3.5237151595015486
2024-01-13,3.68,3.417685962865922
2024-01-14,3.13,3.652353658482247
2024-01-15,3.0,3.2713499289934496
2024-01-16,3.05,3.0670122256512626
2024-01-17,2.88,3.01291716484392
2024-01-18,2.78,2.9316078667435224
2024-01-19,2.59,2.8564138596208197
2024-01-20,4.0,2.7432211266984945
2024-01-21,6.9,3.5162686875875053
2024-01-22,4.56,5.015345478724618
2024-01-23,3.99,4.189182850999477
2024-01-24,3.5,3.849109163919719
2024-01-25,3.5,3.5221001276029456
2024-01-26,3.17,3.8734382737916873
2024-01-27,3.52,3.6291603750217702
2024-01-28,4.4,3.8507710414639593
2024-01-29,3.98,3.933024664116468
2024-01-30,3.9,3.6512795277475893
2024-01-31,3.65,3.4445535499467064
2024-02-01,3.35,3.4962975669064065
2024-02-02,3.1,3.5233230674169085
2024-02-03,3.17,3.557887897973008
2024-02-04,4.86,3.494702011392119
2024-02-05,3.4,4.272786637687754
2024-02-06,3.16,3.300870229255458
2024-02-07,2.96,3.0936932937918504
2024-02-08,3.44,2.8307853340719746
2024-02-09,2.9,3.4962595700306505
2024-02-10,2.83,3.1912144194736647
2024-02-11,2.73,3.252824086849422
2024-02-12,2.8,2.765894046739272
2024-02-13,2.52,2.7562521291850146
2024-02-14,2.35,2.390945649713189
2024-02-15,2.33,2.4177609097399
2024-02-16,2.11,2.3695689442616934
2024-02-17,2.19,2.399424432189753
2024-02-18,3.61,2.299683767286927
2024-02-19,3.07,3.085310433645095
2024-02-20,2.89,2.6994090778742437
2024-02-21,2.5,2.7257290964928904
2024-02-22,2.4,2.3713930816541726
2024-02-23,2.2,2.5918825538763626
2024-02-24,3.17,2.4264713784111187
