DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01 20:00:00,12.05,9.848107010021236,"(1, 0, 0)"
2023-12-02 20:00:00,10.74,11.62972120274949,"(2, 0, 1)"
2023-12-03 20:00:00,9.42,10.49127331253569,"(2, 0, 1)"
2023-12-04 20:00:00,9.47,9.321566571028974,"(2, 0, 1)"
2023-12-05 20:00:00,9.21,9.35045901176646,"(3, 0, 1)"
2023-12-06 20:00:00,9.02,9.119936514589087,"(2, 0, 1)"
2023-12-07 20:00:00,8.53,8.940037914061033,"(2, 0, 1)"
2023-12-08 20:00:00,8.17,8.502459105323174,"(2, 0, 1)"
2023-12-09 20:00:00,9.65,8.153877990466375,"(3, 0, 1)"
2023-12-10 20:00:00,9.11,9.392536174004379,"(2, 0, 1)"
2023-12-11 20:00:00,9.43,8.923481306631011,"(2, 0, 1)"
2023-12-12 20:00:00,9.02,9.169785579846684,"(2, 0, 1)"
2023-12-13 20:00:00,8.61,8.811164421563966,"(2, 0, 1)"
2023-12-14 20:00:00,8.06,8.472521350749776,"(2, 0, 1)"
2023-12-15 20:00:00,7.54,8.018962479341203,"(2, 0, 1)"
2023-12-16 20:00:00,7.08,7.582924288995613,"(2, 0, 1)"
2023-12-17 20:00:00,6.96,7.207176367155755,"(2, 0, 1)"
2023-12-18 20:00:00,7.16,7.119275856001914,"(2, 0, 1)"
2023-12-19 20:00:00,7.09,7.24169529910275,"(2, 0, 1)"
2023-12-20 20:00:00,6.51,7.173743547779982,"(2, 0, 1)"
2023-12-21 20:00:00,5.69,6.6716439419613085,"(2, 0, 1)"
2023-12-22 20:00:00,5.73,5.901907878784915,"(2, 0, 1)"
2023-12-23 20:00:00,7.55,5.908221431782087,"(2, 0, 1)"
2023-12-24 20:00:00,9.25,7.503464085144316,"(2, 0, 1)"
2023-12-25 20:00:00,9.98,8.742084569774606,"(2, 0, 1)"
2023-12-26 20:00:00,9.27,9.444065447341558,"(2, 0, 1)"
2023-12-27 20:00:00,8.87,8.878220963058949,"(2, 0, 1)"
2023-12-28 20:00:00,8.0,8.563307632074768,"(2, 0, 1)"
