DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01,13.24,10.092412872485442,"(1, 0, 4)"
2023-12-02,9.84,12.245737872519284,"(1, 0, 4)"
2023-12-03,9.25,11.21780168957383,"(3, 0, 4)"
2023-12-04,13.26,13.678305049745092,"(3, 0, 4)"
2023-12-05,12.46,17.49413224577227,"(3, 0, 3)"
2023-12-06,10.0,9.617252995476864,"(4, 0, 3)"
2023-12-07,9.44,7.961993961940322,"(2, 0, 3)"
2023-12-08,13.0,17.648191939390106,"(1, 0, 4)"
2023-12-09,10.55,10.270825154213046,"(1, 0, 2)"
2023-12-10,66.31,29.402423811525694,"(1, 0, 3)"
2023-12-11,33.92,34.821449753745796,"(1, 0, 3)"
2023-12-12,17.82,15.784791392580015,"(4, 0, 3)"
2023-12-13,15.8,19.84927542096073,"(1, 0, 3)"
2023-12-14,12.5,8.382777119585686,"(1, 0, 2)"
2023-12-15,10.1,10.368881126635086,"(1, 0, 2)"
2023-12-16,12.4,14.713099195309056,"(1, 0, 2)"
2023-12-17,36.83,20.755360140473652,"(1, 0, 2)"
2023-12-18,29.79,34.337725631111695,"(2, 0, 2)"
2023-12-19,25.9,24.560832038998516,"(1, 0, 4)"
2023-12-20,20.67,23.627060288172675,"(2, 0, 3)"
2023-12-21,32.75,35.32092170585787,"(2, 0, 4)"
2023-12-22,45.0,36.85027815963963,"(1, 0, 4)"
2023-12-23,40.97,39.597858978185585,"(3, 0, 4)"
2023-12-24,37.66,31.32086927251181,"(1, 0, 3)"
2023-12-25,38.86,40.246754824022844,"(1, 0, 4)"
2023-12-26,32.15,37.6465724689626,"(3, 0, 3)"
2023-12-27,22.31,16.84253723008978,"(1, 0, 3)"
2023-12-28,39.17,33.71267658256959,"(1, 0, 3)"
2023-12-29,33.88,39.859312544238065,"(1, 0, 2)"
2023-12-30,29.94,30.751357714912455,"(1, 0, 2)"
2023-12-31,24.49,19.29628857995276,"(1, 0, 2)"
2024-01-01,25.21,32.13006260726852,"(1, 0, 2)"
2024-01-02,20.63,15.84288260416786,"(1, 0, 2)"
2024-01-03,31.99,31.59780687737716,"(1, 0, 2)"
2024-01-04,25.89,23.85692165924536,"(1, 0, 2)"
2024-01-05,17.65,11.153282106758992,"(1, 0, 2)"
2024-01-06,15.64,17.089454050262763,"(1, 0, 2)"
2024-01-07,14.09,13.80618978602186,"(1, 0, 2)"
2024-01-08,12.18,13.46792807629058,"(1, 0, 2)"
2024-01-09,9.7,9.408574029301619,"(1, 0, 2)"
2024-01-10,7.85,8.075946943701233,"(1, 0, 2)"
2024-01-11,6.8,7.84806648833214,"(1, 0, 2)"
2024-01-12,5.51,6.694303464019151,"(1, 0, 2)"
2024-01-13,7.14,9.7581527344127,"(1, 0, 2)"
2024-01-14,13.97,15.271343581146335,"(1, 0, 2)"
2024-01-15,18.57,17.68768831607254,"(2, 0, 2)"
2024-01-16,10.04,10.107080183581358,"(2, 0, 2)"
2024-01-17,8.98,10.317884040590801,"(2, 0, 2)"
2024-01-18,6.94,6.419661627365945,"(2, 0, 2)"
2024-01-19,6.7,9.917238036193215,"(1, 0, 2)"
2024-01-20,7.64,10.609587900290151,"(1, 0, 2)"
2024-01-21,7.5,8.460138955320401,"(1, 0, 2)"
2024-01-22,34.61,16.0518342077433,"(4, 0, 2)"
2024-01-23,24.98,22.35317179434848,"(1, 0, 2)"
2024-01-24,37.96,19.447656138242866,"(1, 0, 3)"
2024-01-25,25.89,23.075535210512932,"(1, 0, 2)"
2024-01-26,16.05,9.53114597720349,"(1, 0, 2)"
2024-01-27,15.4,20.74317427627326,"(1, 0, 2)"
2024-01-28,11.2,9.126983280216846,"(1, 0, 2)"
2024-01-29,15.54,15.145740469447803,"(1, 0, 2)"
2024-01-30,10.0,7.181382008899626,"(1, 0, 3)"
2024-01-31,8.19,12.6126235228308,"(1, 0, 3)"
2024-02-01,22.52,14.434439582412413,"(1, 0, 3)"
2024-02-02,12.28,12.98705510694777,"(1, 0, 2)"
2024-02-03,24.96,19.671942433810152,"(1, 0, 2)"
2024-02-04,22.5,21.106940555836253,"(1, 0, 2)"
2024-02-05,25.55,22.932364538961902,"(2, 0, 2)"
2024-02-06,23.3,22.967312777475435,"(2, 0, 2)"
2024-02-07,22.46,20.539036123439676,"(2, 0, 1)"
2024-02-08,13.25,7.523166283630585,"(2, 0, 2)"
2024-02-09,11.45,16.375473284020835,"(2, 0, 2)"
2024-02-10,9.38,9.24326306479142,"(2, 0, 2)"
2024-02-11,10.29,12.084210741032216,"(2, 0, 2)"
2024-02-12,8.65,9.077410170277485,"(2, 0, 2)"
2024-02-13,7.7,9.272204396528528,"(2, 0, 2)"
2024-02-14,6.23,9.07047050743637,"(1, 0, 4)"
2024-02-15,5.72,7.1147455704635645,"(1, 0, 4)"
2024-02-16,5.04,8.442737043938022,"(3, 0, 2)"
2024-02-17,4.8,6.505490296653618,"(1, 0, 4)"
2024-02-18,4.3,4.295526662017893,"(2, 0, 2)"
2024-02-19,9.95,7.754143886572901,"(2, 0, 2)"
2024-02-20,5.97,6.832152983767375,"(2, 0, 2)"
2024-02-21,7.46,7.860673894016788,"(2, 0, 2)"
2024-02-22,12.26,8.346004979278401,"(2, 0, 2)"
2024-02-23,35.02,13.897284892661766,"(2, 0, 2)"
2024-02-24,12.22,9.86559896378068,"(4, 0, 2)"
2024-02-25,10.21,10.908822650879195,"(1, 0, 4)"
2024-02-26,8.08,6.015096805876354,"(1, 0, 4)"
2024-02-27,6.49,6.771743786749105,"(1, 0, 4)"
2024-02-28,5.4,6.1248259586273335,"(1, 0, 4)"
2024-02-29,6.04,7.091854670212463,"(1, 0, 4)"
2024-03-01,5.05,6.586143568222185,"(1, 0, 3)"
2024-03-02,4.7,5.596090398645372,"(1, 0, 3)"
2024-03-03,4.43,6.440818366567387,"(1, 0, 3)"
2024-03-04,4.8,3.328917157322611,"(1, 0, 3)"
2024-03-05,4.37,5.201610211013455,"(4, 0, 2)"
2024-03-06,3.72,4.2338696642242954,"(4, 0, 2)"
2024-03-07,3.18,3.9764870593812836,"(1, 0, 4)"
2024-03-08,3.44,5.190310959331909,"(3, 0, 4)"
2024-03-09,4.9,6.600893696134296,"(2, 0, 4)"
2024-03-10,5.89,6.710395177668445,"(1, 0, 3)"
2024-03-11,4.58,6.1678885859430865,"(1, 0, 4)"
2024-03-12,3.87,3.0083768089000547,"(2, 0, 3)"
2024-03-13,3.09,3.9191583222569433,"(1, 0, 3)"
2024-03-14,2.84,3.9743809737967095,"(1, 0, 3)"
2024-03-15,5.57,4.735405329382537,"(4, 0, 2)"
2024-03-16,8.36,6.881432730585479,"(4, 0, 2)"
2024-03-17,5.23,4.45484407102576,"(1, 0, 3)"
2024-03-18,6.9,5.657104225451031,"(4, 0, 2)"
2024-03-19,4.42,3.8719452052542294,"(4, 0, 2)"
2024-03-20,3.55,3.9031558542820086,"(4, 0, 2)"
2024-03-21,2.86,3.6824994217583407,"(4, 0, 2)"
2024-03-22,3.4,4.563780909904606,"(1, 0, 3)"
2024-03-23,4.13,3.483324429600175,"(1, 0, 3)"
2024-03-24,11.76,7.317172217218295,"(2, 0, 3)"
2024-03-25,6.66,8.43928497311321,"(4, 0, 2)"
2024-03-26,4.88,4.270184742888275,"(1, 0, 4)"
2024-03-27,4.26,4.927185383109132,"(1, 0, 3)"
2024-03-28,3.81,3.7616130414331694,"(1, 0, 3)"
2024-03-29,14.47,7.15766038867998,"(2, 0, 3)"
2024-03-30,7.65,5.718963964420881,"(1, 0, 3)"
2024-03-31,7.09,5.852180838328784,"(1, 0, 3)"
2024-04-01,6.45,5.74483758641445,"(1, 0, 3)"
2024-04-02,8.04,9.216565417642578,"(4, 0, 2)"
2024-04-03,5.95,5.265309456807867,"(1, 0, 4)"
2024-04-04,6.0,6.702946398577712,"(1, 0, 3)"
2024-04-05,5.4,5.236764806823113,"(1, 0, 4)"
2024-04-06,5.79,6.27648421111845,"(2, 0, 3)"
2024-04-07,9.28,7.025989010333861,"(2, 0, 3)"
2024-04-08,6.23,4.234353731145814,"(2, 0, 3)"
2024-04-09,5.18,6.083787455116633,"(4, 0, 2)"
2024-04-10,12.44,7.495354341189209,"(4, 0, 2)"
2024-04-11,9.19,4.866715652788746,"(1, 0, 4)"
2024-04-12,7.0,9.111805873504897,"(3, 0, 2)"
2024-04-13,6.74,9.51645635994425,"(3, 0, 2)"
2024-04-14,12.63,8.953154168754015,"(1, 0, 3)"
2024-04-15,7.88,5.696842617451083,"(3, 0, 2)"
2024-04-16,19.75,11.673938769099134,"(3, 0, 2)"
2024-04-17,12.22,5.928024533833488,"(4, 0, 2)"
2024-04-18,8.38,6.226853927342937,"(4, 0, 2)"
