DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01 08:00:00,39.4,24.051946076204125,"(2, 0, 4)"
2023-12-02 08:00:00,22.46,27.795885552551457,"(4, 0, 4)"
2023-12-03 08:00:00,17.19,19.178719157262485,"(2, 0, 4)"
2023-12-04 08:00:00,17.19,19.71217309661022,"(2, 0, 4)"
2023-12-05 08:00:00,16.01,19.66497914455434,"(2, 0, 4)"
2023-12-06 08:00:00,60.0,17.482013179956965,"(4, 0, 4)"
2023-12-07 08:00:00,35.02,32.74525383249117,"(4, 0, 4)"
2023-12-08 08:00:00,22.95,26.541238845601754,"(1, 0, 4)"
2023-12-09 08:00:00,18.29,24.324763748594304,"(1, 0, 3)"
2023-12-10 08:00:00,14.95,18.53852979104941,"(4, 0, 4)"
2023-12-11 08:00:00,16.75,20.019507105079903,"(1, 0, 3)"
2023-12-12 08:00:00,22.18,20.770436019771687,"(1, 0, 3)"
2023-12-13 08:00:00,17.68,20.90470440153671,"(4, 0, 4)"
2023-12-14 08:00:00,17.42,19.28323185820197,"(2, 0, 4)"
2023-12-15 08:00:00,16.58,18.53177450471738,"(2, 0, 4)"
2023-12-16 08:00:00,15.03,15.790911305187748,"(2, 0, 4)"
2023-12-17 08:00:00,13.0,15.54661852627439,"(4, 0, 4)"
2023-12-18 08:00:00,14.05,15.05792776588553,"(4, 0, 4)"
2023-12-19 08:00:00,15.09,14.927915565468206,"(4, 0, 4)"
2023-12-20 08:00:00,13.51,13.627977060139976,"(4, 0, 4)"
2023-12-21 08:00:00,12.27,12.611609206235352,"(2, 0, 4)"
2023-12-22 08:00:00,11.0,13.365210921065632,"(1, 0, 3)"
2023-12-23 08:00:00,9.76,12.282556862374603,"(1, 0, 3)"
2023-12-24 08:00:00,8.78,9.710016806532165,"(1, 0, 3)"
2023-12-25 08:00:00,8.5,9.618362256450459,"(1, 0, 3)"
2023-12-26 08:00:00,7.8,8.954329307814449,"(1, 0, 3)"
2023-12-27 08:00:00,13.62,10.65617519362195,"(2, 0, 3)"
2023-12-28 08:00:00,11.58,11.60317609311721,"(1, 0, 3)"
2023-12-29 08:00:00,9.51,11.320760025148529,"(1, 0, 3)"
2023-12-30 08:00:00,8.47,9.929461204102658,"(1, 0, 3)"
2023-12-31 08:00:00,7.38,8.917992746115997,"(1, 0, 3)"
2024-01-01 08:00:00,6.66,7.972544572547153,"(4, 0, 4)"
2024-01-02 08:00:00,9.03,8.575957173650002,"(4, 0, 4)"
2024-01-03 08:00:00,7.88,8.282286473156372,"(1, 0, 3)"
2024-01-04 08:00:00,8.44,8.980685992958575,"(1, 0, 3)"
2024-01-05 08:00:00,7.83,8.795581844816274,"(2, 0, 1)"
2024-01-06 08:00:00,6.67,8.010680921231806,"(1, 0, 3)"
2024-01-07 08:00:00,5.98,6.591440692588126,"(1, 0, 3)"
2024-01-08 08:00:00,6.65,7.600693893916056,"(4, 0, 3)"
2024-01-09 08:00:00,7.92,7.972762549149557,"(4, 0, 3)"
2024-01-10 08:00:00,75.89,8.625549867316877,"(4, 0, 3)"
2024-01-11 08:00:00,22.83,29.808838489164447,"(4, 0, 2)"
2024-01-12 08:00:00,16.38,12.833226389675694,"(1, 0, 4)"
2024-01-13 08:00:00,9.95,9.771832731157676,"(3, 0, 3)"
2024-01-14 08:00:00,8.05,8.75862141265547,"(1, 0, 3)"
2024-01-15 08:00:00,9.24,8.179550511795243,"(4, 0, 3)"
2024-01-16 08:00:00,12.0,11.123330363513842,"(1, 0, 3)"
2024-01-17 08:00:00,11.04,10.343256539898254,"(4, 0, 2)"
2024-01-18 08:00:00,9.91,12.683364796571336,"(4, 0, 2)"
2024-01-19 08:00:00,8.89,8.784329086213798,"(4, 0, 2)"
2024-01-20 08:00:00,7.74,9.257524658696529,"(4, 0, 2)"
2024-01-21 08:00:00,6.81,7.225751541526732,"(4, 0, 3)"
2024-01-22 08:00:00,7.26,7.4608003530154585,"(4, 0, 3)"
2024-01-23 08:00:00,7.31,6.564128044709851,"(4, 0, 3)"
2024-01-24 08:00:00,6.78,6.093029538344948,"(4, 0, 3)"
2024-01-25 08:00:00,14.0,8.80162129140469,"(4, 0, 2)"
2024-01-26 08:00:00,8.16,9.476596768880567,"(4, 0, 3)"
2024-01-27 08:00:00,6.72,7.428922916880564,"(1, 0, 3)"
2024-01-28 08:00:00,6.12,4.804203005955071,"(3, 0, 4)"
2024-01-29 08:00:00,6.9,8.846681557250914,"(2, 0, 3)"
2024-01-30 08:00:00,7.21,7.999294873940337,"(1, 0, 3)"
2024-01-31 08:00:00,9.21,8.332705250381753,"(4, 0, 3)"
2024-02-01 08:00:00,7.38,7.347513960723347,"(1, 0, 3)"
2024-02-02 08:00:00,8.84,7.329453543288585,"(4, 0, 3)"
2024-02-03 08:00:00,6.69,6.149485553966224,"(3, 0, 4)"
2024-02-04 08:00:00,5.91,6.437000859320819,"(3, 0, 3)"
2024-02-05 08:00:00,6.9,6.141914837842467,"(3, 0, 4)"
2024-02-06 08:00:00,6.86,7.468554015003942,"(3, 0, 3)"
2024-02-07 08:00:00,7.16,10.109286363673952,"(3, 0, 3)"
2024-02-08 08:00:00,12.88,8.566363463082421,"(2, 0, 3)"
2024-02-09 08:00:00,7.44,9.662935477615212,"(2, 0, 3)"
2024-02-10 08:00:00,6.4,8.134178358421309,"(2, 0, 3)"
2024-02-11 08:00:00,5.7,6.677037072310885,"(2, 0, 3)"
2024-02-12 08:00:00,6.35,6.507486467729645,"(4, 0, 3)"
2024-02-13 08:00:00,6.12,7.850691004392758,"(3, 0, 3)"
2024-02-14 08:00:00,5.61,8.071148924054349,"(3, 0, 3)"
2024-02-15 08:00:00,5.88,8.106475190809952,"(3, 0, 3)"
2024-02-16 08:00:00,5.2,4.880904498692603,"(1, 0, 3)"
2024-02-17 08:00:00,4.83,6.085462167786696,"(2, 0, 3)"
2024-02-18 08:00:00,4.38,4.4527932790931235,"(1, 0, 3)"
2024-02-19 08:00:00,6.02,5.187670077685414,"(1, 0, 3)"
2024-02-20 08:00:00,7.12,5.803251673161186,"(1, 0, 3)"
2024-02-21 08:00:00,6.47,7.365593563558637,"(2, 0, 3)"
2024-02-22 08:00:00,6.56,7.327530529096364,"(2, 0, 3)"
2024-02-23 08:00:00,6.35,5.922062337271001,"(2, 0, 3)"
2024-02-24 08:00:00,5.73,7.0991172702506935,"(2, 0, 3)"
2024-02-25 08:00:00,5.01,6.062666942700915,"(2, 0, 3)"
2024-02-26 08:00:00,5.42,5.900944083281421,"(1, 0, 3)"
2024-02-27 08:00:00,5.37,6.344906972788478,"(2, 0, 3)"
2024-02-28 08:00:00,11.22,6.491368697563106,"(2, 0, 3)"
2024-02-29 08:00:00,6.86,8.81278699391626,"(2, 0, 3)"
2024-03-01 08:00:00,5.64,6.842851272323977,"(1, 0, 3)"
2024-03-02 08:00:00,4.96,4.677228723907718,"(1, 0, 3)"
2024-03-03 08:00:00,4.42,4.566311667174007,"(2, 0, 3)"
2024-03-04 08:00:00,5.67,6.720203625376416,"(2, 0, 3)"
2024-03-05 08:00:00,5.3,6.589483556255316,"(2, 0, 3)"
2024-03-06 08:00:00,7.19,6.404333904136458,"(2, 0, 3)"
