DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01 04:00:00,14.86,10.698507809758649,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-02 04:00:00,10.53,13.367178796017242,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-03 04:00:00,9.34,10.020223088395454,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-04 04:00:00,10.0,9.131727667433099,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-05 04:00:00,8.92,9.849537323687953,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-06 04:00:00,30.0,8.398966305923421,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-07 04:00:00,14.9,29.553647250882044,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-08 04:00:00,11.19,14.555743515508293,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-09 04:00:00,9.9,10.921779601153506,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-10 04:00:00,8.91,9.470255308714485,"(1, 0, 0)","(1, 0, 0, 7)"
2023-12-11 04:00:00,13.28,8.692141730238047,"(1, 0, 0)","(1, 0, 0, 7)"
2023-12-12 04:00:00,13.75,12.699534647985862,"(1, 0, 0)","(1, 0, 0, 7)"
2023-12-13 04:00:00,11.78,17.263249797577505,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-14 04:00:00,12.26,10.177996320695955,"(1, 0, 0)","(1, 0, 0, 7)"
2023-12-15 04:00:00,11.64,11.39503168155637,"(1, 0, 0)","(1, 0, 0, 7)"
2023-12-16 04:00:00,9.89,11.164018229272637,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-17 04:00:00,9.24,9.509256129819246,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-18 04:00:00,12.42,9.39234094164217,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-19 04:00:00,10.52,12.00314789327546,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-20 04:00:00,9.27,9.70499497963958,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-21 04:00:00,8.23,9.073648128049571,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-22 04:00:00,7.49,7.963904577380849,"(1, 0, 0)","(0, 0, 1, 7)"
2023-12-23 04:00:00,7.33,7.290736041819081,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-24 04:00:00,7.11,7.153068386402803,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-25 04:00:00,6.88,6.940657982515237,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-26 04:00:00,6.37,6.659560748309302,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-27 04:00:00,8.77,6.151226113654701,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-28 04:00:00,6.81,8.505590443284838,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-29 04:00:00,6.26,6.626382226979941,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-30 04:00:00,5.66,6.112652761896524,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-31 04:00:00,5.42,5.5311201908188625,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-01 04:00:00,5.01,5.3085178256932455,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-02 04:00:00,5.64,4.9097197912044015,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-03 04:00:00,4.97,5.525840556873986,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-04 04:00:00,5.41,4.852936849453334,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-05 04:00:00,6.03,5.29651293861756,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-06 04:00:00,4.7,5.9100328240848565,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-07 04:00:00,4.32,4.613797889766558,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-08 04:00:00,4.79,4.246445825961959,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-09 04:00:00,4.46,4.697420927899673,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-10 04:00:00,5.3,4.370652454956952,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-11 04:00:00,5.78,5.185370353937434,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-12 04:00:00,4.87,5.654843304986842,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-13 04:00:00,4.38,4.771975157355142,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-14 04:00:00,3.86,4.299037991051794,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-15 04:00:00,6.61,3.79534211917216,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-16 04:00:00,6.17,6.460130185277715,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-17 04:00:00,5.72,5.95853258154539,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-18 04:00:00,6.26,5.5247894345548,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-19 04:00:00,5.81,5.818203398862973,"(1, 0, 1)","(0, 0, 1, 7)"
2024-01-20 04:00:00,5.11,5.733572128057931,"(1, 0, 1)","(0, 0, 1, 7)"
2024-01-21 04:00:00,4.58,5.22116230511821,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-22 04:00:00,5.02,4.8314840082066555,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-23 04:00:00,4.97,5.066974219745742,"(1, 0, 1)","(0, 0, 1, 7)"
2024-01-24 04:00:00,4.43,4.999428501973477,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-25 04:00:00,4.72,4.651561804381627,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-26 04:00:00,4.6,4.769136294511004,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-27 04:00:00,4.11,4.6775671164819235,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-28 04:00:00,3.95,4.347101291422324,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-29 04:00:00,4.32,4.167424229626985,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-30 04:00:00,4.94,4.336990333903755,"(2, 0, 1)","(0, 0, 0, 7)"
2024-01-31 04:00:00,5.15,4.6831007039365415,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-01 04:00:00,4.7,4.856173274185686,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-02 04:00:00,4.48,4.648685736210137,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-03 04:00:00,4.22,4.522300522603909,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-04 04:00:00,4.05,4.335157281826999,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-05 04:00:00,4.34,4.188655610772356,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-06 04:00:00,4.0,4.320543601626443,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-07 04:00:00,4.15,4.109064925402986,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-08 04:00:00,5.22,4.1629920527057855,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-09 04:00:00,4.08,4.762823759033457,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-10 04:00:00,3.69,4.1812325194591295,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-11 04:00:00,3.35,3.895275319311176,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-12 04:00:00,3.87,3.6228298699265387,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-13 04:00:00,3.6,3.87721363849169,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-14 04:00:00,3.27,3.674753843792748,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-15 04:00:00,3.42,3.4390005344552375,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-16 04:00:00,3.14,3.504414841247858,"(2, 0, 1)","(0, 0, 0, 7)"
