DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01,13.24,10.41273113126147,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-02,9.84,12.64289918874873,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-03,9.25,10.461616316450034,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-04,13.26,8.254623533789994,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-05,12.46,12.216030974460082,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-06,10.0,11.135130309116281,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-07,9.44,11.399326392130254,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-08,13.0,9.177531286843266,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-09,10.55,11.622573769122486,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-10,66.31,9.337836453755683,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-11,33.92,44.727653061889,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-12,17.82,33.40604174116254,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-13,15.8,16.353431988871062,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-14,12.5,14.612648833125851,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-15,10.1,13.996130145424294,"(3, 0, 1)","(0, 0, 0, 7)"
2023-12-16,12.4,9.696144928618994,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-17,36.83,11.874759183323436,"(1, 0, 0)","(0, 0, 0, 7)"
2023-12-18,29.79,34.60398193929421,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-19,25.9,26.09488730636177,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-20,20.67,23.428828904069785,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-21,32.75,18.92739236706967,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-22,45.0,31.215957507250423,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-23,40.97,41.76712999541805,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-24,37.66,49.878620364042085,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-25,38.86,33.44671779456615,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-26,32.15,33.73600020413296,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-27,22.31,29.515677001364455,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-28,39.17,21.1492811317407,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-29,33.88,36.8114889166346,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-30,29.94,32.48232231261735,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-31,24.49,31.636613219281227,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-01,25.21,23.334162280726154,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-02,20.63,23.62125883542621,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-03,31.99,19.14784085991877,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-04,25.89,31.621515098602554,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-05,17.65,24.451608801508414,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-06,15.64,16.76259349742119,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-07,14.09,14.807818975685048,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-08,12.18,13.502304925293679,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-09,9.7,11.539594412812608,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-10,7.85,9.56346475111381,"(1, 0, 0)","(1, 0, 0, 7)"
2024-01-11,6.8,9.758726790112599,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-12,5.51,8.331029446930955,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-13,7.14,6.632998428809692,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-14,13.97,7.667858322558236,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-15,18.57,13.389641537112237,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-16,10.04,17.733991756099094,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-17,8.98,9.664424671641463,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-18,6.94,8.664816588240338,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-19,6.7,6.72409441317026,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-20,7.64,6.499373443659143,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-21,7.5,7.403519982628078,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-22,34.61,7.25150510131701,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-23,24.98,32.86731948604103,"(1, 0, 0)","(0, 0, 0, 7)"
2024-01-24,37.96,16.294950183239067,"(3, 0, 1)","(0, 0, 0, 7)"
2024-01-25,25.89,28.653948891511675,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-26,16.05,21.38440818608938,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-27,15.4,17.72417015349942,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-28,11.2,17.131561987014038,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-29,15.54,13.080339134309078,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-30,10.0,16.423370600178867,"(1, 0, 2)","(0, 0, 0, 7)"
2024-01-31,8.19,11.004687148385774,"(1, 0, 2)","(0, 0, 0, 7)"
2024-02-01,22.52,9.948541674200102,"(1, 0, 2)","(0, 0, 0, 7)"
2024-02-02,12.28,19.258628594613434,"(1, 0, 2)","(0, 0, 0, 7)"
2024-02-03,24.96,11.189173811669969,"(1, 0, 2)","(0, 0, 0, 7)"
2024-02-04,22.5,23.30751437048163,"(1, 0, 0)","(1, 0, 0, 7)"
2024-02-05,25.55,18.097747350252472,"(1, 0, 2)","(0, 0, 0, 7)"
2024-02-06,23.3,22.084087271506938,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-07,22.46,21.139968120004696,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-08,13.25,20.876606835415835,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-09,11.45,14.662823206065044,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-10,9.38,13.131589827847442,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-11,10.29,11.273564608915107,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-12,8.65,11.77743820499714,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-13,7.7,10.303095498627213,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-14,6.23,9.305935613493514,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-15,5.72,7.830872999360353,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-16,5.04,7.125835062111998,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-17,4.8,6.2922421468908345,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-18,4.3,5.854505465383552,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-19,9.95,5.211146998600042,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-20,5.97,9.111760444588043,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-21,7.46,6.438508855284692,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-22,12.26,8.71657461220474,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-23,35.02,10.558391085765258,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-24,12.22,23.245304235607048,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-25,10.21,12.966968234302644,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-26,8.08,10.220508553987514,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-27,6.49,8.710624522538941,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-28,5.4,7.428540162697094,"(2, 0, 1)","(0, 0, 0, 7)"
2024-02-29,6.04,5.248626183923876,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-01,5.05,5.872521285190701,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-02,4.7,4.923005568520295,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-03,4.43,4.586708175528228,"(1, 0, 0)","(0, 0, 0, 7)"
