DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01 04:00:00,8.48,7.828903219773805,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-02 04:00:00,8.88,7.715528578910399,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-03 04:00:00,7.97,12.177561423306374,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-04 04:00:00,8.03,6.81318866978873,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-05 04:00:00,8.42,8.405487223033287,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-06 04:00:00,8.46,7.664821360435319,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-07 04:00:00,7.23,9.77169425424157,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-08 04:00:00,8.21,6.510141217135343,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-09 04:00:00,8.26,8.035273979653738,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-10 04:00:00,29.65,8.484565973700283,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-11 04:00:00,20.35,21.803748617279414,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-12 04:00:00,12.58,19.37265206100768,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-13 04:00:00,10.93,10.751257093709595,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-14 04:00:00,8.81,12.205063966814286,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-15 04:00:00,7.97,8.054309755199212,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-16 04:00:00,9.75,7.5024724755463374,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-17 04:00:00,27.53,11.929378418951478,"(1, 0, 3)","(1, 0, 1, 7)"
2023-12-18 04:00:00,20.4,20.31556754698794,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-19 04:00:00,15.35,18.66730390590626,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-20 04:00:00,13.62,13.178877791821673,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-21 04:00:00,20.05,13.868034446667961,"(1, 0, 3)","(1, 0, 1, 7)"
2023-12-22 04:00:00,30.17,19.05450750144489,"(1, 0, 3)","(1, 0, 1, 7)"
2023-12-23 04:00:00,35.39,25.92559789281994,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-24 04:00:00,33.81,38.92303811240488,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-25 04:00:00,31.41,24.615254827145804,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-26 04:00:00,26.43,26.370972124828224,"(1, 0, 3)","(1, 0, 1, 7)"
2023-12-27 04:00:00,16.27,24.052184479116406,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-28 04:00:00,22.06,16.30011354714428,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-29 04:00:00,24.39,21.626136617918537,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-30 04:00:00,21.75,23.54339851131289,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-31 04:00:00,18.29,25.00230662457318,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-01 04:00:00,19.77,16.448090638780798,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-02 04:00:00,16.93,18.11191690149423,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-03 04:00:00,20.63,14.974899952389196,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-04 04:00:00,18.13,21.05469220886957,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-05 04:00:00,14.39,18.028589114599182,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-06 04:00:00,12.15,13.899175662813576,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-07 04:00:00,12.05,12.561388678027436,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-08 04:00:00,10.38,11.638972098247258,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-09 04:00:00,8.36,9.683577823727049,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-10 04:00:00,6.78,8.588474837537916,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-11 04:00:00,5.57,6.730812915856059,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-12 04:00:00,4.21,5.421994350434541,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-13 04:00:00,5.48,4.063756389090206,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-14 04:00:00,6.43,5.473128384689445,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-15 04:00:00,6.86,6.122000568601137,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-16 04:00:00,5.51,6.469582176719247,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-17 04:00:00,4.44,5.287500104850616,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-18 04:00:00,4.34,4.275400898994253,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-19 04:00:00,4.2,4.1442950542141865,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-20 04:00:00,5.2,4.292500121560424,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-21 04:00:00,6.33,5.201833374361221,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-22 04:00:00,13.77,6.1883263971958415,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-23 04:00:00,13.18,13.087456089602597,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-24 04:00:00,17.91,12.552999499551806,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-25 04:00:00,13.47,17.424345900616284,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-26 04:00:00,9.4,13.12209466646434,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-27 04:00:00,8.32,9.345743057207569,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-28 04:00:00,6.77,8.28435798019207,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-29 04:00:00,7.18,7.186058642323746,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-30 04:00:00,5.96,7.005625884982693,"(1, 0, 0)","(0, 0, 1, 7)"
2024-01-31 04:00:00,5.04,6.044068422254459,"(1, 0, 0)","(0, 0, 1, 7)"
2024-02-01 04:00:00,8.2,4.805290382589576,"(1, 0, 0)","(0, 0, 1, 7)"
2024-02-02 04:00:00,7.66,7.753041303113637,"(1, 0, 0)","(0, 0, 1, 7)"
2024-02-03 04:00:00,15.38,7.398854064743098,"(1, 0, 0)","(0, 0, 1, 7)"
2024-02-04 04:00:00,18.54,15.002915887112408,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-05 04:00:00,16.9,18.08840003635467,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-06 04:00:00,16.04,16.473381392556213,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-07 04:00:00,13.63,15.626291772462377,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-08 04:00:00,7.84,13.289316283765578,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-09 04:00:00,7.53,7.66975835459949,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-10 04:00:00,6.19,7.375207043575426,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-11 04:00:00,8.52,6.075434785062702,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-12 04:00:00,6.8,8.347012805818265,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-13 04:00:00,5.87,6.669029527919149,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-14 04:00:00,5.14,5.765244391759157,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-15 04:00:00,4.22,5.0558036388615974,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-16 04:00:00,3.79,4.159186795334705,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-17 04:00:00,3.4,3.739998373353795,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-18 04:00:00,3.48,3.360219825157697,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-19 04:00:00,3.89,3.438531948718673,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-20 04:00:00,3.72,3.8386268596239623,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-21 04:00:00,4.08,3.6735249159542844,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-22 04:00:00,4.67,4.027094933785034,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-23 04:00:00,11.59,4.6068513478014195,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-24 04:00:00,6.32,11.384417276983728,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-25 04:00:00,5.06,6.220976487376871,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-26 04:00:00,4.38,4.985543111205757,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-27 04:00:00,3.76,4.319340657406224,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-28 04:00:00,3.14,3.708304437356941,"(1, 0, 0)","(0, 0, 0, 7)"
2024-02-29 04:00:00,3.41,3.1008823919126964,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-01 04:00:00,3.14,3.36744065243461,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-02 04:00:00,3.21,3.103974696657833,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-03 04:00:00,3.61,3.172892707778221,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-04 04:00:00,3.09,3.56549847827492,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-05 04:00:00,2.93,3.056436954376916,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-06 04:00:00,2.5,2.8998237912643603,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-07 04:00:00,2.34,2.4781111467444887,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-08 04:00:00,2.35,2.3211103923475243,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-09 04:00:00,3.14,2.3307580191771384,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-10 04:00:00,4.54,3.1058425886435037,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-11 04:00:00,3.7,4.478259190944546,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-12 04:00:00,2.94,3.653286385632983,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-13 04:00:00,2.5,2.906509197569613,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-14 04:00:00,2.3,2.4752376330182377,"(1, 0, 0)","(0, 0, 0, 7)"
2024-03-15 04:00:00,2.9,2.334128471377471,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-16 04:00:00,4.99,2.8939511515240617,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-17 04:00:00,4.12,5.037380816747057,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-18 04:00:00,3.38,3.981716921826666,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-19 04:00:00,2.94,3.2548559045618686,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-20 04:00:00,2.56,3.032245200392845,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-21 04:00:00,2.2,2.5157700546115285,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-22 04:00:00,2.48,2.217699267123711,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-23 04:00:00,3.25,2.559303367409193,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-24 04:00:00,7.08,3.865688360572088,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-25 04:00:00,5.15,6.0953723593367455,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-26 04:00:00,4.08,4.923808879548271,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-27 04:00:00,3.51,3.950529147070322,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-28 04:00:00,3.16,3.620635202667541,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-29 04:00:00,7.35,3.1813123432252395,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-30 04:00:00,5.74,7.399407620177295,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-31 04:00:00,5.5,5.882769717595813,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-01 04:00:00,5.19,4.834297766249159,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-02 04:00:00,5.5,4.705148240819494,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-03 04:00:00,4.58,4.905263156190499,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-04 04:00:00,4.26,4.452533400076223,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-05 04:00:00,3.7,4.096141784932298,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-06 04:00:00,3.82,3.9059581205633576,"(1, 0, 3)","(1, 0, 1, 7)"
2024-04-07 04:00:00,6.04,3.9045872591398507,"(1, 0, 3)","(1, 0, 1, 7)"
2024-04-08 04:00:00,4.39,5.13043601281182,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-09 04:00:00,3.84,4.099807696883352,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-10 04:00:00,4.83,3.584157363764374,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-11 04:00:00,5.44,5.1531588048645665,"(1, 0, 3)","(1, 0, 2, 7)"
2024-04-12 04:00:00,4.84,4.835255087832615,"(1, 0, 0)","(1, 0, 1, 7)"
2024-04-13 04:00:00,4.96,4.310528389100783,"(1, 0, 3)","(1, 0, 2, 7)"
2024-04-14 04:00:00,7.35,4.608040355940903,"(1, 0, 3)","(1, 0, 1, 7)"
2024-04-15 04:00:00,4.84,5.995699836268771,"(1, 0, 0)","(1, 0, 1, 7)"
