DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01 20:00:00,12.05,8.991043877251075,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-02 20:00:00,10.74,11.33112347920761,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-03 20:00:00,9.42,10.42500990560792,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-04 20:00:00,9.47,9.064764035231846,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-05 20:00:00,9.21,8.747036955957297,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-06 20:00:00,9.02,8.294969569415244,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-07 20:00:00,8.53,23.71244903738923,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-08 20:00:00,8.17,7.909240933424489,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-09 20:00:00,9.65,7.706232603786647,"(1, 0, 1)","(1, 0, 1, 7)"
2023-12-10 20:00:00,9.11,9.07285814008711,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-11 20:00:00,9.43,8.713107576648461,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-12 20:00:00,9.02,8.996513569654095,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-13 20:00:00,8.61,8.408514357544094,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-14 20:00:00,8.06,9.752666414734293,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-15 20:00:00,7.54,8.227019589761612,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-16 20:00:00,7.08,7.326001425414751,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-17 20:00:00,6.96,6.6926383333817485,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-18 20:00:00,7.16,6.8158243276015495,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-19 20:00:00,7.09,7.122998347299647,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-20 20:00:00,6.51,6.913134008959602,"(1, 0, 1)","(1, 0, 1, 7)"
2023-12-21 20:00:00,5.69,6.912798381949518,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-22 20:00:00,5.73,5.72043613121998,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-23 20:00:00,7.55,5.744783251362351,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-24 20:00:00,9.25,7.366968654091849,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-25 20:00:00,9.98,9.253828045306197,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-26 20:00:00,9.27,9.76417115996449,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-27 20:00:00,8.87,8.967708820933023,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-28 20:00:00,8.0,8.48658770360693,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-29 20:00:00,7.29,7.82285275320743,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-30 20:00:00,8.65,7.436445369004428,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-31 20:00:00,8.47,8.819806015349778,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-01 20:00:00,8.14,8.540852084745925,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-02 20:00:00,7.84,7.95634274176257,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-03 20:00:00,7.6,7.582795134259126,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-04 20:00:00,7.82,7.402885104474167,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-05 20:00:00,7.3,7.634132987999999,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-06 20:00:00,6.7,7.832268314398755,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-07 20:00:00,6.06,6.865550720209953,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-08 20:00:00,5.78,6.595208119802958,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-09 20:00:00,6.0,5.624214171377522,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-10 20:00:00,5.87,5.923099220150615,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-11 20:00:00,5.66,5.735257310548865,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-12 20:00:00,5.31,5.456827335494286,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-13 20:00:00,4.86,5.356115950198762,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-14 20:00:00,4.35,4.729877692711005,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-15 20:00:00,4.37,4.2592095861823,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-16 20:00:00,4.69,4.337822961142915,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-17 20:00:00,5.04,4.615001249386674,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-18 20:00:00,4.95,4.997634925245938,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-19 20:00:00,4.54,4.80713854370348,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-20 20:00:00,4.47,4.504428413260222,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-21 20:00:00,4.57,4.322074541847001,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-22 20:00:00,4.53,4.520426671115548,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-23 20:00:00,4.6,4.575842547349327,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-24 20:00:00,4.49,4.6590346052313905,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-25 20:00:00,6.47,4.773501638906763,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-26 20:00:00,4.94,6.093921090134789,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-27 20:00:00,5.56,4.801434875528531,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-28 20:00:00,5.1,5.342918955893293,"(1, 0, 0)","(1, 0, 1, 7)"
2024-01-29 20:00:00,5.67,5.040068545927109,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-30 20:00:00,5.2,5.689747583193897,"(1, 0, 0)","(2, 0, 0, 7)"
2024-01-31 20:00:00,4.83,5.186719671296006,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-01 20:00:00,5.04,5.118552593145485,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-02 20:00:00,4.33,4.700690754446474,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-03 20:00:00,4.19,4.368796459859201,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-04 20:00:00,4.0,4.1086664851084,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-05 20:00:00,3.97,4.034929231908613,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-06 20:00:00,3.95,3.8895234796531026,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-07 20:00:00,4.92,3.9853464899398023,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-08 20:00:00,4.77,5.123209676930828,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-09 20:00:00,4.04,4.5225230253873825,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-10 20:00:00,3.78,4.091264334955885,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-11 20:00:00,3.48,3.7677092984739584,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-12 20:00:00,3.46,3.8300387046608084,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-13 20:00:00,3.3,3.584130391938832,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-14 20:00:00,3.11,3.426541711436343,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-15 20:00:00,2.91,3.4065337440505905,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-16 20:00:00,2.74,2.73185753951911,"(1, 0, 0)","(2, 0, 1, 7)"
2024-02-17 20:00:00,3.25,2.6955821529933632,"(1, 0, 0)","(2, 0, 1, 7)"
2024-02-18 20:00:00,3.37,3.2432930667582083,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-19 20:00:00,3.62,3.614562897139521,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-20 20:00:00,3.54,3.6456031191609743,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-21 20:00:00,3.34,3.5621161342146204,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-22 20:00:00,3.14,3.5344253049197127,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-23 20:00:00,6.25,3.06517467411732,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-24 20:00:00,7.15,5.994986463545838,"(1, 0, 0)","(1, 0, 1, 7)"
2024-02-25 20:00:00,5.32,7.02585251328712,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-26 20:00:00,4.67,5.3090346199079415,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-27 20:00:00,4.98,4.567136314202842,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-28 20:00:00,4.66,4.826884845713301,"(1, 0, 0)","(2, 0, 0, 7)"
2024-02-29 20:00:00,4.38,4.501097999718716,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-01 20:00:00,4.27,4.770089390403282,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-02 20:00:00,4.05,4.3960695615841905,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-03 20:00:00,3.83,3.856842738748575,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-04 20:00:00,4.32,3.751754851586921,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-05 20:00:00,4.29,4.298369289189875,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-06 20:00:00,4.17,4.168166830210881,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-07 20:00:00,3.9,4.0507747254410775,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-08 20:00:00,3.68,4.20682968914837,"(1, 0, 0)","(2, 0, 0, 7)"
2024-03-09 20:00:00,3.54,3.529860434568638,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-10 20:00:00,3.19,3.5398750547129807,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-11 20:00:00,3.85,3.1625204972613714,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-12 20:00:00,4.03,3.783956156902945,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-13 20:00:00,3.86,3.9924043002586815,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-14 20:00:00,3.64,3.7883469513572927,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-15 20:00:00,3.7,3.567210441640313,"(1, 0, 0)","(1, 0, 0, 7)"
2024-03-16 20:00:00,4.35,3.5267727378515965,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-17 20:00:00,4.33,4.227745060625057,"(1, 0, 0)","(1, 0, 0, 7)"
2024-03-18 20:00:00,4.81,4.235274603837998,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-19 20:00:00,5.12,4.72348963052156,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-20 20:00:00,6.43,4.7221873740030595,"(2, 0, 1)","(0, 0, 1, 7)"
2024-03-21 20:00:00,5.96,6.355247776201314,"(1, 0, 0)","(1, 0, 1, 7)"
2024-03-22 20:00:00,5.6,5.851692774093802,"(1, 0, 0)","(1, 0, 1, 7)"
