DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01,4.46,4.526605018325685,"(3, 0, 0)","(0, 0, 1, 7)"
2023-12-02,4.42,4.160855032919657,"(3, 0, 0)","(0, 0, 1, 7)"
2023-12-03,4.25,3.4013351241478613,"(1, 0, 1)","(1, 0, 0, 7)"
2023-12-04,4.11,3.505374852865331,"(1, 0, 1)","(1, 0, 0, 7)"
2023-12-05,4.06,3.7153877128384765,"(3, 0, 0)","(0, 0, 1, 7)"
2023-12-06,4.48,3.6981445918499705,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-07,5.05,3.996994864434959,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-08,4.6,4.449131168233124,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-09,4.96,4.440590764796585,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-10,5.04,4.362712455360899,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-11,5.41,4.814636530918,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-12,5.58,5.511676546703448,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-13,5.67,5.45421512431367,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-14,5.41,6.173318738346701,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-15,5.12,5.300879985086888,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-16,4.89,5.200371671129704,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-17,4.89,5.105884336827235,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-18,5.46,5.095771676249246,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-19,5.55,5.1274583755868735,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-20,5.31,5.482741624236342,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-21,4.74,4.661631980373549,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-22,4.35,4.519772594642088,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-23,4.52,4.333604523321402,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-24,5.26,4.799113927411307,"(1, 0, 3)","(1, 0, 0, 7)"
2023-12-25,5.58,5.379380722436077,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-26,5.41,5.430100996683019,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-27,5.63,5.584371580858141,"(1, 0, 2)","(1, 0, 0, 7)"
2023-12-28,5.17,4.910353670408953,"(1, 0, 1)","(1, 0, 0, 7)"
2023-12-29,4.87,4.619208480930446,"(1, 0, 1)","(1, 0, 0, 7)"
2023-12-30,4.67,4.906952422330192,"(1, 0, 1)","(1, 0, 0, 7)"
2023-12-31,4.71,5.459060616601293,"(1, 0, 1)","(1, 0, 0, 7)"
2024-01-01,4.72,4.906360473642713,"(1, 0, 1)","(1, 0, 0, 7)"
2024-01-02,4.71,5.131296764426633,"(1, 0, 2)","(1, 0, 0, 7)"
2024-01-03,4.54,4.315990282399943,"(3, 0, 0)","(1, 0, 0, 7)"
2024-01-04,4.29,4.333653893419144,"(3, 0, 0)","(0, 0, 1, 7)"
2024-01-05,4.15,4.422184408659955,"(3, 0, 0)","(2, 0, 0, 7)"
2024-01-06,4.01,3.883240402685285,"(3, 0, 0)","(0, 0, 1, 7)"
2024-01-07,3.73,3.8901592005357633,"(3, 0, 0)","(1, 0, 0, 7)"
