DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01 04:00:00,18.68,11.607495478285276,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-02 04:00:00,10.5,34.702536056057966,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-03 04:00:00,9.13,13.127197326228169,"(4, 0, 0)","(1, 0, 1, 7)"
2023-12-04 04:00:00,11.34,12.854459502193281,"(1, 0, 3)","(2, 0, 2, 7)"
2023-12-05 04:00:00,12.6,15.90027023201635,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-06 04:00:00,10.0,7.723466191909221,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-07 04:00:00,9.0,10.413985232796025,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-08 04:00:00,10.78,13.790029055142787,"(3, 0, 0)","(1, 0, 1, 7)"
2023-12-09 04:00:00,9.95,11.869743861364274,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-10 04:00:00,54.12,14.523082646171144,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-11 04:00:00,26.45,68.53890468788788,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-12 04:00:00,15.48,15.904996731670135,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-13 04:00:00,12.93,15.547727141518894,"(4, 0, 0)","(1, 0, 1, 7)"
2023-12-14 04:00:00,10.62,10.52768474272564,"(1, 0, 3)","(2, 0, 2, 7)"
2023-12-15 04:00:00,9.0,13.080313839708353,"(1, 0, 3)","(2, 0, 2, 7)"
2023-12-16 04:00:00,13.64,12.483571070478591,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-17 04:00:00,39.0,17.610315589079057,"(2, 0, 1)","(0, 0, 0, 7)"
2023-12-18 04:00:00,24.33,52.03468949743547,"(2, 0, 1)","(0, 0, 1, 7)"
2023-12-19 04:00:00,17.59,21.412895920590785,"(2, 0, 1)","(0, 0, 1, 7)"
