DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01 12:00:00,3.38,2.9167599149145125,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-02 12:00:00,3.38,3.8003334663039885,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-03 12:00:00,3.52,4.386434624425437,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-04 12:00:00,2.95,3.7237561867872597,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-05 12:00:00,2.43,2.840023303360583,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-06 12:00:00,2.68,2.0309460210003327,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-07 12:00:00,3.36,2.2167430971807085,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-08 12:00:00,3.38,1.9614296162648963,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-09 12:00:00,4.46,4.514741519376225,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-10 12:00:00,7.16,6.241659134243386,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-11 12:00:00,5.67,2.640275072255208,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-12 12:00:00,4.01,1.6929832897121422,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-13 12:00:00,3.95,3.474005550463825,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-14 12:00:00,3.64,3.4994350694829675,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-15 12:00:00,3.35,3.741850373090181,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-16 12:00:00,4.06,7.501845947591049,"(1, 0, 4)","(2, 0, 1, 7)"
2023-12-17 12:00:00,9.6,8.694305760512847,"(4, 0, 2)","(2, 0, 1, 7)"
2023-12-18 12:00:00,5.91,2.1847323378711168,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-19 12:00:00,4.86,2.6976753918259546,"(1, 0, 4)","(1, 0, 2, 7)"
2023-12-20 12:00:00,5.25,6.227805690984607,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-21 12:00:00,8.11,5.470075027139035,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-22 12:00:00,12.8,4.781803553419648,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-23 12:00:00,12.55,6.000897374716203,"(4, 0, 2)","(1, 0, 2, 7)"
2023-12-24 12:00:00,18.53,17.252140149006365,"(4, 0, 2)","(2, 0, 2, 7)"
2023-12-25 12:00:00,16.2,11.279380442690705,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-26 12:00:00,13.54,13.256128269850452,"(1, 0, 0)","(1, 0, 2, 7)"
2023-12-27 12:00:00,8.22,4.403320075365372,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-28 12:00:00,8.88,10.036169562521444,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-29 12:00:00,10.77,9.663612300391888,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-30 12:00:00,9.84,7.7565421316939185,"(1, 0, 0)","(2, 0, 2, 7)"
2023-12-31 12:00:00,14.36,9.793990061587268,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-01 12:00:00,15.02,11.087856144822718,"(4, 0, 2)","(1, 0, 2, 7)"
2024-01-02 12:00:00,10.88,7.197659423860014,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-03 12:00:00,10.29,11.67567931140579,"(1, 0, 0)","(2, 0, 2, 7)"
2024-01-04 12:00:00,8.36,5.471460454442821,"(1, 0, 0)","(2, 0, 2, 7)"
