DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01,5.61,5.705194928249027,"(1, 0, 2)","(0, 0, 2, 7)"
2023-12-02,5.0,5.9940372979677425,"(1, 0, 2)","(0, 0, 2, 7)"
2023-12-03,4.91,5.194609300387917,"(1, 0, 2)","(0, 0, 2, 7)"
2023-12-04,4.96,6.173473247664245,"(2, 0, 1)","(0, 0, 1, 7)"
2023-12-05,4.68,4.91373717719644,"(1, 0, 2)","(0, 0, 1, 7)"
2023-12-06,9.45,4.870176522578825,"(1, 0, 2)","(0, 0, 1, 7)"
2023-12-07,6.28,6.427560923008654,"(4, 0, 0)","(1, 0, 0, 7)"
2023-12-08,5.35,5.271367262599275,"(4, 0, 0)","(1, 0, 0, 7)"
2023-12-09,8.8,4.96443132315901,"(4, 0, 0)","(1, 0, 0, 7)"
2023-12-10,6.06,6.279194207385431,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-11,7.0,5.157987397319407,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-12,8.68,6.136070739444528,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-13,6.37,11.820775882787206,"(3, 0, 0)","(1, 0, 0, 7)"
2023-12-14,5.9,5.9709444236851565,"(5, 0, 0)","(0, 0, 0, 7)"
2023-12-15,5.5,5.948123575172725,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-16,5.57,5.441442649360872,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-17,6.68,5.65881098673163,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-18,6.57,6.704550095656112,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-19,6.16,6.016978710335813,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-20,5.64,5.599587984261598,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-21,5.14,5.382289381711823,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-22,5.0,5.388388352942937,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-23,6.15,5.074466143013525,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-24,7.2,5.6432328980665325,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-25,6.65,5.8835344664063065,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-26,6.26,5.6858732876802485,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-27,6.36,6.8758079817562985,"(1, 0, 2)","(0, 0, 0, 7)"
2023-12-28,5.73,6.444592774193913,"(1, 0, 2)","(0, 0, 0, 7)"
