PRODUCT,PRODUCT_SIGN,PRICE_TYPE,ORDER,AIC
00_04,NEG,AVERAGE,"(3, 0, 4)",536.1607688401115
00_04,NEG,MARGINAL,"(3, 0, 4)",1283.4503487149937
00_04,POS,AVERAGE,"(3, 0, 4)",160.81256292712345
00_04,POS,MARGINAL,"(4, 0, 4)",1000.522325422167
04_08,NEG,AVERAGE,"(4, 0, 4)",690.4120423131819
04_08,POS,AVERAGE,"(4, 0, 4)",206.9979024280352
04_08,POS,MARGINAL,"(4, 0, 4)",929.0985217267797
08_12,NEG,AVERAGE,"(3, 0, 4)",1369.7659862945716
08_12,NEG,MARGINAL,"(3, 0, 4)",1979.072592877637
08_12,POS,AVERAGE,"(4, 0, 4)",22.360675940088896
12_16,NEG,AVERAGE,"(3, 0, 4)",1411.3406380190258
12_16,NEG,MARGINAL,"(3, 0, 4)",1941.288233959678
12_16,POS,AVERAGE,"(3, 0, 4)",484.6486327640674
12_16,POS,MARGINAL,"(4, 0, 4)",1332.1730726977312
16_20,NEG,AVERAGE,"(3, 0, 4)",1092.5755948697936
16_20,NEG,MARGINAL,"(3, 0, 4)",1749.5343888995756
16_20,POS,AVERAGE,"(4, 0, 4)",-236.0461549738626
16_20,POS,MARGINAL,"(4, 0, 4)",533.610126894228
20_24,NEG,AVERAGE,"(4, 0, 4)",616.962381460251
20_24,NEG,MARGINAL,"(3, 0, 4)",1382.8992606417296
20_24,POS,AVERAGE,"(4, 0, 4)",-339.5611869663997
20_24,POS,MARGINAL,"(4, 0, 4)",492.9063500576302
