DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01 04:00:00,9.73,8.96747553742226,"(3, 0, 4)"
2023-12-02 04:00:00,9.32,9.618386002540316,"(4, 0, 4)"
2023-12-03 04:00:00,8.3,8.308316859684181,"(3, 0, 4)"
2023-12-04 04:00:00,8.27,7.512474425455193,"(3, 0, 4)"
2023-12-05 04:00:00,8.16,8.075121273505976,"(3, 0, 4)"
2023-12-06 04:00:00,12.17,8.496885583572212,"(3, 0, 4)"
2023-12-07 04:00:00,11.48,13.553432153953295,"(3, 0, 2)"
2023-12-08 04:00:00,9.84,11.189150402863914,"(3, 0, 4)"
2023-12-09 04:00:00,8.48,9.361195540923452,"(3, 0, 4)"
2023-12-10 04:00:00,7.66,7.573130621296375,"(4, 0, 4)"
2023-12-11 04:00:00,8.94,7.279662408522853,"(4, 0, 4)"
2023-12-12 04:00:00,9.59,9.688951175427452,"(3, 0, 4)"
2023-12-13 04:00:00,9.97,10.27800018257293,"(3, 0, 4)"
2023-12-14 04:00:00,10.24,10.508995481504853,"(3, 0, 4)"
2023-12-15 04:00:00,10.0,9.822854831928025,"(3, 0, 4)"
2023-12-16 04:00:00,9.31,9.12123397807421,"(3, 0, 4)"
2023-12-17 04:00:00,8.21,8.578920614096289,"(3, 0, 4)"
2023-12-18 04:00:00,9.31,8.06376915087987,"(3, 0, 4)"
2023-12-19 04:00:00,9.51,10.039791414583506,"(3, 0, 4)"
2023-12-20 04:00:00,8.75,9.995751506629544,"(3, 0, 4)"
2023-12-21 04:00:00,7.76,8.757773626478574,"(3, 0, 4)"
2023-12-22 04:00:00,6.98,7.360299899299757,"(3, 0, 4)"
2023-12-23 04:00:00,6.43,6.606142348722726,"(3, 0, 4)"
2023-12-24 04:00:00,6.42,6.429180832590483,"(3, 0, 4)"
2023-12-25 04:00:00,6.19,6.775634790232898,"(3, 0, 4)"
2023-12-26 04:00:00,5.8,6.459531280544973,"(3, 0, 4)"
2023-12-27 04:00:00,6.79,6.098251901157481,"(3, 0, 4)"
2023-12-28 04:00:00,6.23,7.036088575496121,"(4, 0, 3)"
2023-12-29 04:00:00,5.44,5.96807153346064,"(3, 0, 4)"
2023-12-30 04:00:00,5.27,5.165655641662132,"(3, 0, 2)"
2023-12-31 04:00:00,4.9,5.270868480982758,"(3, 0, 4)"
2024-01-01 04:00:00,4.67,5.067598325741168,"(3, 0, 4)"
2024-01-02 04:00:00,4.74,4.913179426111319,"(3, 0, 4)"
2024-01-03 04:00:00,4.7,4.895069339664979,"(3, 0, 4)"
2024-01-04 04:00:00,4.68,4.684401436669786,"(3, 0, 4)"
2024-01-05 04:00:00,4.59,4.548979623106757,"(3, 0, 4)"
2024-01-06 04:00:00,4.37,4.367108360404518,"(3, 0, 4)"
2024-01-07 04:00:00,4.08,4.4802405453670655,"(3, 0, 4)"
2024-01-08 04:00:00,4.01,4.0558437088434705,"(4, 0, 4)"
2024-01-09 04:00:00,4.1,3.9446426610131886,"(4, 0, 4)"
2024-01-10 04:00:00,4.11,4.112945008345782,"(3, 0, 4)"
2024-01-11 04:00:00,4.61,4.094200406853531,"(3, 0, 4)"
2024-01-12 04:00:00,4.54,4.66271002784676,"(3, 0, 4)"
2024-01-13 04:00:00,4.03,4.436628454370767,"(3, 0, 4)"
2024-01-14 04:00:00,3.59,3.9368119417698244,"(3, 0, 4)"
2024-01-15 04:00:00,3.77,3.5509355221939947,"(3, 0, 4)"
2024-01-16 04:00:00,4.78,3.9023024794517656,"(4, 0, 0)"
2024-01-17 04:00:00,4.84,4.977492124954769,"(3, 0, 4)"
2024-01-18 04:00:00,4.99,4.848890575122717,"(3, 0, 4)"
2024-01-19 04:00:00,5.13,4.929888803600073,"(3, 0, 4)"
2024-01-20 04:00:00,4.7,4.836890197584868,"(3, 0, 4)"
2024-01-21 04:00:00,4.25,4.42804067263226,"(3, 0, 4)"
2024-01-22 04:00:00,4.17,4.200381311092777,"(3, 0, 4)"
2024-01-23 04:00:00,4.29,4.304656023369753,"(3, 0, 4)"
2024-01-24 04:00:00,4.13,4.504218867422487,"(3, 0, 4)"
2024-01-25 04:00:00,4.11,4.1956542137347705,"(3, 0, 2)"
2024-01-26 04:00:00,4.11,4.101404349166843,"(3, 0, 4)"
2024-01-27 04:00:00,3.79,3.9885916079515935,"(3, 0, 4)"
2024-01-28 04:00:00,3.53,3.6758126687371875,"(3, 0, 4)"
2024-01-29 04:00:00,3.86,3.5302491137212613,"(3, 0, 4)"
2024-01-30 04:00:00,4.02,4.006557398277091,"(3, 0, 4)"
2024-01-31 04:00:00,4.29,4.119422767456217,"(3, 0, 4)"
2024-02-01 04:00:00,4.15,4.343534715234736,"(3, 0, 4)"
2024-02-02 04:00:00,4.14,4.013817130855934,"(3, 0, 4)"
2024-02-03 04:00:00,3.74,4.001568284689002,"(3, 0, 4)"
2024-02-04 04:00:00,3.48,3.606535403347981,"(3, 0, 4)"
2024-02-05 04:00:00,3.85,3.5079982074589737,"(3, 0, 4)"
2024-02-06 04:00:00,3.74,4.020133006938688,"(3, 0, 4)"
2024-02-07 04:00:00,3.72,3.807792919022512,"(3, 0, 4)"
2024-02-08 04:00:00,4.15,3.7107540837529003,"(3, 0, 2)"
2024-02-09 04:00:00,3.81,4.076947387000825,"(3, 0, 4)"
2024-02-10 04:00:00,3.46,3.6259837640677257,"(3, 0, 4)"
2024-02-11 04:00:00,3.13,3.403212169847338,"(3, 0, 4)"
2024-02-12 04:00:00,3.36,3.1379462011299406,"(3, 0, 4)"
2024-02-13 04:00:00,3.32,3.506579215009882,"(3, 0, 4)"
2024-02-14 04:00:00,3.04,3.399629735194452,"(3, 0, 4)"
2024-02-15 04:00:00,2.95,3.0780011695724454,"(3, 0, 4)"
2024-02-16 04:00:00,2.96,2.938448240708549,"(3, 0, 4)"
2024-02-17 04:00:00,2.81,2.915165025299256,"(3, 0, 4)"
2024-02-18 04:00:00,2.61,2.8033362911239887,"(3, 0, 4)"
2024-02-19 04:00:00,3.06,2.658692028449514,"(3, 0, 4)"
2024-02-20 04:00:00,3.13,3.1853022221394673,"(3, 0, 4)"
2024-02-21 04:00:00,3.13,3.122563615256982,"(3, 0, 4)"
2024-02-22 04:00:00,3.27,3.111388680823271,"(3, 0, 4)"
2024-02-23 04:00:00,3.16,3.1736247792280756,"(3, 0, 4)"
2024-02-24 04:00:00,3.1,3.0489798075260635,"(3, 0, 4)"
2024-02-25 04:00:00,2.82,3.0733017163639054,"(3, 0, 4)"
2024-02-26 04:00:00,2.8,2.829654453956519,"(3, 0, 4)"
2024-02-27 04:00:00,2.87,2.8821479694129235,"(3, 0, 4)"
2024-02-28 04:00:00,3.22,2.9166773785533255,"(3, 0, 4)"
2024-02-29 04:00:00,3.7,3.272765586668255,"(3, 0, 4)"
2024-03-01 04:00:00,3.57,3.666839434623241,"(3, 0, 4)"
2024-03-02 04:00:00,3.31,3.463833136318293,"(4, 0, 4)"
2024-03-03 04:00:00,2.91,3.274650853662781,"(4, 0, 4)"
2024-03-04 04:00:00,3.28,2.8281967649785003,"(4, 0, 4)"
2024-03-05 04:00:00,3.28,3.312941998366031,"(3, 0, 4)"
2024-03-06 04:00:00,3.74,3.315127994048905,"(3, 0, 4)"
2024-03-07 04:00:00,3.74,3.9269651793966656,"(3, 0, 4)"
2024-03-08 04:00:00,3.5,3.7001093483517287,"(3, 0, 4)"
2024-03-09 04:00:00,3.2,3.3934825103054407,"(3, 0, 4)"
2024-03-10 04:00:00,3.59,3.026804578394401,"(3, 0, 4)"
2024-03-11 04:00:00,4.01,3.5175619468711616,"(3, 0, 4)"
2024-03-12 04:00:00,3.99,4.116589698365036,"(3, 0, 4)"
2024-03-13 04:00:00,3.67,3.8735262260811854,"(2, 0, 4)"
2024-03-14 04:00:00,3.52,3.5408232188704436,"(3, 0, 4)"
2024-03-15 04:00:00,3.32,3.4054488770176574,"(4, 0, 4)"
2024-03-16 04:00:00,3.13,3.184306803002843,"(3, 0, 4)"
2024-03-17 04:00:00,2.92,3.1450427494621,"(3, 0, 4)"
2024-03-18 04:00:00,3.18,2.986337520335493,"(3, 0, 4)"
2024-03-19 04:00:00,3.93,3.3199666513029373,"(3, 0, 4)"
