DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01 16:00:00,2.11,3.1437321537841387,"(1, 0, 4)"
2023-12-02 16:00:00,2.02,2.5230426904165766,"(1, 0, 4)"
2023-12-03 16:00:00,1.88,2.4312967613508762,"(3, 0, 1)"
2023-12-04 16:00:00,1.61,2.180500441435572,"(3, 0, 1)"
2023-12-05 16:00:00,1.31,1.8266334222416791,"(3, 0, 1)"
2023-12-06 16:00:00,1.33,1.4790927021303362,"(3, 0, 1)"
2023-12-07 16:00:00,1.63,1.5189769269674809,"(3, 0, 1)"
2023-12-08 16:00:00,1.61,1.7814913582754115,"(3, 0, 1)"
2023-12-09 16:00:00,3.66,1.6337936816173655,"(3, 0, 1)"
2023-12-10 16:00:00,3.48,3.657871398334698,"(3, 0, 1)"
2023-12-11 16:00:00,2.71,2.910931838374632,"(3, 0, 1)"
2023-12-12 16:00:00,2.32,2.3793464011899395,"(4, 0, 1)"
2023-12-13 16:00:00,2.14,2.2423113703149795,"(1, 0, 4)"
2023-12-14 16:00:00,1.69,2.206214811132513,"(1, 0, 4)"
2023-12-15 16:00:00,1.59,1.7495886727272123,"(3, 0, 1)"
2023-12-16 16:00:00,2.43,1.7215848636436186,"(3, 0, 1)"
2023-12-17 16:00:00,3.45,2.5775553631562786,"(3, 0, 1)"
2023-12-18 16:00:00,2.95,3.254996827253977,"(3, 0, 1)"
2023-12-19 16:00:00,2.13,2.6193790216479185,"(3, 0, 1)"
2023-12-20 16:00:00,2.77,2.027249133585799,"(3, 0, 1)"
2023-12-21 16:00:00,5.53,2.82484039792653,"(3, 0, 1)"
2023-12-22 16:00:00,8.57,5.199594937036227,"(1, 0, 4)"
2023-12-23 16:00:00,7.83,6.848006147329568,"(1, 0, 4)"
2023-12-24 16:00:00,10.86,5.909021885601336,"(1, 0, 4)"
2023-12-25 16:00:00,9.05,8.969661229934799,"(3, 0, 1)"
2023-12-26 16:00:00,7.13,7.359576109584091,"(1, 0, 4)"
2023-12-27 16:00:00,5.42,6.58370906489726,"(4, 0, 1)"
2023-12-28 16:00:00,5.38,5.296069516857122,"(4, 0, 1)"
2023-12-29 16:00:00,6.21,5.563542265914481,"(3, 0, 1)"
2023-12-30 16:00:00,5.25,6.343386698228959,"(3, 0, 1)"
2023-12-31 16:00:00,6.44,5.177084308783185,"(3, 0, 1)"
2024-01-01 16:00:00,5.83,6.56726430030434,"(3, 0, 1)"
2024-01-02 16:00:00,5.19,5.65644801391676,"(3, 0, 1)"
2024-01-03 16:00:00,4.66,5.194181480261698,"(3, 0, 1)"
2024-01-04 16:00:00,3.81,4.789556187026586,"(3, 0, 1)"
2024-01-05 16:00:00,3.05,3.9998420450248933,"(3, 0, 1)"
2024-01-06 16:00:00,2.86,3.3243323628141646,"(3, 0, 1)"
2024-01-07 16:00:00,2.62,3.2106167650407604,"(3, 0, 1)"
2024-01-08 16:00:00,2.21,2.901720858461558,"(3, 0, 1)"
2024-01-09 16:00:00,1.92,2.4382997708053207,"(3, 0, 1)"
2024-01-10 16:00:00,1.63,2.0893212460511257,"(3, 0, 4)"
2024-01-11 16:00:00,1.48,1.7773566760007136,"(3, 0, 4)"
2024-01-12 16:00:00,1.25,1.6709350321227499,"(1, 0, 4)"
2024-01-13 16:00:00,2.33,1.38836379474139,"(3, 0, 1)"
2024-01-14 16:00:00,2.41,2.5919297583881065,"(3, 0, 1)"
2024-01-15 16:00:00,1.92,2.3016826658729466,"(1, 0, 4)"
2024-01-16 16:00:00,1.6,1.827600414681915,"(3, 0, 4)"
2024-01-17 16:00:00,1.26,1.6166049353992158,"(1, 0, 4)"
2024-01-18 16:00:00,1.12,1.331407944905623,"(3, 0, 1)"
2024-01-19 16:00:00,1.39,1.2285153509058235,"(3, 0, 1)"
2024-01-20 16:00:00,1.64,1.5213392999269775,"(3, 0, 1)"
2024-01-21 16:00:00,2.76,1.664150903202474,"(3, 0, 1)"
