DATE,ACTUAL_VALUE,D+1,ORDER
2023-12-01 08:00:00,3.74,6.560484068277492,"(1, 0, 3)"
2023-12-02 08:00:00,4.2,5.606801992383585,"(1, 0, 3)"
2023-12-03 08:00:00,4.01,6.275844433315108,"(1, 0, 3)"
2023-12-04 08:00:00,3.31,4.691463921774954,"(2, 0, 4)"
2023-12-05 08:00:00,3.0,4.824159534980419,"(2, 0, 4)"
2023-12-06 08:00:00,10.39,3.6868108736828957,"(2, 0, 4)"
2023-12-07 08:00:00,4.9,7.518533029483049,"(1, 0, 3)"
2023-12-08 08:00:00,4.0,5.255588356289036,"(1, 0, 3)"
2023-12-09 08:00:00,5.34,6.2850343853434065,"(1, 0, 3)"
2023-12-10 08:00:00,17.0,9.047281589937494,"(1, 0, 3)"
2023-12-11 08:00:00,8.27,8.51056938805972,"(1, 0, 3)"
2023-12-12 08:00:00,5.38,6.05183065682581,"(2, 0, 4)"
2023-12-13 08:00:00,4.64,5.43196768629657,"(1, 0, 3)"
2023-12-14 08:00:00,3.67,5.014243680084853,"(2, 0, 4)"
2023-12-15 08:00:00,3.33,4.445885926585995,"(2, 0, 4)"
2023-12-16 08:00:00,3.9,7.020357108946519,"(2, 0, 4)"
2023-12-17 08:00:00,21.7,6.618724762608724,"(2, 0, 4)"
2023-12-18 08:00:00,9.9,9.577177516846833,"(3, 0, 4)"
2023-12-19 08:00:00,6.86,6.9765557938411105,"(3, 0, 4)"
2023-12-20 08:00:00,6.96,10.28212568697606,"(2, 0, 4)"
2023-12-21 08:00:00,12.21,10.214486650042618,"(2, 0, 4)"
2023-12-22 08:00:00,12.33,9.768298708536088,"(3, 0, 4)"
2023-12-23 08:00:00,11.79,10.419009788354003,"(2, 0, 4)"
2023-12-24 08:00:00,22.8,14.337552170180032,"(1, 0, 3)"
2023-12-25 08:00:00,18.0,17.712507334962215,"(1, 0, 3)"
2023-12-26 08:00:00,13.71,18.358201050356204,"(2, 0, 1)"
2023-12-27 08:00:00,8.98,5.964818695456284,"(1, 0, 3)"
2023-12-28 08:00:00,10.11,12.92657071046731,"(2, 0, 4)"
2023-12-29 08:00:00,12.15,13.073787920207968,"(1, 0, 3)"
2023-12-30 08:00:00,10.14,16.455449594592007,"(2, 0, 3)"
2023-12-31 08:00:00,16.38,14.884893382681865,"(2, 0, 3)"
2024-01-01 08:00:00,23.08,13.908555592258102,"(3, 0, 4)"
2024-01-02 08:00:00,11.37,11.113440692763257,"(3, 0, 4)"
2024-01-03 08:00:00,10.0,13.679662375003986,"(1, 0, 3)"
2024-01-04 08:00:00,7.91,7.396362943135364,"(4, 0, 4)"
2024-01-05 08:00:00,6.29,6.881501256534902,"(4, 0, 4)"
2024-01-06 08:00:00,5.71,6.4304301723291815,"(4, 0, 4)"
2024-01-07 08:00:00,5.91,6.747615402919692,"(4, 0, 4)"
2024-01-08 08:00:00,4.57,5.381329676996381,"(2, 0, 3)"
2024-01-09 08:00:00,3.89,5.100268435408456,"(1, 0, 3)"
2024-01-10 08:00:00,3.97,4.767035568122218,"(1, 0, 3)"
2024-01-11 08:00:00,3.3,4.929398534929792,"(1, 0, 3)"
2024-01-12 08:00:00,2.73,4.552225851679754,"(1, 0, 3)"
2024-01-13 08:00:00,5.76,6.927839864146661,"(1, 0, 3)"
2024-01-14 08:00:00,4.88,6.1161624705045154,"(4, 0, 4)"
2024-01-15 08:00:00,4.01,4.1777386371716,"(4, 0, 4)"
2024-01-16 08:00:00,3.18,3.864561059985989,"(1, 0, 3)"
2024-01-17 08:00:00,2.5,3.2075772906346294,"(1, 0, 4)"
2024-01-18 08:00:00,2.01,2.854593424613571,"(1, 0, 4)"
2024-01-19 08:00:00,2.94,3.0387948136066387,"(1, 0, 4)"
2024-01-20 08:00:00,4.9,9.240046044991937,"(2, 0, 3)"
2024-01-21 08:00:00,8.27,7.4893552245831225,"(2, 0, 4)"
2024-01-22 08:00:00,5.99,5.452392979102793,"(4, 0, 4)"
2024-01-23 08:00:00,4.77,4.74412329831301,"(4, 0, 4)"
2024-01-24 08:00:00,4.74,5.226304526340159,"(2, 0, 3)"
2024-01-25 08:00:00,6.0,3.0596731412265967,"(4, 0, 4)"
2024-01-26 08:00:00,4.5,11.71955155058589,"(2, 0, 3)"
2024-01-27 08:00:00,4.47,4.553085050447511,"(4, 0, 4)"
2024-01-28 08:00:00,6.35,4.926830997505198,"(2, 0, 4)"
2024-01-29 08:00:00,4.11,4.118496288153312,"(2, 0, 4)"
2024-01-30 08:00:00,3.52,3.476045626664651,"(2, 0, 4)"
2024-01-31 08:00:00,2.95,3.1894114186009115,"(2, 0, 4)"
2024-02-01 08:00:00,3.11,6.013684971565244,"(2, 0, 3)"
2024-02-02 08:00:00,4.13,3.305645902070802,"(4, 0, 4)"
2024-02-03 08:00:00,8.81,6.436005302982651,"(4, 0, 4)"
2024-02-04 08:00:00,12.1,10.085634554001363,"(2, 0, 4)"
2024-02-05 08:00:00,7.95,7.878126549603612,"(2, 0, 4)"
2024-02-06 08:00:00,6.15,7.4963803266240046,"(2, 0, 4)"
2024-02-07 08:00:00,4.49,3.9090826955890288,"(1, 0, 3)"
2024-02-08 08:00:00,3.22,3.255051047025817,"(3, 0, 4)"
2024-02-09 08:00:00,2.99,4.6037848666678896,"(2, 0, 4)"
2024-02-10 08:00:00,2.7,3.2412425861069716,"(2, 0, 4)"
2024-02-11 08:00:00,4.37,3.814924525992331,"(2, 0, 4)"
2024-02-12 08:00:00,2.99,2.979966989310252,"(2, 0, 4)"
2024-02-13 08:00:00,2.52,3.545919809135889,"(2, 0, 4)"
2024-02-14 08:00:00,2.2,2.830384859380155,"(2, 0, 4)"
2024-02-15 08:00:00,1.91,2.3477540611079375,"(2, 0, 4)"
2024-02-16 08:00:00,11.7,3.2423349201762437,"(2, 0, 4)"
2024-02-17 08:00:00,5.2,6.603516982226827,"(2, 0, 4)"
2024-02-18 08:00:00,6.19,5.257019685700314,"(2, 0, 4)"
2024-02-19 08:00:00,4.09,3.6519309649062763,"(2, 0, 4)"
2024-02-20 08:00:00,3.39,3.0912169185612743,"(3, 0, 4)"
2024-02-21 08:00:00,2.97,3.313868393028636,"(3, 0, 4)"
2024-02-22 08:00:00,3.68,2.9659335568266023,"(3, 0, 4)"
2024-02-23 08:00:00,6.5,5.1930740618398525,"(3, 0, 4)"
2024-02-24 08:00:00,5.16,4.722770998397832,"(3, 0, 4)"
2024-02-25 08:00:00,5.81,5.636535209955986,"(2, 0, 4)"
2024-02-26 08:00:00,4.15,3.380072945295323,"(3, 0, 4)"
2024-02-27 08:00:00,3.13,3.606617084364499,"(3, 0, 4)"
2024-02-28 08:00:00,2.7,3.3241930305452305,"(2, 0, 4)"
2024-02-29 08:00:00,4.29,4.328089521096066,"(2, 0, 1)"
