DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER
2023-12-01 16:00:00,64.59,46.90781272117188,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-02 16:00:00,43.67,47.509722357383346,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-03 16:00:00,35.0,38.86863687940403,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-04 16:00:00,32.84,44.58911323274337,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-05 16:00:00,33.3,44.72507572958909,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-06 16:00:00,79.0,26.287992665078185,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-07 16:00:00,38.75,90.61188075790264,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-08 16:00:00,29.83,31.235734106893158,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-09 16:00:00,23.98,23.082410341401662,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-10 16:00:00,19.58,21.949634460630143,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-11 16:00:00,20.4,24.96941705912889,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-12 16:00:00,19.81,24.56650932200177,"(1, 0, 0)","(2, 0, 0, 7)"
2023-12-13 16:00:00,18.38,22.436642405819022,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-14 16:00:00,18.73,18.798571441869186,"(1, 0, 0)","(2, 0, 1, 7)"
2023-12-15 16:00:00,17.72,16.88822718968952,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-16 16:00:00,16.16,15.172742593220114,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-17 16:00:00,14.94,14.720251369492841,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-18 16:00:00,18.54,18.799275051659063,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-19 16:00:00,16.13,20.560476008826033,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-20 16:00:00,14.5,17.000045866082694,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-21 16:00:00,13.01,16.78591622845616,"(1, 0, 0)","(1, 0, 1, 7)"
2023-12-22 16:00:00,12.33,12.9432503918129,"(1, 0, 0)","(2, 0, 1, 7)"
