DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-10,31.91999,19.80698,21.960371,19.451538
2023-12-11,25.41,24.17184,24.249336,26.15487
2023-12-12,15.380003,17.794754,18.340569,18.32023
2023-12-13,13.480003,14.697151,15.138609,14.4677305
2023-12-14,10.750002,13.765388,14.217063,13.772113
2023-12-15,9.12,10.214734,10.347975,9.861921
2023-12-16,9.2699995,10.100798,10.326159,9.805007
2023-12-17,25.89,14.230764,14.700299,13.642451
2023-12-18,24.419996,25.392563,25.939848,26.657118
2023-12-19,21.119997,18.699814,19.321262,19.346855
2023-12-20,19.219997,17.10107,18.01447,17.678255
2023-12-21,24.19,17.755774,18.517511,18.563633
2023-12-22,32.959995,31.774654,34.292397,34.29949
2023-12-23,36.07,33.278366,34.003,34.165493
2023-12-24,33.489994,28.926186,29.316256,30.384731
2023-12-25,31.810001,37.857002,39.679012,39.959286
2023-12-26,28.479992,26.55912,26.429878,27.530973
2023-12-27,18.61,22.908222,23.209213,23.773806
2023-12-28,27.250002,16.461458,16.635868,16.46825
2023-12-29,29.32999,24.88512,26.209742,27.33617
2023-12-30,26.859997,25.878008,26.681242,26.600546
2023-12-31,20.319996,21.419,21.92621,22.133242
2024-01-01,21.33,22.82013,23.504309,22.918053
2024-01-02,18.099997,18.274765,18.112333,18.485285
2024-01-03,24.159996,17.207281,17.69807,17.92995
2024-01-04,20.93,19.675177,20.500729,21.059715
2024-01-05,16.429996,16.403658,16.986153,16.994968
2024-01-06,14.130001,13.619003,14.125002,14.059937
2024-01-07,13.220001,13.624661,14.433424,14.159128
2024-01-08,10.77,12.611827,13.203314,12.962923
2024-01-09,9.0599985,10.275202,10.634849,10.272299
2024-01-10,7.3300004,8.583149,8.873793,8.571101
2024-01-11,6.09,7.0548325,7.265363,6.9504223
2024-01-12,5.21,6.11922,6.2708106,5.9471765
2024-01-13,5.2999997,5.646536,5.9621634,5.628066
2024-01-14,9.4400015,10.657101,11.719835,10.789933
2024-01-15,11.010001,9.1643505,9.483213,9.122184
2024-01-16,8.210001,9.599241,10.163994,10.316069
2024-01-17,7.1100006,7.7769184,8.092658,7.70798
2024-01-18,6.3600006,6.28425,6.5481334,6.4323897
2024-01-19,5.88,6.7058296,7.133671,6.921543
2024-01-20,6.3900003,7.550289,8.084124,7.44169
2024-01-21,6.76,8.055521,8.399504,7.847408
2024-01-22,18.379997,9.818566,9.936361,9.307742
2024-01-23,17.91,16.292559,17.412476,18.169582
2024-01-24,25.59,15.866904,17.050617,16.05527
2024-01-25,21.999996,20.283094,21.863165,22.39096
2024-01-26,13.329999,16.620073,17.863592,16.881184
2024-01-27,12.290003,14.900056,15.981134,14.969455
2024-01-28,9.9,12.008968,12.417531,11.870469
2024-01-29,10.710001,11.2624035,11.522671,10.712456
2024-01-30,8.830001,10.095175,10.4786415,10.35454
2024-01-31,7.530001,9.08165,9.652747,9.128934
2024-02-01,12.67,8.932317,9.652521,9.056749
2024-02-02,10.12,11.893334,12.777668,12.704535
2024-02-03,18.109995,13.583213,14.848444,13.151485
2024-02-04,19.030003,18.343327,18.96885,19.01403
2024-02-05,19.949999,20.195076,20.239237,19.557156
2024-02-06,18.79,16.26248,16.799578,16.76712
2024-02-07,18.539999,16.239899,17.09021,17.146034
