DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 08:00:00,5.34,3.9028268,3.72403,3.6184502
2023-12-10 08:00:00,17.0,16.59829,14.7300825,14.7547
2023-12-11 08:00:00,8.270001,8.849507,8.790172,7.922079
2023-12-12 08:00:00,5.379999,5.170952,4.977214,4.7786593
2023-12-13 08:00:00,4.64,4.505508,4.289634,4.1887703
2023-12-14 08:00:00,3.6700003,3.864389,3.7707877,3.68556
2023-12-15 08:00:00,3.3300002,3.1865451,3.1221364,3.10872
2023-12-16 08:00:00,3.8999999,4.2888613,4.2541647,4.370075
2023-12-17 08:00:00,21.7,8.39876,7.7816277,8.111797
2023-12-18 08:00:00,9.9,11.913538,10.988436,10.937598
2023-12-19 08:00:00,6.8599987,7.345741,6.8410435,5.728196
2023-12-20 08:00:00,6.9600005,5.660061,5.294015,4.985219
2023-12-21 08:00:00,12.21,9.47056,8.665414,9.439593
2023-12-22 08:00:00,12.330003,15.987343,13.528375,15.491612
2023-12-23 08:00:00,11.79,13.02987,11.878542,12.0049305
2023-12-24 08:00:00,22.8,11.87046,11.008102,11.030646
2023-12-25 08:00:00,18.0,19.878853,18.031866,19.19442
2023-12-26 08:00:00,13.710001,15.654032,14.459726,13.931782
2023-12-27 08:00:00,8.9800005,10.836004,10.207779,9.886112
2023-12-28 08:00:00,10.110002,11.474114,10.649993,9.73307
2023-12-29 08:00:00,12.15,9.732656,9.006504,9.149372
2023-12-30 08:00:00,10.14,10.124237,9.437749,9.313084
2023-12-31 08:00:00,16.380001,9.100591,8.508397,8.381767
2024-01-01 08:00:00,23.079996,16.28837,14.651939,14.493555
2024-01-02 08:00:00,11.370001,18.350208,16.418013,16.1661
2024-01-03 08:00:00,10.000001,16.362616,14.231945,12.4131365
2024-01-04 08:00:00,7.910001,9.591145,8.582886,7.776527
2024-01-05 08:00:00,6.2899995,6.455028,5.8463626,5.6711473
2024-01-06 08:00:00,5.7100005,5.9415183,5.428486,5.4421644
2024-01-07 08:00:00,5.9099994,5.590828,5.1427855,5.2916584
2024-01-08 08:00:00,4.57,4.8782897,4.5430903,4.6149893
2024-01-09 08:00:00,3.8899999,3.81066,3.5864606,3.633513
2024-01-10 08:00:00,3.9700003,3.294927,3.1114893,3.26927
2024-01-11 08:00:00,3.3000002,3.7452803,3.6130419,3.4368804
2024-01-12 08:00:00,2.7300003,3.096237,2.9394455,2.8572352
2024-01-13 08:00:00,5.76,4.1257877,3.904764,3.9626088
2024-01-14 08:00:00,4.88,6.501991,5.340061,5.099951
2024-01-15 08:00:00,4.01,6.256068,5.805055,5.056997
2024-01-16 08:00:00,3.1799998,2.694197,2.6156793,2.5029483
2024-01-17 08:00:00,2.5000002,2.8082423,2.7293227,2.720706
2024-01-18 08:00:00,2.0099998,2.0117097,1.9804865,2.0407653
2024-01-19 08:00:00,2.9400003,1.9332855,1.8814604,2.03051
2024-01-20 08:00:00,4.8999996,3.1761463,3.1150699,3.299234
2024-01-21 08:00:00,8.270001,4.8891077,4.919717,5.4466066
2024-01-22 08:00:00,5.989999,17.375244,16.28164,13.640095
2024-01-23 08:00:00,4.77,5.2260013,5.085702,4.3190794
2024-01-24 08:00:00,4.7400007,6.110125,5.760205,5.3539996
2024-01-25 08:00:00,6.0000005,3.7613683,3.5815856,3.310476
2024-01-26 08:00:00,4.5000005,3.7834039,3.6338754,3.5429487
2024-01-27 08:00:00,4.47,4.153969,4.0019207,3.796883
2024-01-28 08:00:00,6.35,3.3538256,3.2819052,3.1343257
2024-01-29 08:00:00,4.1099997,8.210421,7.9101686,7.193929
2024-01-30 08:00:00,3.52,3.206631,3.1411016,2.843967
2024-01-31 08:00:00,2.9500003,3.2627208,3.1777267,3.0048437
2024-02-01 08:00:00,3.1100001,5.881015,5.476464,4.853463
2024-02-02 08:00:00,4.13,2.5643816,2.5842106,2.5982642
2024-02-03 08:00:00,8.810001,6.5468054,6.1972704,6.473563
2024-02-04 08:00:00,12.1,8.11005,7.8199525,7.9631624
2024-02-05 08:00:00,7.95,11.512402,10.101981,10.549044
2024-02-06 08:00:00,6.1499996,7.5472765,6.924443,6.226156
2024-02-07 08:00:00,4.4900002,5.7361126,5.3769107,4.89909
2024-02-08 08:00:00,3.2200003,3.3047228,3.1327791,3.1259077
2024-02-09 08:00:00,2.9900005,3.0495188,2.9176924,3.055413
2024-02-10 08:00:00,2.6999998,2.5263844,2.464456,2.5778217
2024-02-11 08:00:00,4.37,3.6184034,3.5724716,3.9836595
2024-02-12 08:00:00,2.9900005,3.0570164,2.9707377,3.1468341
2024-02-13 08:00:00,2.52,2.728586,2.6618605,2.7288687
2024-02-14 08:00:00,2.2000003,2.251077,2.2119656,2.3587575
2024-02-15 08:00:00,1.9100002,2.0432606,2.0103593,2.140572
2024-02-16 08:00:00,11.700002,1.7761793,1.7632895,1.9017353
2024-02-17 08:00:00,5.2000003,11.343178,9.842144,8.198579
2024-02-18 08:00:00,6.189999,6.754565,6.2112417,4.959282
2024-02-19 08:00:00,4.0900006,12.563858,10.929581,8.87056
2024-02-20 08:00:00,3.3900006,4.5831323,4.088274,3.3338778
2024-02-21 08:00:00,2.9700003,5.252903,4.470311,3.6997292
2024-02-22 08:00:00,3.68,5.3862557,4.300412,3.3681948
2024-02-23 08:00:00,6.5000005,9.370588,6.8005404,6.288298
2024-02-24 08:00:00,5.1600003,4.044757,3.7011526,3.4916604
2024-02-25 08:00:00,5.8099995,5.3121886,5.1646404,4.5491915
2024-02-26 08:00:00,4.15,5.1014357,4.922736,4.4088125
2024-02-27 08:00:00,3.1299999,4.257535,3.9894042,3.5281992
2024-02-28 08:00:00,2.6999998,3.3513455,3.095565,2.8756397
2024-02-29 08:00:00,4.2900004,3.987554,3.5006208,3.3013074
2024-03-01 08:00:00,2.89,4.5960064,4.0653286,3.442276
2024-03-02 08:00:00,4.0500007,4.2635727,3.7076283,3.2788584
2024-03-03 08:00:00,7.8999987,5.991636,5.2423577,4.9100327
2024-03-04 08:00:00,3.8500004,7.951406,7.218239,5.6557093
2024-03-05 08:00:00,3.0700002,5.1892614,4.6351132,3.7256691
2024-03-06 08:00:00,2.65,4.1218395,3.662045,3.1999488
2024-03-07 08:00:00,2.64,3.4676218,3.0235705,2.7683053
2024-03-08 08:00:00,4.55,4.2212048,3.7394216,3.2689254
2024-03-09 08:00:00,9.2699995,7.8673177,7.218303,6.298831
2024-03-10 08:00:00,12.629999,12.731691,11.99479,12.000089
2024-03-11 08:00:00,6.78,9.810978,9.712904,8.936972
2024-03-12 08:00:00,4.57,6.789317,6.5690217,5.9486613
2024-03-13 08:00:00,3.6100004,5.009016,4.7531567,4.610091
2024-03-14 08:00:00,3.1600003,4.4503074,4.143655,4.0255775
2024-03-15 08:00:00,3.1600003,6.6186366,6.625253,4.7995167
2024-03-16 08:00:00,9.500001,8.105979,7.954864,5.6294327
2024-03-17 08:00:00,6.9000006,8.53083,7.9948583,7.121455
2024-03-18 08:00:00,4.8,7.756687,7.1036105,5.8157434
2024-03-19 08:00:00,5.579999,5.5406504,5.0841084,4.693243
2024-03-20 08:00:00,4.3500004,5.596525,5.1223564,4.94624
2024-03-21 08:00:00,3.7800002,5.0762987,4.7258167,4.3580036
2024-03-22 08:00:00,8.0,5.8792,5.3492937,5.1586823
2024-03-23 08:00:00,13.240001,9.745827,8.958167,8.46519
2024-03-24 08:00:00,21.160004,22.700653,21.23066,21.43143
2024-03-25 08:00:00,10.049998,12.851908,12.511619,11.870374
2024-03-26 08:00:00,8.41,8.919523,8.625298,8.31925
2024-03-27 08:00:00,6.4000006,8.937111,9.049552,8.4318905
2024-03-28 08:00:00,5.7,7.161144,6.9179993,6.5825086
2024-03-29 08:00:00,17.639997,15.77537,14.719229,14.664808
2024-03-30 08:00:00,16.43,12.466999,12.319376,10.914331
2024-03-31 08:00:00,15.440001,15.623347,16.465347,14.60274
2024-04-01 08:00:00,13.400001,14.5088005,15.495379,14.216327
2024-04-02 08:00:00,15.0,14.40746,14.491096,15.606504
2024-04-03 08:00:00,8.900001,11.6099,11.766462,12.481737
2024-04-04 08:00:00,8.0,10.021538,10.33757,9.441951
2024-04-05 08:00:00,7.0299997,8.515811,8.925099,7.817577
2024-04-06 08:00:00,9.69,9.007427,9.622308,8.7102585
2024-04-07 08:00:00,15.200001,15.18263,16.52827,16.090763
2024-04-08 08:00:00,9.759998,11.261114,12.228122,11.476753
2024-04-09 08:00:00,7.870001,9.159926,9.701113,8.785656
2024-04-10 08:00:00,7.2300014,14.80557,16.043667,13.341668
2024-04-11 08:00:00,15.880003,7.954315,7.515243,8.365914
2024-04-12 08:00:00,18.640001,11.204077,10.661262,12.556335
2024-04-13 08:00:00,17.780003,15.964212,17.213156,18.440311
2024-04-14 08:00:00,31.91,20.11288,21.917194,21.712708
2024-04-15 08:00:00,17.840004,16.91703,19.02335,20.9788
2024-04-16 08:00:00,25.469997,50.765923,53.80293,48.385944
2024-04-17 08:00:00,17.880001,16.250761,16.977865,15.310827
2024-04-18 08:00:00,12.880001,13.460728,13.641003,13.56253
2024-04-19 08:00:00,12.440001,13.642248,14.185981,13.98641
2024-04-20 08:00:00,13.21,17.369667,18.715036,17.466766
2024-04-21 08:00:00,16.800001,12.010895,12.424286,12.223695
2024-04-22 08:00:00,13.100001,16.101324,18.150913,18.719215
2024-04-23 08:00:00,9.700001,10.598652,11.166759,11.102664
2024-04-24 08:00:00,9.17,9.943211,10.617632,10.852473
2024-04-25 08:00:00,7.530001,8.128255,8.251434,8.535367
2024-04-26 08:00:00,15.530001,6.959114,7.1617956,7.9084396
2024-04-27 08:00:00,17.920002,10.501467,10.710278,13.6707
2024-04-28 08:00:00,39.99999,19.324474,22.181646,22.373291
2024-04-29 08:00:00,17.840004,19.150679,21.590881,23.099766
2024-04-30 08:00:00,15.849998,12.790482,14.1569605,15.079382
2024-05-01 08:00:00,32.469997,15.840023,18.471626,19.296177
2024-05-02 08:00:00,21.160004,18.598259,21.142138,23.057026
2024-05-03 08:00:00,15.0,13.698011,15.161149,16.975046
2024-05-04 08:00:00,14.710001,12.142218,13.439403,15.372233
2024-05-05 08:00:00,28.73,14.517485,16.2106,18.051628
2024-05-06 08:00:00,15.810001,15.386405,17.641815,19.561043
2024-05-07 08:00:00,13.299999,11.691993,12.769495,13.930617
2024-05-08 08:00:00,10.800001,10.323771,11.304094,12.518282
2024-05-09 08:00:00,18.43,10.485968,11.421543,12.76825
2024-05-10 08:00:00,14.660003,12.172822,13.891543,14.174652
2024-05-11 08:00:00,19.5,11.4892435,12.837107,13.888355
2024-05-12 08:00:00,27.259998,16.502605,19.277863,20.81618
2024-05-13 08:00:00,278.59998,17.367464,20.06397,22.033491
2024-05-14 08:00:00,152.76994,58.897064,67.1372,71.81419
2024-05-15 08:00:00,67.77001,37.650955,44.623226,43.452957
2024-05-16 08:00:00,43.64999,30.446035,36.318172,38.52084
2024-05-17 08:00:00,27.070004,23.928638,28.595932,31.396519
2024-05-18 08:00:00,30.29,20.887356,24.638609,28.298254
2024-05-19 08:00:00,37.999996,20.730246,24.738434,28.943464
2024-05-20 08:00:00,50.23,21.652912,26.382904,31.098991
2024-05-21 08:00:00,29.899998,22.142996,27.513756,32.600338
2024-05-22 08:00:00,25.000004,26.36752,31.118315,35.397865
2024-05-23 08:00:00,19.530003,16.389484,18.733255,21.21922
2024-05-24 08:00:00,16.23,14.518018,16.550995,18.620872
2024-05-25 08:00:00,19.34,13.63747,15.28562,17.173145
2024-05-26 08:00:00,33.46,15.522617,18.038897,20.739437
2024-05-27 08:00:00,20.949997,17.933449,21.292545,23.708406
2024-05-28 08:00:00,16.369997,13.660881,15.348128,17.373238
2024-05-29 08:00:00,15.21,14.326272,16.625359,18.391071
2024-05-30 08:00:00,15.220001,11.649729,13.021189,14.122921
2024-05-31 08:00:00,12.500001,11.988136,13.7854,14.390619
2024-06-01 08:00:00,17.36,10.942603,12.179234,13.023131
2024-06-02 08:00:00,33.999996,26.218065,30.534502,32.325333
2024-06-03 08:00:00,123.60997,96.69711,102.098366,77.63705
2024-06-04 08:00:00,70.719986,77.20693,85.47514,59.245983
2024-06-05 08:00:00,40.200005,44.4517,47.254433,50.38918
2024-06-06 08:00:00,30.000006,27.204945,30.331125,35.901073
2024-06-07 08:00:00,24.09,21.56621,25.175932,29.12942
