DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 12:00:00,10.979999,12.448324,12.519875,14.480598
2023-12-10 12:00:00,9.500001,10.227129,9.737298,9.66179
2023-12-11 12:00:00,10.529999,10.458269,9.934755,10.9365425
2023-12-12 12:00:00,10.4,12.440929,12.004144,11.189464
2023-12-13 12:00:00,9.86,10.608202,9.937361,9.067692
2023-12-14 12:00:00,11.699999,10.439852,9.962891,9.564654
2023-12-15 12:00:00,9.359999,10.417144,10.203253,10.196906
2023-12-16 12:00:00,8.589998,9.561853,9.240879,8.816209
2023-12-17 12:00:00,7.6800017,9.102135,8.684597,8.002355
2023-12-18 12:00:00,8.41,9.456293,8.903951,8.014126
2023-12-19 12:00:00,7.5499997,9.730007,9.230565,8.167682
2023-12-20 12:00:00,7.0,8.787651,8.177912,7.030511
2023-12-21 12:00:00,6.3799996,8.055581,7.484058,7.1066985
2023-12-22 12:00:00,5.7999997,7.4422736,6.8848567,6.328126
2023-12-23 12:00:00,5.0499997,7.3328886,6.65472,5.3103886
2023-12-24 12:00:00,5.930001,7.1838336,6.3426237,4.811282
2023-12-25 12:00:00,5.6100006,7.0987625,6.4194603,5.6477394
2023-12-26 12:00:00,5.17,6.810305,6.2076783,5.2118034
2023-12-27 12:00:00,6.78,8.413924,7.9045196,6.447934
2023-12-28 12:00:00,5.6800003,7.6520324,7.018584,5.5823717
2023-12-29 12:00:00,5.2599993,6.787312,6.1928573,5.1095295
2023-12-30 12:00:00,4.98,6.269948,5.761522,4.86852
2023-12-31 12:00:00,4.7799997,6.4622674,5.8831043,4.704316
2024-01-01 12:00:00,4.41,5.7287803,5.2027154,4.5613546
2024-01-02 12:00:00,5.7,6.259579,5.845813,4.83513
2024-01-03 12:00:00,4.9700003,5.9490266,5.5503697,4.8982267
2024-01-04 12:00:00,5.1499996,6.051874,5.684883,5.162859
2024-01-05 12:00:00,5.000001,5.989885,5.5275,4.97472
2024-01-06 12:00:00,4.3,5.2769475,4.8645997,4.307328
2024-01-07 12:00:00,4.0,4.787508,4.4207377,3.9953358
2024-01-08 12:00:00,4.58,4.881609,4.5517673,4.107418
2024-01-09 12:00:00,4.47,5.232378,4.9837837,4.577937
2024-01-10 12:00:00,14.280001,12.684285,13.7820835,12.278357
2024-01-11 12:00:00,8.2,8.5935545,8.364135,8.521437
2024-01-12 12:00:00,5.9399996,7.149885,6.991151,6.690156
2024-01-13 12:00:00,4.3,5.6234927,5.2648244,5.0892634
2024-01-14 12:00:00,3.81,4.704463,4.3544235,3.8718352
2024-01-15 12:00:00,4.16,4.970078,4.5769153,4.2055426
2024-01-16 12:00:00,4.4500003,5.64062,5.2560015,4.3911896
2024-01-17 12:00:00,8.240001,5.3891435,4.9266605,4.227068
2024-01-18 12:00:00,5.14,6.0703897,5.9138527,8.00532
2024-01-19 12:00:00,4.3900003,5.101096,4.7721195,4.4844213
2024-01-20 12:00:00,3.8,4.9797153,4.604412,4.273
2024-01-21 12:00:00,3.38,5.261161,4.7488666,3.850903
2024-01-22 12:00:00,3.9699998,4.9495234,4.415434,3.9125185
2024-01-23 12:00:00,3.9400003,5.006683,4.548819,4.06076
2024-01-24 12:00:00,3.6299996,4.763255,4.3403244,3.6279569
2024-01-25 12:00:00,8.849998,6.069236,5.839242,4.8685575
2024-01-26 12:00:00,4.7299995,5.7129536,5.4881573,5.903263
2024-01-27 12:00:00,3.81,4.798109,4.5036483,4.1186314
2024-01-28 12:00:00,3.4199998,4.6437387,4.2683544,3.774315
2024-01-29 12:00:00,3.85,4.628819,4.237151,3.7539306
2024-01-30 12:00:00,4.21,4.97065,4.5368705,4.4431686
2024-01-31 12:00:00,3.9900002,5.294071,4.937724,4.287746
2024-02-01 12:00:00,3.7399998,4.6209617,4.15475,3.4945955
2024-02-02 12:00:00,3.5400002,4.88225,4.5253506,3.9983816
2024-02-03 12:00:00,3.0699995,4.2576656,3.7942095,3.1785097
2024-02-04 12:00:00,2.9099998,4.420973,3.9296408,3.1563966
2024-02-05 12:00:00,3.1799998,4.429869,3.9683256,3.3394918
2024-02-06 12:00:00,3.12,4.409878,3.952843,3.3203678
2024-02-07 12:00:00,7.1100006,4.405915,3.9583058,3.2173605
2024-02-08 12:00:00,6.800001,6.7541413,6.8702106,7.7627587
2024-02-09 12:00:00,4.98,4.9996767,4.7349873,4.5386624
2024-02-10 12:00:00,3.7399998,4.4988613,4.341548,4.3295746
2024-02-11 12:00:00,3.1599998,4.010604,3.7949648,3.6268244
2024-02-12 12:00:00,3.1999998,4.0943747,3.8343816,3.4528315
2024-02-13 12:00:00,3.1100001,3.9686165,3.6546943,3.1671183
2024-02-14 12:00:00,2.8799996,3.7695236,3.4610014,3.265143
2024-02-15 12:00:00,2.79,3.7380915,3.441227,2.9586508
2024-02-16 12:00:00,2.65,3.4819093,3.164185,3.1350508
2024-02-17 12:00:00,2.4099998,3.3388906,3.044971,2.6399477
2024-02-18 12:00:00,2.3699996,3.5105197,3.1426141,2.5983696
2024-02-19 12:00:00,2.99,3.8322387,3.4654753,3.1459093
2024-02-20 12:00:00,3.1499996,4.165685,3.7937047,3.232083
2024-02-21 12:00:00,94.890015,3.9526286,3.544643,3.134178
2024-02-22 12:00:00,11.38,7.902108,10.652646,21.45899
2024-02-23 12:00:00,6.4000006,6.224354,7.5287485,8.5752125
2024-02-24 12:00:00,4.7799997,5.73951,5.984128,6.540593
2024-02-25 12:00:00,3.6,4.2418623,4.11849,4.499274
2024-02-26 12:00:00,3.46,4.0072947,3.8423262,3.363936
2024-02-27 12:00:00,3.5000002,3.8431141,3.6361268,3.2736995
2024-02-28 12:00:00,3.46,8.500478,8.190498,7.021238
2024-02-29 12:00:00,3.9099998,5.639163,4.788437,3.5221992
2024-03-01 12:00:00,3.53,4.874192,4.3803453,4.1501775
2024-03-02 12:00:00,3.1599998,4.3713675,4.012473,3.610894
2024-03-03 12:00:00,2.77,3.936741,3.6250067,3.2505016
2024-03-04 12:00:00,3.4499998,4.222805,3.9014206,3.6635525
2024-03-05 12:00:00,3.0899997,4.150299,3.8015623,3.3520525
2024-03-06 12:00:00,3.1299999,4.593405,4.2574034,3.791287
2024-03-07 12:00:00,36.85001,4.320952,3.8729393,3.3005989
2024-03-08 12:00:00,8.78,7.3781133,9.125469,16.831812
2024-03-09 12:00:00,5.78,6.674648,7.4775124,7.5246196
2024-03-10 12:00:00,5.000001,7.4811273,7.750466,8.383681
2024-03-11 12:00:00,4.96,5.8895187,5.4621925,4.8952665
2024-03-12 12:00:00,4.5699997,5.7517223,5.4332685,5.095367
2024-03-13 12:00:00,4.05,5.333227,5.038225,4.684506
2024-03-14 12:00:00,3.7799997,4.7415814,4.429039,4.028613
2024-03-15 12:00:00,3.46,4.364079,4.059649,3.5915146
2024-03-16 12:00:00,3.0599997,4.3348765,3.9954205,3.6268315
2024-03-17 12:00:00,2.9099998,4.2376623,3.8643694,3.2195716
2024-03-18 12:00:00,2.89,4.0799217,3.6557264,3.204839
2024-03-19 12:00:00,2.8600001,4.6482105,4.1453447,4.522684
2024-03-20 12:00:00,2.84,5.2447424,4.645081,3.9148674
2024-03-21 12:00:00,2.7999997,4.62753,3.8667789,3.2523382
2024-03-22 12:00:00,7.7900004,13.819534,14.512631,11.695534
2024-03-23 12:00:00,4.64,8.532112,7.442769,6.942516
2024-03-24 12:00:00,4.1800003,6.8398023,5.8812575,4.3041463
2024-03-25 12:00:00,3.9699998,5.95366,5.2236037,4.6015234
2024-03-26 12:00:00,3.5499997,5.8089275,5.10042,4.8246937
2024-03-27 12:00:00,3.4099998,5.067733,4.408467,3.8738015
2024-03-28 12:00:00,3.2699997,5.527459,4.8332996,4.0481086
2024-03-29 12:00:00,3.9299998,5.317483,4.5993195,3.4719682
2024-03-30 12:00:00,3.92,6.6248007,5.743254,4.9367347
2024-03-31 12:00:00,4.0299997,6.7131677,5.7204123,4.0738134
2024-04-01 12:00:00,3.8300002,6.5041785,5.584347,4.0207386
2024-04-02 12:00:00,3.9400003,6.4956026,5.693846,4.4806285
2024-04-03 12:00:00,3.85,6.47437,5.6537595,4.1393733
2024-04-04 12:00:00,3.6799996,6.061724,5.2441545,3.690755
2024-04-05 12:00:00,3.7299998,5.6426806,4.9171515,3.6292806
2024-04-06 12:00:00,3.1299999,5.52159,4.853659,3.6863847
2024-04-07 12:00:00,2.6399996,5.2082415,4.479948,3.1696248
2024-04-08 12:00:00,3.4,5.7612963,4.932563,3.3865945
2024-04-09 12:00:00,3.1899996,6.299688,5.4241595,3.8286812
2024-04-10 12:00:00,3.7399998,6.902199,5.889847,3.9100425
2024-04-11 12:00:00,5.31,7.3681974,6.051544,3.9463031
2024-04-12 12:00:00,6.19,12.076625,11.0377445,8.42939
2024-04-13 12:00:00,6.4700003,10.504917,8.97554,6.6717405
2024-04-14 12:00:00,5.8199997,8.521337,7.2733793,5.7144246
2024-04-15 12:00:00,5.9399996,53.46234,58.17032,47.167137
2024-04-16 12:00:00,94.250015,20.08073,16.964605,17.243813
2024-04-17 12:00:00,24.34,42.730286,45.088516,47.84647
2024-04-18 12:00:00,18.0,27.712969,26.8288,23.122845
2024-04-19 12:00:00,13.649997,19.27635,18.031471,16.36514
2024-04-20 12:00:00,10.200001,14.984585,14.080154,12.15417
2024-04-21 12:00:00,8.07,12.106684,11.302973,9.424332
2024-04-22 12:00:00,17.460001,15.558121,13.602829,11.447757
2024-04-23 12:00:00,12.41,16.168428,14.334602,10.178768
2024-04-24 12:00:00,11.6900015,13.800802,12.345581,9.958569
