DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 20:00:00,9.419998,10.088886,9.013704,10.303067
2023-12-04 20:00:00,9.47,8.639187,8.280167,9.433405
2023-12-05 20:00:00,9.209997,9.187734,9.486129,11.032373
2023-12-06 20:00:00,9.0199995,12.4515505,12.7472515,15.2935
2023-12-07 20:00:00,8.529999,8.967062,8.00248,8.470113
2023-12-08 20:00:00,8.169998,8.477397,7.7927837,8.654776
2023-12-09 20:00:00,9.65,7.6037493,6.9853,7.7185626
2023-12-10 20:00:00,9.109999,8.194483,8.3293295,9.307245
2023-12-11 20:00:00,9.43,8.705941,9.028807,10.195694
2023-12-12 20:00:00,9.0199995,8.961399,9.290252,10.431122
2023-12-13 20:00:00,8.609998,8.567912,8.766346,9.869183
2023-12-14 20:00:00,8.059998,8.43066,8.483265,9.563626
2023-12-15 20:00:00,7.540001,8.189843,7.9153023,8.956809
2023-12-16 20:00:00,7.0799985,7.878902,7.263775,8.110826
2023-12-17 20:00:00,6.9600005,7.2177234,6.818473,7.631332
2023-12-18 20:00:00,7.1599994,7.722384,7.379979,8.23411
2023-12-19 20:00:00,7.089999,7.3133545,7.02158,7.7423563
2023-12-20 20:00:00,6.5099993,7.121188,6.944086,7.656689
2023-12-21 20:00:00,5.6899996,6.2872887,6.085465,6.789666
2023-12-22 20:00:00,5.7299986,5.687682,5.4206614,6.1024017
2023-12-23 20:00:00,7.5499997,5.7766833,5.6501465,6.2755156
2023-12-24 20:00:00,9.25,6.9111323,7.113282,7.899534
2023-12-25 20:00:00,9.9800005,8.188261,8.6977415,9.652422
2023-12-26 20:00:00,9.2699995,8.449404,8.87717,10.206122
2023-12-27 20:00:00,8.869999,9.442867,9.591883,10.968827
2023-12-28 20:00:00,7.999998,8.234856,8.083822,9.18183
2023-12-29 20:00:00,7.289999,8.55492,8.13479,9.192291
2023-12-30 20:00:00,8.649999,8.805711,8.074224,9.237693
2023-12-31 20:00:00,8.469999,8.943233,8.263142,9.502262
2024-01-01 20:00:00,8.139999,8.781994,8.143456,9.332783
2024-01-02 20:00:00,7.8399987,8.998677,8.241808,9.3151245
2024-01-03 20:00:00,7.5999985,8.959179,8.229531,9.078381
2024-01-04 20:00:00,7.8199987,9.614376,8.801501,9.706993
2024-01-05 20:00:00,7.2999983,8.301763,7.257372,8.118937
2024-01-06 20:00:00,6.699999,7.8791013,6.820488,7.332551
2024-01-07 20:00:00,6.0599995,7.259518,6.3074584,6.710027
2024-01-08 20:00:00,5.7799997,7.0527744,6.166707,6.638618
2024-01-09 20:00:00,5.999999,7.5747337,6.6988754,7.2186756
2024-01-10 20:00:00,5.869999,8.297942,7.199501,7.8403273
2024-01-11 20:00:00,5.659999,7.7592726,6.3799415,7.0591626
2024-01-12 20:00:00,5.3099995,6.4914865,5.411027,5.8238497
2024-01-13 20:00:00,4.8599997,5.3993163,4.496353,5.0549855
2024-01-14 20:00:00,4.3499994,4.779533,4.2603765,4.7896357
2024-01-15 20:00:00,4.37,4.6496453,4.4583282,5.163471
2024-01-16 20:00:00,4.6899996,4.5519347,4.682744,5.4506407
2024-01-17 20:00:00,5.04,5.2534285,5.5747185,6.5840707
2024-01-18 20:00:00,4.9499993,4.9349055,4.8596163,5.7048135
2024-01-19 20:00:00,4.5399995,4.1954203,3.9589684,4.51628
2024-01-20 20:00:00,4.4699993,4.1142097,4.067609,4.6905746
2024-01-21 20:00:00,4.57,3.9029472,3.8939602,4.3214855
2024-01-22 20:00:00,4.5299997,4.252098,4.468555,4.9736195
2024-01-23 20:00:00,4.5999994,4.211502,4.389034,4.941551
2024-01-24 20:00:00,4.49,4.148505,4.265811,4.819434
2024-01-25 20:00:00,6.4700003,5.984858,6.213333,7.20234
2024-01-26 20:00:00,4.9399996,4.8053927,4.688188,5.4555764
2024-01-27 20:00:00,5.5599995,4.6943474,4.6340594,5.2842975
2024-01-28 20:00:00,5.0999994,4.9268417,4.9879646,5.6463776
2024-01-29 20:00:00,5.669999,6.0202904,6.2402697,7.010677
2024-01-30 20:00:00,5.1999993,4.809272,4.5728116,5.1665125
2024-01-31 20:00:00,4.83,4.7932096,4.8453035,5.4159026
2024-02-01 20:00:00,5.04,5.366535,4.7862463,5.1765695
2024-02-02 20:00:00,4.33,4.9468827,4.626987,5.2067504
2024-02-03 20:00:00,4.1899996,4.6162214,4.160161,4.599085
2024-02-04 20:00:00,4.0,3.9942052,3.804397,4.332984
2024-02-05 20:00:00,3.9699998,4.736784,4.3659286,4.8703823
2024-02-06 20:00:00,3.949999,4.1233015,3.8833737,4.3575687
2024-02-07 20:00:00,4.92,5.3538465,5.357663,6.1244273
2024-02-08 20:00:00,4.7699995,4.879637,4.503791,5.199747
2024-02-09 20:00:00,4.04,4.241624,4.087999,4.588894
2024-02-10 20:00:00,3.7799997,3.7570376,3.5977604,4.102617
2024-02-11 20:00:00,3.48,3.3980584,3.3942137,3.9299486
2024-02-12 20:00:00,3.46,3.5552049,3.5818362,4.146353
2024-02-13 20:00:00,3.2999997,3.4031327,3.5089912,4.054903
2024-02-14 20:00:00,3.1099997,3.165887,3.1036577,3.6404142
2024-02-15 20:00:00,2.9100003,3.323811,3.2779372,3.7969882
2024-02-16 20:00:00,2.74,2.8025858,2.6897864,3.1183589
2024-02-17 20:00:00,3.25,2.922878,2.9305081,3.3728073
2024-02-18 20:00:00,3.3700001,2.769741,2.7943523,3.2470367
2024-02-19 20:00:00,3.62,3.3607585,3.5130816,4.0764093
2024-02-20 20:00:00,3.5399997,3.2674136,3.3575246,3.7674341
2024-02-21 20:00:00,3.3399997,3.6331632,3.59625,4.4715233
2024-02-22 20:00:00,3.1399999,3.3832512,3.432105,3.7499733
2024-02-23 20:00:00,6.2499995,3.527333,3.7158601,4.3837337
2024-02-24 20:00:00,7.15,4.7882,5.431711,6.4909024
2024-02-25 20:00:00,5.3199997,4.6143956,5.3322897,6.8542233
2024-02-26 20:00:00,4.67,4.298271,4.742567,6.0527606
2024-02-27 20:00:00,4.9799995,4.8374395,5.478481,6.6690836
2024-02-28 20:00:00,4.66,5.02253,5.175884,6.1104183
2024-02-29 20:00:00,4.38,4.3746023,4.1038394,4.3840513
2024-03-01 20:00:00,4.27,5.2474327,4.3059015,4.4154167
2024-03-02 20:00:00,4.05,5.0184307,4.144532,4.314648
2024-03-03 20:00:00,3.8299997,4.215442,3.735494,4.018941
2024-03-04 20:00:00,4.3199997,4.3763914,4.202823,4.595584
2024-03-05 20:00:00,4.289999,4.3305435,4.1910114,4.608908
2024-03-06 20:00:00,4.169999,4.739829,4.661355,5.1255445
2024-03-07 20:00:00,3.8999999,4.2421865,3.849357,4.5682983
2024-03-08 20:00:00,3.68,4.1320367,3.9158487,4.272774
2024-03-09 20:00:00,3.5399997,3.7097454,3.5666971,3.9217548
2024-03-10 20:00:00,3.19,3.6383948,3.509403,3.9526582
2024-03-11 20:00:00,3.85,3.9472437,3.8323839,4.242386
2024-03-12 20:00:00,4.0299993,4.5601735,4.7280455,5.2350316
2024-03-13 20:00:00,3.8600001,3.7009933,3.6244018,4.2324634
2024-03-14 20:00:00,3.6399999,3.6601448,3.6679444,4.211064
2024-03-15 20:00:00,3.6999998,3.4426017,3.4441626,3.9492912
2024-03-16 20:00:00,4.3499994,3.414455,3.4477062,3.9192162
2024-03-17 20:00:00,4.33,3.7017214,3.9631371,4.4771056
2024-03-18 20:00:00,4.8100004,5.4028063,6.1245265,6.8774476
2024-03-19 20:00:00,5.119999,5.165739,5.4042587,6.2839293
2024-03-20 20:00:00,6.43,5.5510483,5.7791777,6.5676465
2024-03-21 20:00:00,5.96,5.427757,5.6176524,6.429656
2024-03-22 20:00:00,5.5999985,6.017369,5.9083138,6.494375
2024-03-23 20:00:00,5.699999,5.576973,5.1915007,4.890115
2024-03-24 20:00:00,5.3499994,5.2108455,5.036149,5.223473
2024-03-25 20:00:00,7.540001,7.2449727,7.7214255,8.239754
2024-03-26 20:00:00,7.2299995,6.0215435,5.896081,6.6767154
2024-03-27 20:00:00,6.69,7.528913,7.3140025,8.130124
