DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 12:00:00,4.46,3.945704,3.9212742,4.058924
2023-12-10 12:00:00,7.1600018,8.485671,7.8367133,7.941023
2023-12-11 12:00:00,5.6700006,5.431397,5.174932,5.613982
2023-12-12 12:00:00,4.0099998,3.2895124,3.6344085,4.3349133
2023-12-13 12:00:00,3.9500003,3.1869094,3.3136082,3.7593725
2023-12-14 12:00:00,3.6399999,2.4783878,2.878904,3.472886
2023-12-15 12:00:00,3.3500001,2.8471036,3.0718539,3.5367742
2023-12-16 12:00:00,4.0600004,4.634868,4.431797,4.372012
2023-12-17 12:00:00,9.600001,9.145968,9.519024,10.095913
2023-12-18 12:00:00,5.9100003,7.142676,7.035448,7.277489
2023-12-19 12:00:00,4.8600006,5.6111073,5.043392,4.990919
2023-12-20 12:00:00,5.2500005,6.3638744,5.810439,5.8050747
2023-12-21 12:00:00,8.110001,10.2863655,9.60961,9.329424
2023-12-22 12:00:00,12.8,12.932253,11.837303,10.6936245
2023-12-23 12:00:00,12.550001,14.924309,13.707483,12.422782
2023-12-24 12:00:00,18.529995,23.340015,22.335443,21.05931
2023-12-25 12:00:00,16.2,23.4136,21.611229,19.27898
2023-12-26 12:00:00,13.54,23.618229,21.05557,18.259638
2023-12-27 12:00:00,8.219999,10.307328,10.224682,9.959668
2023-12-28 12:00:00,8.88,13.339182,12.091608,11.127433
2023-12-29 12:00:00,10.77,15.432304,14.576558,13.032346
2023-12-30 12:00:00,9.840001,14.476886,13.935798,12.726728
2023-12-31 12:00:00,14.36,14.907931,14.713938,13.705319
2024-01-01 12:00:00,15.020001,20.984072,21.540373,19.625317
2024-01-02 12:00:00,10.880001,12.934841,13.237652,12.401855
2024-01-03 12:00:00,10.290002,14.831087,14.311874,12.906292
2024-01-04 12:00:00,8.359999,9.290848,9.61115,9.381409
2024-01-05 12:00:00,6.300001,7.5266056,7.661371,7.5193877
2024-01-06 12:00:00,5.420001,5.8009863,6.062014,6.1696315
2024-01-07 12:00:00,5.19,5.914295,6.002382,5.8888884
2024-01-08 12:00:00,4.4400005,4.4819956,4.7065926,4.816951
2024-01-09 12:00:00,3.65,3.3406527,3.632538,3.925796
2024-01-10 12:00:00,3.2200003,2.5683968,2.8840106,3.199006
2024-01-11 12:00:00,3.9000006,2.4435942,2.7909868,3.1501796
2024-01-12 12:00:00,3.1800003,2.6480253,3.1672099,3.6434069
2024-01-13 12:00:00,4.84,6.1294026,6.386933,5.8565884
2024-01-14 12:00:00,4.950001,6.5835176,6.6832485,6.3737664
2024-01-15 12:00:00,3.8500004,4.464563,4.4817314,4.5631304
2024-01-16 12:00:00,3.0299997,2.739053,2.9917455,3.2527447
2024-01-17 12:00:00,2.3999999,1.8867848,2.2597275,2.6849701
2024-01-18 12:00:00,2.02,1.6296518,1.8616282,2.114066
2024-01-19 12:00:00,2.45,2.2360597,2.278491,2.382045
2024-01-20 12:00:00,3.8000007,4.11055,4.248935,4.335648
2024-01-21 12:00:00,8.16,7.1529465,7.3976097,7.331623
2024-01-22 12:00:00,6.7400002,7.8760214,8.048822,8.074492
2024-01-23 12:00:00,5.0199995,6.5386896,6.307925,6.3203588
2024-01-24 12:00:00,5.1200004,6.3362455,5.5915356,5.651497
2024-01-25 12:00:00,4.41,3.8524652,4.1385403,4.831398
2024-01-26 12:00:00,5.09,5.482308,5.2689123,5.600692
2024-01-27 12:00:00,5.0699997,5.4926734,5.5406575,5.958537
2024-01-28 12:00:00,8.270001,6.464899,6.6383777,6.829755
2024-01-29 12:00:00,6.0200005,5.1912184,6.4386053,7.442443
2024-01-30 12:00:00,5.19,4.3139324,4.9257755,5.2902913
