DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 12:00:00,7.35,5.2250648,5.267308,5.7935624
2023-12-10 12:00:00,11.6900015,14.344345,14.018305,13.601023
2023-12-11 12:00:00,6.9000006,6.8025584,6.40896,7.3923755
2023-12-12 12:00:00,5.51,3.3573833,3.6217031,5.172099
2023-12-13 12:00:00,5.899999,3.6348112,3.78019,4.8567257
2023-12-14 12:00:00,4.5000005,2.6400175,3.0627375,4.6659727
2023-12-15 12:00:00,4.0500007,3.1569304,3.3026717,4.2660255
2023-12-16 12:00:00,5.69,6.2696934,6.1476145,6.1423163
2023-12-17 12:00:00,12.650003,14.017989,15.584109,18.06872
2023-12-18 12:00:00,7.6099997,7.682096,7.283153,7.772207
2023-12-19 12:00:00,5.61,6.7850933,6.3650937,6.831073
2023-12-20 12:00:00,7.1899996,8.133704,7.626378,7.805314
2023-12-21 12:00:00,15.29,16.352215,16.505356,16.68568
2023-12-22 12:00:00,20.969997,19.266684,18.256283,15.731735
2023-12-23 12:00:00,16.0,19.734062,19.106115,18.071352
2023-12-24 12:00:00,24.109999,32.81672,31.84245,31.730278
2023-12-25 12:00:00,19.289997,29.533958,27.051258,24.55309
2023-12-26 12:00:00,15.39,30.65354,27.150267,23.747849
2023-12-27 12:00:00,9.86,11.34255,11.264801,12.510243
2023-12-28 12:00:00,11.919998,19.109293,17.90714,16.512669
2023-12-29 12:00:00,16.0,21.904587,21.051754,19.985931
2023-12-30 12:00:00,11.459999,18.809889,18.499306,18.344048
2023-12-31 12:00:00,25.000004,20.697655,21.42586,22.811892
2024-01-01 12:00:00,20.630005,29.639166,31.619764,34.75261
2024-01-02 12:00:00,12.330003,14.741352,14.8070545,15.08399
2024-01-03 12:00:00,12.84,18.75359,18.21775,17.530695
2024-01-04 12:00:00,9.33,9.995232,10.355959,11.617111
2024-01-05 12:00:00,7.290001,8.166986,8.418268,9.4277
2024-01-06 12:00:00,6.2000003,6.4578156,6.7950506,7.580296
2024-01-07 12:00:00,5.859999,6.9512143,7.1785398,7.680153
2024-01-08 12:00:00,4.9900007,4.652336,4.778405,5.313427
2024-01-09 12:00:00,3.98,3.3909526,3.6296866,4.462626
2024-01-10 12:00:00,7.519999,2.6466718,2.9253273,3.816862
2024-01-11 12:00:00,4.6700006,3.1729827,3.7910008,5.3811903
2024-01-12 12:00:00,3.7700002,2.7105098,3.060159,3.9479697
2024-01-13 12:00:00,6.24,8.935488,9.922202,10.3025875
2024-01-14 12:00:00,5.36,7.8274503,7.556405,6.9526176
2024-01-15 12:00:00,4.2900004,5.195575,5.0289655,4.941907
2024-01-16 12:00:00,3.5400002,2.8226104,2.9331727,3.759757
2024-01-17 12:00:00,2.7600002,1.8924158,2.1579192,2.9753788
2024-01-18 12:00:00,2.2900004,1.6985259,1.8680474,2.487208
2024-01-19 12:00:00,3.8200002,2.9847536,3.0190942,3.2813666
2024-01-20 12:00:00,4.8,5.7853312,5.9613667,6.0860343
2024-01-21 12:00:00,14.069998,10.178453,10.464292,10.423828
2024-01-22 12:00:00,8.360002,10.522398,10.608158,9.185873
2024-01-23 12:00:00,5.9099994,7.991061,7.751943,7.7996817
2024-01-24 12:00:00,6.8800006,9.05452,8.515217,7.4311986
2024-01-25 12:00:00,6.4000006,4.541398,5.0147624,6.630678
2024-01-26 12:00:00,6.9399996,7.2922325,7.1978474,7.298672
2024-01-27 12:00:00,5.8900003,7.0828424,7.4798717,8.218432
2024-01-28 12:00:00,13.54,8.260691,8.934671,10.284703
2024-01-29 12:00:00,7.500002,5.321131,6.370507,7.856791
2024-01-30 12:00:00,5.899999,4.4344068,5.0194507,6.2610607
2024-01-31 12:00:00,5.5,3.923574,4.336441,5.2749753
2024-02-01 12:00:00,5.31,6.4805403,6.7689233,6.3972754
2024-02-02 12:00:00,5.2000003,6.072544,6.4875383,7.3058953
2024-02-03 12:00:00,10.47,13.516512,13.882483,13.857814
2024-02-04 12:00:00,17.799997,16.687885,17.291264,17.877274
2024-02-05 12:00:00,11.729999,16.84923,16.285686,14.930066
2024-02-06 12:00:00,10.129999,14.336244,14.044287,12.478539
2024-02-07 12:00:00,6.54,5.9227643,6.4515576,7.452521
2024-02-08 12:00:00,4.86,3.2370281,3.7186651,4.8669615
2024-02-09 12:00:00,4.6000004,4.3864584,4.654155,5.0744753
2024-02-10 12:00:00,3.8399997,3.762645,4.0435658,4.6107697
2024-02-11 12:00:00,4.7299995,4.48061,4.900553,5.28487
2024-02-12 12:00:00,3.8300002,3.2856474,3.4453053,3.7871175
2024-02-13 12:00:00,3.46,3.5665476,3.672992,3.8273718
2024-02-14 12:00:00,2.9900005,2.6486545,2.7974787,3.2639813
2024-02-15 12:00:00,2.5700004,2.1161847,2.264745,2.7848208
2024-02-16 12:00:00,59.85998,4.4111557,5.378627,8.001618
2024-02-17 12:00:00,10.000001,7.363006,9.656293,12.242407
2024-02-18 12:00:00,13.560002,8.271409,9.867462,10.739204
2024-02-19 12:00:00,8.110001,6.10107,7.3193326,7.578754
2024-02-20 12:00:00,6.189999,4.78823,5.4645066,6.6443896
2024-02-21 12:00:00,6.5000005,4.234867,4.752941,5.292654
2024-02-22 12:00:00,6.45,4.1437907,4.891409,6.01835
2024-02-23 12:00:00,10.280001,9.40511,9.480465,8.059053
2024-02-24 12:00:00,19.030003,7.9582634,8.327443,8.767831
2024-02-25 12:00:00,12.500001,9.65832,11.504913,14.476765
2024-02-26 12:00:00,8.280001,4.782376,5.9200125,7.759427
2024-02-27 12:00:00,5.5599995,3.191287,4.059491,5.5860724
2024-02-28 12:00:00,4.7900004,2.9520571,3.5253925,4.4580493
