DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 16:00:00,35.00001,20.984776,26.613361,25.876925
2023-12-04 16:00:00,32.840004,20.298805,25.560278,25.830347
2023-12-05 16:00:00,33.3,19.469152,24.372078,24.597126
2023-12-06 16:00:00,79.0,40.134068,56.200256,56.350876
2023-12-07 16:00:00,38.75,31.19908,37.037605,33.824406
2023-12-08 16:00:00,29.829992,25.254509,31.261654,30.436111
2023-12-09 16:00:00,23.98,15.454866,18.712828,18.594759
2023-12-10 16:00:00,19.579998,15.249007,17.883814,18.068993
2023-12-11 16:00:00,20.400002,17.414434,20.892277,18.589085
2023-12-12 16:00:00,19.809998,19.71341,23.072403,21.26572
2023-12-13 16:00:00,18.380003,17.897078,20.822624,19.488253
2023-12-14 16:00:00,18.73,21.663246,26.022728,24.788353
2023-12-15 16:00:00,17.719997,16.094933,18.477343,17.336876
2023-12-16 16:00:00,16.16,12.18115,14.315058,13.895414
2023-12-17 16:00:00,14.940001,11.585926,13.400048,12.909754
2023-12-18 16:00:00,18.539999,13.096203,15.145656,14.332573
2023-12-19 16:00:00,16.13,13.418146,15.414002,14.354372
2023-12-20 16:00:00,14.499999,11.746195,13.551795,12.836751
2023-12-21 16:00:00,13.009998,9.554478,11.348309,11.442463
2023-12-22 16:00:00,12.329999,9.714712,11.233637,10.981943
2023-12-23 16:00:00,15.019998,10.124293,11.41484,11.052998
2023-12-24 16:00:00,12.999998,9.55127,11.544453,11.766712
2023-12-25 16:00:00,14.999996,9.666348,11.06333,10.802643
2023-12-26 16:00:00,13.09,9.234139,10.784117,10.6567335
2023-12-27 16:00:00,12.809999,11.286705,12.906667,12.501173
2023-12-28 16:00:00,12.109999,9.24706,10.372633,10.167087
2023-12-29 16:00:00,11.949999,8.260569,9.402204,9.46464
2023-12-30 16:00:00,17.020002,8.985053,10.0324745,10.090505
2023-12-31 16:00:00,14.459999,8.712133,10.165242,10.26494
2024-01-01 16:00:00,11.919998,8.383513,9.602383,9.617724
2024-01-02 16:00:00,12.3099985,9.283932,10.729448,10.939038
2024-01-03 16:00:00,15.479998,8.777311,9.93517,10.063578
2024-01-04 16:00:00,18.679998,11.98209,14.081485,14.590509
2024-01-05 16:00:00,15.090001,10.815183,12.7750635,13.296986
2024-01-06 16:00:00,12.780001,9.902222,11.525642,12.240923
2024-01-07 16:00:00,11.100001,9.197974,10.821579,11.315878
2024-01-08 16:00:00,13.29,10.658659,12.586475,13.082629
2024-01-09 16:00:00,18.869995,12.876934,15.408118,15.793717
2024-01-10 16:00:00,18.979998,21.63517,28.15506,28.97435
2024-01-11 16:00:00,17.43,17.372208,19.75158,18.024685
2024-01-12 16:00:00,15.41,14.609333,17.115036,16.881926
2024-01-13 16:00:00,11.869999,8.703806,10.373444,10.313412
2024-01-14 16:00:00,10.439999,8.283544,9.869364,9.792989
2024-01-15 16:00:00,14.1,10.327274,12.316076,11.748192
2024-01-16 16:00:00,15.159997,13.078365,15.80101,14.733942
2024-01-17 16:00:00,48.580013,17.383938,22.349407,22.555054
2024-01-18 16:00:00,19.800003,17.26517,22.519728,22.758211
2024-01-19 16:00:00,15.049997,11.804865,14.425114,15.011421
2024-01-20 16:00:00,12.620001,10.224241,12.521148,12.469185
2024-01-21 16:00:00,10.789998,8.176884,9.753693,9.898983
2024-01-22 16:00:00,11.919998,8.778713,10.437057,10.319067
2024-01-23 16:00:00,11.249998,9.241997,10.976561,10.908171
2024-01-24 16:00:00,9.979998,8.081179,9.636287,9.754318
2024-01-25 16:00:00,22.539997,13.741662,17.054586,17.762093
2024-01-26 16:00:00,13.159997,9.505249,11.482564,11.649754
2024-01-27 16:00:00,13.239998,9.758328,11.476759,11.763675
2024-01-28 16:00:00,10.77,8.724226,10.397396,10.5188875
2024-01-29 16:00:00,23.430002,12.391261,14.846392,14.680095
2024-01-30 16:00:00,14.61,12.279066,15.517442,15.896621
2024-01-31 16:00:00,11.299999,10.885276,12.879273,12.990905
2024-02-01 16:00:00,11.919998,9.975603,11.883588,12.027756
2024-02-02 16:00:00,9.799997,8.115865,9.805618,9.9823675
2024-02-03 16:00:00,9.849999,7.337857,8.695261,8.888737
2024-02-04 16:00:00,9.100001,6.5113707,7.8794336,8.309312
2024-02-05 16:00:00,10.390001,7.094203,8.449035,8.631722
2024-02-06 16:00:00,9.359999,6.8464556,8.245162,8.587747
2024-02-07 16:00:00,21.38,11.821367,14.631362,15.874603
2024-02-08 16:00:00,14.859999,13.666818,16.821995,17.459137
2024-02-09 16:00:00,11.100001,10.947943,12.846093,12.922561
2024-02-10 16:00:00,9.289999,9.194192,10.741118,10.881462
2024-02-11 16:00:00,8.400001,8.754717,10.213277,9.928431
2024-02-12 16:00:00,9.23,9.532917,11.176384,10.695135
2024-02-13 16:00:00,11.479999,9.986921,11.781029,11.082831
2024-02-14 16:00:00,9.040001,9.717865,11.786735,11.530822
2024-02-15 16:00:00,13.54,9.270781,10.973622,10.770074
2024-02-16 16:00:00,9.24,8.470469,10.556629,10.7457075
2024-02-17 16:00:00,11.819998,9.028427,10.692855,10.790501
2024-02-18 16:00:00,9.2,8.3799305,10.312776,10.498849
2024-02-19 16:00:00,11.08,9.705954,11.621318,11.74246
2024-02-20 16:00:00,9.889998,9.942567,12.024933,12.013203
2024-02-21 16:00:00,9.109999,18.923397,29.550495,42.841957
2024-02-22 16:00:00,8.29,8.218588,8.535702,7.042346
2024-02-23 16:00:00,21.3,8.429316,9.209652,7.6120777
2024-02-24 16:00:00,12.559998,10.973213,12.771563,11.718231
2024-02-25 16:00:00,9.8099985,10.1327305,11.472298,9.027047
2024-02-26 16:00:00,9.639999,10.768115,12.75738,10.5272255
2024-02-27 16:00:00,22.390003,13.363835,16.504812,12.638279
2024-02-28 16:00:00,17.599998,17.634119,22.337585,18.85433
2024-02-29 16:00:00,12.989998,11.566727,13.074325,14.050813
2024-03-01 16:00:00,11.05,10.8369665,12.648977,13.839192
2024-03-02 16:00:00,9.949999,8.675552,10.05635,10.763613
2024-03-03 16:00:00,8.91,7.810558,9.064763,9.715829
2024-03-04 16:00:00,12.3,10.804852,12.935764,13.662224
2024-03-05 16:00:00,11.859997,10.430912,12.471723,13.19398
2024-03-06 16:00:00,13.63,12.762779,15.648343,15.558196
2024-03-07 16:00:00,10.509998,17.703737,25.863766,34.003292
2024-03-08 16:00:00,9.190001,8.494486,8.935472,8.157353
2024-03-09 16:00:00,8.539999,8.003529,9.033514,8.323701
2024-03-10 16:00:00,7.2699995,7.3964744,8.086133,7.3072577
2024-03-11 16:00:00,9.999998,9.246388,9.895088,8.761222
2024-03-12 16:00:00,13.919999,11.492943,13.034942,11.494062
2024-03-13 16:00:00,11.529997,11.088692,13.02989,11.745432
2024-03-14 16:00:00,9.869999,9.79162,11.358646,10.88364
2024-03-15 16:00:00,9.829998,8.463885,9.801424,9.665753
2024-03-16 16:00:00,9.500001,7.414539,8.6344,8.565444
2024-03-17 16:00:00,8.679998,8.604973,9.97356,9.73086
2024-03-18 16:00:00,26.419998,10.861398,12.866757,12.149783
2024-03-19 16:00:00,26.93,14.215957,18.515863,18.904177
2024-03-20 16:00:00,31.569998,16.9796,21.929731,22.53093
2024-03-21 16:00:00,23.140003,15.801683,20.53293,22.10199
2024-03-22 16:00:00,19.949999,17.893677,22.684525,24.714832
2024-03-23 16:00:00,16.05,12.342976,13.906843,12.649896
2024-03-24 16:00:00,12.54,10.864922,12.469577,12.618786
2024-03-25 16:00:00,28.31,14.972615,17.540516,16.959929
2024-03-26 16:00:00,18.230003,13.701029,16.858215,17.296772
2024-03-27 16:00:00,23.389997,14.919762,18.235964,18.568499
2024-03-28 16:00:00,17.059998,10.690647,13.09456,13.262161
2024-03-29 16:00:00,14.969999,10.931782,12.867435,14.310951
2024-03-30 16:00:00,14.339999,12.458618,14.531468,14.403145
2024-03-31 16:00:00,12.949999,11.762491,13.244324,13.561905
2024-04-01 16:00:00,12.119999,9.635998,10.811924,11.183392
2024-04-02 16:00:00,11.79,8.91675,10.082435,10.369799
