DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 20:00:00,3.24,3.3055835,3.460125,3.2699056
2023-12-04 20:00:00,3.1399999,3.320631,3.5210962,3.3881578
2023-12-05 20:00:00,3.0100002,3.184221,3.3870828,3.2064233
2023-12-06 20:00:00,3.7200003,4.3457217,4.5071945,4.240116
2023-12-07 20:00:00,5.0100007,3.714414,3.889667,3.69319
2023-12-08 20:00:00,3.9500003,4.3478017,4.729518,4.456924
2023-12-09 20:00:00,24.69,6.606741,7.299519,6.830927
2023-12-10 20:00:00,10.9,13.130273,14.404,12.970865
2023-12-11 20:00:00,7.6799994,7.840519,8.974133,8.768073
2023-12-12 20:00:00,7.3100014,6.3672934,7.2233367,7.008185
2023-12-13 20:00:00,6.0099993,5.928002,6.740159,6.3919477
2023-12-14 20:00:00,5.31,5.1046333,5.7259808,5.4927654
2023-12-15 20:00:00,4.6100006,4.650075,5.1315618,4.869088
2023-12-16 20:00:00,9.09,6.651618,7.510171,7.0864644
2023-12-17 20:00:00,9.8,9.208749,9.720176,9.187952
2023-12-18 20:00:00,7.540001,7.0786157,7.868119,7.601104
2023-12-19 20:00:00,5.989999,6.0986013,6.804473,6.624504
2023-12-20 20:00:00,5.640001,8.261582,9.312241,8.86954
2023-12-21 20:00:00,16.500002,10.450623,11.136194,10.326696
2023-12-22 20:00:00,16.9,14.917902,16.552723,14.971788
2023-12-23 20:00:00,13.679999,14.250514,15.749624,14.905038
2023-12-24 20:00:00,22.160002,18.022446,19.537018,19.083977
2023-12-25 20:00:00,18.260002,17.254904,18.557058,17.847723
2023-12-26 20:00:00,13.660001,15.004762,16.41759,15.917835
2023-12-27 20:00:00,10.380002,10.965634,12.0619335,11.862597
2023-12-28 20:00:00,11.849999,12.530483,13.705011,12.975106
2023-12-29 20:00:00,10.91,11.974296,13.08333,12.264166
2023-12-30 20:00:00,8.540002,9.28248,10.059086,9.662756
2023-12-31 20:00:00,12.749998,10.898979,11.829645,11.015411
2024-01-01 20:00:00,9.810001,11.016208,11.568749,10.814074
2024-01-02 20:00:00,8.6900015,8.412735,9.083919,8.785696
2024-01-03 20:00:00,7.500002,8.34803,9.133794,8.61925
2024-01-04 20:00:00,5.899999,6.8430424,7.4751763,7.1650186
2024-01-05 20:00:00,4.8899994,5.489355,5.9307747,5.6775594
2024-01-06 20:00:00,4.8500004,4.9551325,5.3073626,5.0464034
2024-01-07 20:00:00,4.3,4.8185215,5.1585417,4.8783865
2024-01-08 20:00:00,3.7000003,4.233378,4.518237,4.2638817
2024-01-09 20:00:00,3.1200004,3.683146,3.8856363,3.6766534
2024-01-10 20:00:00,2.65,3.3766217,3.5335898,3.1234767
2024-01-11 20:00:00,2.46,2.6823554,2.8028207,2.7251194
2024-01-12 20:00:00,2.3600001,2.456377,2.543517,2.4713507
2024-01-13 20:00:00,7.9300003,4.2555056,4.44366,4.2465906
2024-01-14 20:00:00,6.3900003,5.7066936,6.1659927,5.8043118
2024-01-15 20:00:00,4.59,5.5205674,5.9937916,5.648738
2024-01-16 20:00:00,3.3300002,4.147005,4.3940926,4.1293173
2024-01-17 20:00:00,2.5600002,3.4013557,3.561913,3.3808298
2024-01-18 20:00:00,2.6999998,3.0862072,3.204435,3.0582175
2024-01-19 20:00:00,4.1900005,3.4713259,3.5676146,3.3026106
2024-01-20 20:00:00,3.92,4.6797385,4.914324,4.6541624
2024-01-21 20:00:00,7.59,5.5319204,5.7683177,5.1218567
2024-01-22 20:00:00,5.859999,5.875638,6.401725,5.956746
2024-01-23 20:00:00,5.34,5.021101,5.53102,5.233825
2024-01-24 20:00:00,5.68,5.588016,6.28986,5.9430833
2024-01-25 20:00:00,3.9400003,4.7704782,5.293308,5.1186476
2024-01-26 20:00:00,5.13,4.7311583,5.2131033,4.90942
2024-01-27 20:00:00,4.08,4.524415,4.9064484,4.636565
2024-01-28 20:00:00,4.07,5.2056704,5.5682087,4.993174
2024-01-29 20:00:00,3.5499997,3.5293288,3.7296515,3.5883417
