DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-10 04:00:00,29.650002,27.27333,27.960289,24.427689
2023-12-11 04:00:00,20.349997,25.07382,23.184637,23.520485
2023-12-12 04:00:00,12.580002,11.981901,12.060442,12.146107
2023-12-13 04:00:00,10.930001,11.60846,11.273825,11.01901
2023-12-14 04:00:00,8.809999,8.491419,8.554736,8.57903
2023-12-15 04:00:00,7.970001,8.169496,7.879918,7.505609
2023-12-16 04:00:00,9.750001,12.0256405,11.144707,9.718279
2023-12-17 04:00:00,27.529995,25.19056,26.869331,24.550493
2023-12-18 04:00:00,20.399996,28.297031,25.69794,25.63881
2023-12-19 04:00:00,15.349999,20.719353,18.897425,17.91991
2023-12-20 04:00:00,13.62,20.635466,18.519754,18.384665
2023-12-21 04:00:00,20.049994,29.820997,25.940773,25.191807
2023-12-22 04:00:00,30.169996,42.48261,37.14184,37.65741
2023-12-23 04:00:00,35.38999,48.304848,42.41251,41.2771
2023-12-24 04:00:00,33.809998,48.848682,43.28341,43.5716
2023-12-25 04:00:00,31.41,56.919903,47.6441,46.34945
2023-12-26 04:00:00,26.429996,52.254326,43.9101,42.111122
2023-12-27 04:00:00,16.27,20.482267,19.441505,19.63691
2023-12-28 04:00:00,22.059998,29.77831,28.451736,27.140383
2023-12-29 04:00:00,24.389996,35.842804,32.069492,33.792713
2023-12-30 04:00:00,21.75,39.462227,33.804478,32.961857
2023-12-31 04:00:00,18.29,26.972279,23.437336,23.05083
2024-01-01 04:00:00,19.769997,33.439663,28.72844,27.22631
2024-01-02 04:00:00,16.93,24.36301,21.334482,20.310055
2024-01-03 04:00:00,20.63,32.179783,29.115257,27.830126
2024-01-04 04:00:00,18.13,25.900158,23.13399,23.370543
2024-01-05 04:00:00,14.389999,17.527002,16.467888,16.366375
2024-01-06 04:00:00,12.15,16.262833,15.175763,14.883517
2024-01-07 04:00:00,12.050002,15.627105,14.483888,13.864614
2024-01-08 04:00:00,10.380002,11.976709,11.433931,11.166051
2024-01-09 04:00:00,8.359999,8.80897,8.89926,8.862016
2024-01-10 04:00:00,6.78,6.5034413,6.684617,6.727514
2024-01-11 04:00:00,5.5699997,5.5620456,5.6591663,5.692845
2024-01-12 04:00:00,4.2100005,4.8791275,4.797221,4.7881107
2024-01-13 04:00:00,5.480001,7.1757793,6.297222,5.150024
2024-01-14 04:00:00,6.4300017,14.787458,13.831128,11.563803
2024-01-15 04:00:00,6.86,11.321951,9.813957,7.7865243
2024-01-16 04:00:00,5.5099998,6.3046618,5.803157,5.5329494
2024-01-17 04:00:00,4.4400005,5.90875,5.4459076,5.0189495
2024-01-18 04:00:00,4.3399997,3.7827692,3.784536,3.800911
2024-01-19 04:00:00,4.200001,5.1534758,4.712111,4.501411
2024-01-20 04:00:00,5.2000003,8.704844,7.6862288,6.1883917
2024-01-21 04:00:00,6.3300004,10.567537,9.209939,7.361764
2024-01-22 04:00:00,13.77,18.864023,17.946304,15.050541
2024-01-23 04:00:00,13.18,17.306747,15.213308,15.195058
2024-01-24 04:00:00,17.91,21.830112,20.5236,19.996187
2024-01-25 04:00:00,13.470001,18.238789,16.69955,17.703968
2024-01-26 04:00:00,9.400002,11.195778,9.854408,9.699495
2024-01-27 04:00:00,8.320001,14.215386,12.273754,10.98115
2024-01-28 04:00:00,6.7700014,9.2999525,8.178348,7.3452253
2024-01-29 04:00:00,7.1800003,9.201065,8.152898,7.2035837
2024-01-30 04:00:00,5.96,6.57777,6.178926,5.9496894
2024-01-31 04:00:00,5.04,5.8440323,5.461103,5.143821
2024-02-01 04:00:00,8.2,9.983645,9.33314,8.062407
2024-02-02 04:00:00,7.6600003,8.669291,7.7884808,7.5215735
2024-02-03 04:00:00,15.380003,19.913553,18.800753,16.366835
2024-02-04 04:00:00,18.539999,27.060356,23.17475,23.062206
2024-02-05 04:00:00,16.900003,27.222933,23.18805,21.740147
2024-02-06 04:00:00,16.040003,23.535164,20.336432,19.696512
2024-02-07 04:00:00,13.63,19.82302,17.941847,17.549057
2024-02-08 04:00:00,7.8400006,8.847754,8.798151,9.378145
2024-02-09 04:00:00,7.530001,10.432177,9.148891,8.174189
2024-02-10 04:00:00,6.19,7.771429,7.2788177,7.0890307
2024-02-11 04:00:00,8.52,9.64088,8.753694,7.5691214
2024-02-12 04:00:00,6.800001,7.6533155,7.695661,7.8555202
2024-02-13 04:00:00,5.87,6.670479,6.3080115,6.070281
2024-02-14 04:00:00,5.1400003,6.1487374,5.8060226,5.664626
2024-02-15 04:00:00,4.2200007,4.6587734,4.5363507,4.568138
2024-02-16 04:00:00,3.7899997,4.8110437,4.3576593,4.116416
2024-02-17 04:00:00,3.4,5.1722474,4.278536,3.9490528
2024-02-18 04:00:00,3.48,4.2552433,3.5740552,3.174171
2024-02-19 04:00:00,3.8900006,5.10532,4.598193,4.2220907
2024-02-20 04:00:00,3.7199996,3.6463366,3.4058287,3.4460585
2024-02-21 04:00:00,4.0800004,4.552651,4.253479,4.0651703
2024-02-22 04:00:00,4.67,5.182225,4.996969,5.016544
2024-02-23 04:00:00,11.590001,10.650009,10.023622,8.989515
2024-02-24 04:00:00,6.320001,8.142029,7.298239,7.1689305
2024-02-25 04:00:00,5.0600004,6.538648,5.402535,4.893824
2024-02-26 04:00:00,4.38,4.5944757,4.4518275,4.3118734
2024-02-27 04:00:00,3.76,3.548482,3.5323236,3.5427852
2024-02-28 04:00:00,3.1400003,2.833379,2.935368,3.0370948
2024-02-29 04:00:00,3.4099998,3.651309,3.3686838,3.2068636
2024-03-01 04:00:00,3.1400003,3.6184266,3.3253489,3.2186859
2024-03-02 04:00:00,3.2100003,3.903742,3.4039452,3.0419667
2024-03-03 04:00:00,3.6100004,4.5502057,3.86945,3.342945
2024-03-04 04:00:00,3.0900002,3.3271596,3.1803555,3.1235383
2024-03-05 04:00:00,2.9299996,2.99317,2.889749,2.8686285
2024-03-06 04:00:00,2.4999998,2.3113813,2.3845615,2.4524221
2024-03-07 04:00:00,2.34,2.153186,2.113678,2.1923141
2024-03-08 04:00:00,2.35,2.6357982,2.3648567,2.2954042
2024-03-09 04:00:00,3.1400003,4.410129,3.5951176,3.0191808
2024-03-10 04:00:00,4.54,6.138619,4.868761,3.92832
2024-03-11 04:00:00,3.6999998,4.9279146,4.2664886,3.9509027
2024-03-12 04:00:00,2.9399998,2.8308628,2.8829472,2.9420767
2024-03-13 04:00:00,2.4999998,2.4009707,2.4069748,2.4228086
2024-03-14 04:00:00,2.2999997,2.4541626,2.326707,2.3181846
2024-03-15 04:00:00,2.8999996,3.3073485,3.022092,2.8612962
2024-03-16 04:00:00,4.99,5.362772,4.865797,4.3943706
2024-03-17 04:00:00,4.12,4.921551,4.318528,4.115936
2024-03-18 04:00:00,3.38,4.026062,3.7066417,3.6058397
2024-03-19 04:00:00,2.9399998,2.795748,2.8150835,2.8925593
2024-03-20 04:00:00,2.5599997,2.2693636,2.2851498,2.4264429
2024-03-21 04:00:00,2.1999998,2.5270908,2.3449183,2.2971282
2024-03-22 04:00:00,2.48,2.8533287,2.5096536,2.3230255
2024-03-23 04:00:00,3.25,3.63162,3.257348,2.9905202
2024-03-24 04:00:00,7.0800004,8.214677,6.9627357,5.6683598
2024-03-25 04:00:00,5.1500006,6.2463255,5.7232285,5.4875145
2024-03-26 04:00:00,4.0800004,4.5713344,4.26915,4.0816717
2024-03-27 04:00:00,3.5099998,4.0671444,3.7894835,3.7573452
2024-03-28 04:00:00,3.1599998,3.5087178,3.2056327,3.0980208
2024-03-29 04:00:00,7.35,8.12597,7.5496693,6.5922375
2024-03-30 04:00:00,5.7400002,6.7724004,6.059503,5.877691
2024-03-31 04:00:00,5.5,6.314199,5.8169956,5.306761
2024-04-01 04:00:00,5.19,6.0880675,5.539467,5.195984
2024-04-02 04:00:00,5.5,7.251694,6.2068586,5.6245146
2024-04-03 04:00:00,4.58,5.2278037,4.929267,4.804781
2024-04-04 04:00:00,4.2599998,5.488719,5.060627,4.6990547
2024-04-05 04:00:00,3.6999998,4.5266294,4.1754394,3.9432678
2024-04-06 04:00:00,3.8199995,5.1067953,4.4753475,4.014817
2024-04-07 04:00:00,6.04,7.221817,6.150217,5.3582726
2024-04-08 04:00:00,4.3900003,4.9655886,4.8829966,5.010061
2024-04-09 04:00:00,3.8399997,4.1085577,3.873321,3.8066893
2024-04-10 04:00:00,4.8300004,5.556374,5.4661665,5.2681913
2024-04-11 04:00:00,5.44,5.1423855,4.7246523,4.696483
2024-04-12 04:00:00,4.84,5.0096188,4.836504,4.799922
2024-04-13 04:00:00,4.96,6.0673585,5.3954306,4.934388
2024-04-14 04:00:00,7.35,8.786198,7.9511924,7.3383956
2024-04-15 04:00:00,4.84,5.997363,5.769808,5.9987907
2024-04-16 04:00:00,11.520002,8.300281,8.098206,7.6107616
2024-04-17 04:00:00,9.49,7.8113375,8.439966,9.554131
2024-04-18 04:00:00,7.1900015,7.0109596,7.6224427,7.7990246
2024-04-19 04:00:00,6.68,8.197094,7.6860175,7.1530824
2024-04-20 04:00:00,7.4000006,8.308161,7.8865433,7.5742693
2024-04-21 04:00:00,6.9400015,7.255742,6.873788,6.7736793
2024-04-22 04:00:00,5.4000006,5.672863,5.7076774,5.7883506
2024-04-23 04:00:00,4.8600006,4.24702,4.45296,4.6883955
2024-04-24 04:00:00,4.4400005,4.1818066,4.2799764,4.3800693
2024-04-25 04:00:00,3.9399996,3.5902991,3.7154584,3.9315798
2024-04-26 04:00:00,3.3399997,3.541223,3.4994583,3.3232265
2024-04-27 04:00:00,3.3399997,3.4158683,3.3120077,3.0507853
2024-04-28 04:00:00,5.1000004,5.8427186,5.031515,4.6237
2024-04-29 04:00:00,4.41,4.5863457,4.348475,4.3739905
2024-04-30 04:00:00,3.8300002,4.0292487,3.9379249,4.0136914
2024-05-01 04:00:00,4.27,4.6560006,4.297746,4.132328
2024-05-02 04:00:00,4.28,5.733723,5.164727,5.0489445
2024-05-03 04:00:00,3.8500004,4.425084,4.001055,4.010782
2024-05-04 04:00:00,3.65,3.6751304,3.5740383,3.569956
2024-05-05 04:00:00,4.200001,4.4681215,4.158082,4.0437512
2024-05-06 04:00:00,3.68,3.8203173,3.6983685,3.8387208
2024-05-07 04:00:00,3.1800003,3.1200938,3.1615782,3.388578
2024-05-08 04:00:00,2.85,2.7171178,2.8134243,2.9360938
2024-05-09 04:00:00,2.7500002,2.8036067,2.6856291,2.7274697
2024-05-10 04:00:00,2.72,2.7381163,2.6423802,2.732926
2024-05-11 04:00:00,2.7799997,2.7739778,2.6298327,2.7802427
2024-05-12 04:00:00,3.7300005,3.8572705,3.5458941,3.409149
2024-05-13 04:00:00,3.9000006,4.3729553,4.0019493,4.1100364
2024-05-14 04:00:00,5.790001,5.14164,4.773641,4.8031406
2024-05-15 04:00:00,7.2600007,7.026872,6.5877223,7.063135
2024-05-16 04:00:00,6.31,7.2235365,6.9363165,7.5938616
2024-05-17 04:00:00,5.21,6.0646796,5.94602,6.2784896
2024-05-18 04:00:00,5.0300007,5.429049,5.2185173,5.3198285
2024-05-19 04:00:00,5.5099998,5.2595286,5.055191,5.2056847
2024-05-20 04:00:00,5.22,5.1927,5.086215,5.4122505
2024-05-21 04:00:00,4.8300004,4.9201202,4.784618,5.227813
2024-05-22 04:00:00,5.8000007,5.444595,5.5982046,6.024359
2024-05-23 04:00:00,5.19,4.8623905,5.1631727,5.8015614
2024-05-24 04:00:00,3.8900006,3.8460612,4.118978,4.5681105
2024-05-25 04:00:00,4.05,3.892655,3.8924222,3.9758615
2024-05-26 04:00:00,4.13,4.0091243,3.9136863,4.0878315
2024-05-27 04:00:00,3.8799996,3.894363,3.8628995,4.153345
2024-05-28 04:00:00,3.4700003,3.3549469,3.4505706,3.872833
2024-05-29 04:00:00,3.4199998,3.5069063,3.470795,3.5809925
2024-05-30 04:00:00,3.25,3.0577202,3.1047273,3.3351872
2024-05-31 04:00:00,2.9499998,2.7989535,2.8705611,3.1273062
2024-06-01 04:00:00,2.9599998,2.9160028,2.8601856,2.9473557
2024-06-02 04:00:00,5.88,3.994719,3.7881653,3.7416098
2024-06-03 04:00:00,21.939995,4.8990827,5.110587,5.7049894
2024-06-04 04:00:00,27.23,13.190824,19.145607,24.496601
2024-06-05 04:00:00,20.619997,17.51392,20.519833,23.413054
2024-06-06 04:00:00,12.810002,12.78818,14.189265,15.10435
2024-06-07 04:00:00,8.42,8.752869,9.500149,10.446954
2024-06-08 04:00:00,7.4300003,7.6849885,7.548897,7.565369
2024-06-09 04:00:00,8.57,8.301982,7.9300766,7.895325
2024-06-10 04:00:00,7.090001,7.325662,7.4221735,8.22379
2024-06-11 04:00:00,7.8299994,7.586851,7.676625,8.075565
2024-06-12 04:00:00,8.140001,7.1665564,7.3244495,8.240413
2024-06-13 04:00:00,7.3100014,6.673559,7.018494,8.2404785
2024-06-14 04:00:00,6.14,6.3702135,6.5909104,7.2815695
2024-06-15 04:00:00,6.6699996,7.0330443,6.8450603,6.893366
2024-06-16 04:00:00,7.7599993,7.835816,7.598772,7.8378954
2024-06-17 04:00:00,6.2599998,6.3503366,6.5880227,7.485745
