DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 04:00:00,8.299999,9.661434,9.078357,8.482397
2023-12-04 04:00:00,8.269999,9.151081,8.660517,7.7934527
2023-12-05 04:00:00,8.16,8.700012,8.444764,7.574711
2023-12-06 04:00:00,12.169998,9.84309,9.546556,8.355203
2023-12-07 04:00:00,11.479999,14.457857,14.399065,12.527449
2023-12-08 04:00:00,9.839998,11.239323,10.81596,9.29936
2023-12-09 04:00:00,8.479999,10.271135,10.169752,9.346657
2023-12-10 04:00:00,7.6600003,8.628419,8.5570755,7.9619827
2023-12-11 04:00:00,8.94,8.176713,8.05328,7.64449
2023-12-12 04:00:00,9.589998,10.480577,10.202922,9.200637
2023-12-13 04:00:00,9.969999,9.372597,9.396863,8.895586
2023-12-14 04:00:00,10.240001,10.269128,10.125994,9.476385
2023-12-15 04:00:00,10.000001,9.590363,9.60618,9.248206
2023-12-16 04:00:00,9.3099985,8.484004,8.658238,8.569571
2023-12-17 04:00:00,8.210001,7.893898,8.179739,8.337024
2023-12-18 04:00:00,9.3099985,7.8346553,8.028864,7.9318547
2023-12-19 04:00:00,9.509999,8.355956,8.616904,8.623188
2023-12-20 04:00:00,8.749999,7.8299003,8.201051,8.46017
2023-12-21 04:00:00,7.7599993,7.071629,7.4624276,7.956713
2023-12-22 04:00:00,6.98,6.3988256,6.7255335,7.3037686
2023-12-23 04:00:00,6.43,6.1059155,6.469779,7.0208745
2023-12-24 04:00:00,6.4199996,6.0866795,6.5239944,7.1081233
2023-12-25 04:00:00,6.189999,5.8530817,6.3343925,7.1750503
2023-12-26 04:00:00,5.7999988,5.668076,6.006263,6.8225675
2023-12-27 04:00:00,6.789999,6.192938,6.1156673,6.3919387
2023-12-28 04:00:00,6.2299995,6.138035,6.2853584,6.656903
2023-12-29 04:00:00,5.4399996,5.3860373,5.5408773,6.1466208
2023-12-30 04:00:00,5.27,5.119426,5.228586,5.757644
2023-12-31 04:00:00,4.8999987,5.254086,5.2615333,5.595323
2024-01-01 04:00:00,4.67,4.7936087,4.842922,5.346051
2024-01-02 04:00:00,4.74,4.860316,4.7608128,5.038831
2024-01-03 04:00:00,4.7,4.6765423,4.7060575,5.113877
2024-01-04 04:00:00,4.6800003,4.707098,4.627256,4.9544992
2024-01-05 04:00:00,4.59,5.0886345,4.895858,5.100556
2024-01-06 04:00:00,4.37,4.7731767,4.5695653,4.750233
2024-01-07 04:00:00,4.0799994,4.515923,4.33463,4.47391
2024-01-08 04:00:00,4.0099993,4.5524864,4.321064,4.3875957
2024-01-09 04:00:00,4.1,4.8292394,4.5738454,4.53771
