DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 20:00:00,10.259999,12.382641,11.629984,10.119125
2023-12-04 20:00:00,10.869998,11.58604,10.948065,9.81394
2023-12-05 20:00:00,9.910002,11.811369,11.243654,10.433902
2023-12-06 20:00:00,10.169997,22.430546,21.549892,21.401722
2023-12-07 20:00:00,9.399999,12.99581,10.452569,7.6762733
2023-12-08 20:00:00,9.500001,12.171785,10.533769,8.213264
2023-12-09 20:00:00,19.4,10.726409,10.424089,8.45175
2023-12-10 20:00:00,10.459998,12.056326,12.532097,12.369947
2023-12-11 20:00:00,10.59,11.43383,10.959845,9.838251
2023-12-12 20:00:00,9.469998,11.896474,11.436057,10.637992
2023-12-13 20:00:00,9.0199995,10.753241,9.977124,8.924427
2023-12-14 20:00:00,8.5,11.14074,10.330245,9.324462
2023-12-15 20:00:00,7.999998,9.518261,8.854388,8.270644
2023-12-16 20:00:00,7.7900004,8.58883,8.417859,7.965007
2023-12-17 20:00:00,7.620001,8.250828,8.173248,7.6848497
2023-12-18 20:00:00,8.189999,8.941938,8.900471,8.588085
2023-12-19 20:00:00,7.390001,8.671076,8.271255,7.6601925
2023-12-20 20:00:00,6.9200006,7.9392343,7.721307,6.9759827
2023-12-21 20:00:00,6.269999,7.240651,7.487062,7.003222
2023-12-22 20:00:00,10.469997,6.7909274,6.851475,6.273567
2023-12-23 20:00:00,15.200001,8.3685255,9.086754,9.305054
2023-12-24 20:00:00,12.960001,8.90592,10.401388,11.103553
2023-12-25 20:00:00,12.1,9.119541,10.463961,11.496098
2023-12-26 20:00:00,10.739999,8.7193165,9.581657,10.372844
2023-12-27 20:00:00,10.129999,9.159749,10.053421,10.717005
2023-12-28 20:00:00,8.679998,8.358145,9.10299,9.571865
2023-12-29 20:00:00,8.05,7.8043756,8.53913,9.08557
2023-12-30 20:00:00,12.77,8.664022,9.367565,9.8760395
2023-12-31 20:00:00,9.56,8.612661,9.837091,10.77541
2024-01-01 20:00:00,8.51,7.6627264,8.13508,8.303446
2024-01-02 20:00:00,8.429999,7.690119,8.37509,8.603414
2024-01-03 20:00:00,8.119999,8.124841,8.718253,8.862834
2024-01-04 20:00:00,8.539999,9.728616,9.914734,9.376836
2024-01-05 20:00:00,7.6800017,8.080561,8.105953,7.515511
2024-01-06 20:00:00,7.0100007,7.226286,7.2281256,6.708976
2024-01-07 20:00:00,6.3399997,6.663085,6.6420283,6.1193876
2024-01-08 20:00:00,6.78,7.4458694,7.4006796,6.8709464
2024-01-09 20:00:00,6.43,8.794306,8.829581,8.290519
2024-01-10 20:00:00,6.2400007,12.616394,11.910841,9.196027
2024-01-11 20:00:00,6.0000005,9.484854,8.288732,4.9788938
2024-01-12 20:00:00,5.87,8.141625,7.477717,5.2902875
2024-01-13 20:00:00,5.32,6.136483,6.070821,4.4710875
2024-01-14 20:00:00,4.67,5.564772,5.5307484,4.345482
2024-01-15 20:00:00,5.4700003,6.4074783,6.114035,4.9159346
2024-01-16 20:00:00,5.7100005,6.8481264,6.4426517,5.307397
2024-01-17 20:00:00,6.45,10.789314,10.858194,10.043088
2024-01-18 20:00:00,5.5399995,6.9544625,6.1078115,4.626176
2024-01-19 20:00:00,4.9700003,5.878546,5.4114513,4.454239
2024-01-20 20:00:00,6.8999987,5.6450624,5.2188463,4.276887
2024-01-21 20:00:00,5.5299997,5.9847555,6.149628,5.8760605
2024-01-22 20:00:00,5.16,5.907879,5.975915,5.436327
2024-01-23 20:00:00,5.57,5.6136055,5.5687847,4.833306
2024-01-24 20:00:00,4.91,5.384219,5.4265523,4.7861924
2024-01-25 20:00:00,8.929998,9.047659,9.0222435,7.744391
2024-01-26 20:00:00,5.7499995,6.6093297,6.5358305,5.4436255
2024-01-27 20:00:00,6.9200006,6.5746813,6.3188257,5.3315735
2024-01-28 20:00:00,5.6800003,6.0556307,6.133629,5.5933933
2024-01-29 20:00:00,6.870001,8.86495,9.065078,8.51459
2024-01-30 20:00:00,5.78,6.9078417,6.5548096,5.3170023
2024-01-31 20:00:00,5.4500003,6.0119953,5.7699313,4.875203
2024-02-01 20:00:00,5.77,6.234462,5.9433537,4.976346
2024-02-02 20:00:00,5.04,5.424238,5.4477673,4.893873
2024-02-03 20:00:00,5.2500005,5.082279,5.130122,4.5007496
2024-02-04 20:00:00,4.42,4.9974594,5.2832203,5.0129223
2024-02-05 20:00:00,4.5999994,5.0793557,5.2223907,4.795618
2024-02-06 20:00:00,4.2400002,4.845072,4.9014063,4.2331953
2024-02-07 20:00:00,7.2000012,7.7729287,7.687558,6.3906064
2024-02-08 20:00:00,5.4500003,7.55788,7.1167865,5.92897
2024-02-09 20:00:00,4.61,6.0358615,5.425257,3.9684896
2024-02-10 20:00:00,3.9900002,5.306779,4.9438834,4.00655
2024-02-11 20:00:00,3.6399999,5.024736,4.6120996,3.5763946
2024-02-12 20:00:00,3.7899997,5.138848,4.7691765,3.7377462
2024-02-13 20:00:00,3.7199996,5.4648294,5.1212,4.0095778
2024-02-14 20:00:00,3.2899997,4.8410387,4.360802,3.1198084
2024-02-15 20:00:00,3.12,5.205571,4.9476624,3.9554746
2024-02-16 20:00:00,2.9600003,4.1338067,3.6611693,2.4507625
2024-02-17 20:00:00,4.8200006,5.159668,4.712251,3.4877496
2024-02-18 20:00:00,3.88,4.830968,4.578847,3.6360855
2024-02-19 20:00:00,4.27,5.5227714,5.234688,4.147732
2024-02-20 20:00:00,3.92,5.156725,4.81342,3.7008853
2024-02-21 20:00:00,3.7799997,6.6068463,6.1018667,3.9906878
2024-02-22 20:00:00,3.5099998,4.384038,3.718521,3.742072
2024-02-23 20:00:00,29.080002,6.451753,6.0674005,5.871065
2024-02-24 20:00:00,8.729999,9.260946,10.171401,10.312387
2024-02-25 20:00:00,6.31,7.5178604,7.3352036,5.4415174
2024-02-26 20:00:00,5.7299995,6.9955134,6.935373,5.4936256
2024-02-27 20:00:00,5.37,9.576378,10.117046,8.977431
2024-02-28 20:00:00,5.3600006,9.630828,9.139959,8.268792
2024-02-29 20:00:00,4.8999996,7.351296,6.7318444,5.1022797
2024-03-01 20:00:00,4.74,6.751315,6.2206903,4.424589
2024-03-02 20:00:00,4.43,5.6914167,5.368455,3.955577
2024-03-03 20:00:00,4.17,5.6585894,5.296519,3.7822516
2024-03-04 20:00:00,4.9399996,6.62586,6.321172,4.761635
2024-03-05 20:00:00,4.5999994,6.554379,6.161607,4.5156145
2024-03-06 20:00:00,4.5399995,6.9530993,6.5093617,5.0997677
2024-03-07 20:00:00,4.1400003,6.9734178,6.2645736,4.1379642
2024-03-08 20:00:00,4.05,5.1414757,4.4816046,4.2019258
2024-03-09 20:00:00,3.87,5.2239437,4.7597184,4.0404005
2024-03-10 20:00:00,3.46,5.391255,4.8594937,3.6739585
2024-03-11 20:00:00,4.3999996,6.1898746,5.4782453,3.6657152
2024-03-12 20:00:00,4.63,7.1684065,6.5373993,4.7387376
2024-03-13 20:00:00,4.16,6.0248146,5.4037704,3.665946
2024-03-14 20:00:00,4.3199997,5.3026867,4.832582,3.3708806
2024-03-15 20:00:00,5.31,5.195387,4.8841825,3.7421575
2024-03-16 20:00:00,6.800001,5.633437,5.430456,4.449481
2024-03-17 20:00:00,4.91,6.046272,6.0960054,5.372598
2024-03-18 20:00:00,6.1200004,8.690974,9.117785,8.354712
2024-03-19 20:00:00,6.2900014,8.675792,8.382581,7.189213
2024-03-20 20:00:00,8.269999,9.669899,9.260154,8.350261
2024-03-21 20:00:00,6.8400006,8.487469,8.028223,7.165988
2024-03-22 20:00:00,6.639999,11.525801,10.925628,9.127173
2024-03-23 20:00:00,8.299999,8.125306,7.44139,4.5187397
2024-03-24 20:00:00,5.9900007,7.968733,7.8484755,6.51983
2024-03-25 20:00:00,13.129999,10.251305,10.266212,8.805334
2024-03-26 20:00:00,8.149999,9.289185,9.495368,8.608651
2024-03-27 20:00:00,8.280001,9.558986,9.591854,8.488001
2024-03-28 20:00:00,11.209999,7.755299,7.7768993,6.739578
2024-03-29 20:00:00,9.2,9.414787,9.8462,9.454002
2024-03-30 20:00:00,8.929998,9.200197,9.193499,8.628405
2024-03-31 20:00:00,10.620001,9.37748,9.28363,8.727495
2024-04-01 20:00:00,8.320001,8.725373,9.188608,9.05718
2024-04-02 20:00:00,8.149999,8.531301,8.715311,8.04138
2024-04-03 20:00:00,9.2699995,9.094891,9.31575,8.328104
