DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 12:00:00,9.989998,10.345285,10.213576,10.337257
2023-12-10 12:00:00,8.659998,8.95136,8.6394415,8.368655
2023-12-11 12:00:00,8.839996,8.99927,8.732017,8.605234
2023-12-12 12:00:00,9.329997,9.166742,8.87044,9.09003
2023-12-13 12:00:00,9.179998,9.393126,9.185429,9.3831415
2023-12-14 12:00:00,9.019998,9.131767,8.914225,9.078276
2023-12-15 12:00:00,8.8899975,8.812486,8.623365,8.6830225
2023-12-16 12:00:00,7.919999,8.313874,8.13532,8.22198
2023-12-17 12:00:00,7.1299987,7.561031,7.3300323,7.258894
2023-12-18 12:00:00,7.4000006,7.7276907,7.5419574,7.370057
2023-12-19 12:00:00,7.1199994,7.7512774,7.521366,7.4805713
2023-12-20 12:00:00,6.6699996,7.311987,7.055232,6.7440963
2023-12-21 12:00:00,5.930001,6.64322,6.3909235,6.210572
2023-12-22 12:00:00,5.32,6.010337,5.777726,5.6011305
2023-12-23 12:00:00,4.67,5.591595,5.347849,5.1422653
2023-12-24 12:00:00,4.6800003,5.361881,5.0505304,4.7238092
2023-12-25 12:00:00,4.6800003,5.319825,4.9421825,4.571512
2023-12-26 12:00:00,4.739999,5.306468,4.9106293,4.6675587
2023-12-27 12:00:00,5.329998,6.197181,5.8616376,5.345323
2023-12-28 12:00:00,5.06,5.866368,5.527664,5.4150066
2023-12-29 12:00:00,4.6000004,5.4561267,5.1437235,4.965004
2023-12-30 12:00:00,4.5399995,5.2111254,4.935443,5.003721
2023-12-31 12:00:00,4.3000007,5.136556,4.847151,4.941868
2024-01-01 12:00:00,4.12,4.954731,4.658013,4.5948215
2024-01-02 12:00:00,4.6099987,5.0855713,4.7637053,4.63591
2024-01-03 12:00:00,4.549999,5.196421,4.911187,4.935835
2024-01-04 12:00:00,4.48,5.23637,4.957992,5.045654
2024-01-05 12:00:00,4.390001,5.2636137,5.016515,5.170966
2024-01-06 12:00:00,4.1400003,4.8982325,4.631248,4.580867
2024-01-07 12:00:00,3.7300005,4.475494,4.1696763,4.2211227
2024-01-08 12:00:00,3.63,4.2286096,3.9225335,3.9663882
2024-01-09 12:00:00,3.9399996,4.3032722,4.010836,4.019267
2024-01-10 12:00:00,4.6800003,5.432802,5.1687613,4.601983
2024-01-11 12:00:00,7.0200005,5.977858,5.903552,5.495091
2024-01-12 12:00:00,5.2399993,6.465542,6.5154533,6.9510193
2024-01-13 12:00:00,4.08,5.2800436,5.0922136,5.168543
2024-01-14 12:00:00,3.3000002,4.2986584,4.079158,4.010051
2024-01-15 12:00:00,3.4900002,3.9691296,3.7372742,3.5828414
2024-01-16 12:00:00,3.7099998,4.4089227,4.241643,4.0238514
2024-01-17 12:00:00,4.2900004,4.318246,4.119388,3.8964963
2024-01-18 12:00:00,4.549999,4.788164,4.676702,4.448128
2024-01-19 12:00:00,3.9900002,4.7907,4.6788607,4.3180256
2024-01-20 12:00:00,3.5099998,4.1110563,3.8953915,3.5215323
2024-01-21 12:00:00,3.0700002,4.028837,3.7898614,3.4963706
2024-01-22 12:00:00,3.2800002,3.8263373,3.504427,3.252295
2024-01-23 12:00:00,3.4300003,3.9952512,3.713916,3.5459042
2024-01-24 12:00:00,3.26,3.951023,3.6830595,3.6071386
2024-01-25 12:00:00,5.079999,4.0874557,3.8302956,3.5070071
2024-01-26 12:00:00,4.17,4.9913445,4.8596234,5.0900946
2024-01-27 12:00:00,3.3800006,4.299874,4.090661,3.8646622
2024-01-28 12:00:00,3.0399997,3.892621,3.5891075,3.6592865
2024-01-29 12:00:00,3.4300003,3.998917,3.7007074,3.585395
2024-01-30 12:00:00,3.3099997,4.3252935,4.0514135,4.24236
2024-01-31 12:00:00,3.4900002,4.255704,3.9787269,3.6797428
2024-02-01 12:00:00,3.3900006,3.9781084,3.6944551,3.6038873
2024-02-02 12:00:00,3.2299993,3.9355674,3.6698723,3.519914
2024-02-03 12:00:00,2.8199997,3.593877,3.350532,3.2707634
2024-02-04 12:00:00,2.5100002,3.3011107,3.0522661,3.034406
2024-02-05 12:00:00,2.7599998,3.4045434,3.1682034,2.959127
2024-02-06 12:00:00,2.8000002,3.4132686,3.1738324,3.08995
2024-02-07 12:00:00,3.63,3.4507315,3.2270975,3.0547218
2024-02-08 12:00:00,4.739999,4.5243955,4.375535,4.2116303
2024-02-09 12:00:00,4.1800003,4.5389977,4.398534,4.2210903
2024-02-10 12:00:00,3.3600001,4.097342,3.890256,3.8644807
2024-02-11 12:00:00,2.93,3.588759,3.3648396,3.3752105
2024-02-12 12:00:00,2.9600003,3.5468154,3.3436027,3.211249
2024-02-13 12:00:00,2.81,3.4214637,3.2220206,3.2054532
2024-02-14 12:00:00,2.6999998,3.2369578,3.0468237,3.021219
2024-02-15 12:00:00,2.61,3.1329904,2.9665413,2.8764102
2024-02-16 12:00:00,2.44,3.1164794,2.9649808,2.9196157
2024-02-17 12:00:00,2.24,2.8692505,2.7083333,2.6413984
2024-02-18 12:00:00,2.03,2.776989,2.5928864,2.5768602
2024-02-19 12:00:00,2.62,2.9248502,2.719241,2.4965434
2024-02-20 12:00:00,2.57,3.2531483,3.042064,2.8899546
2024-02-21 12:00:00,11.990001,3.1491106,2.9270175,2.8113961
2024-02-22 12:00:00,7.809999,6.7551007,7.0980673,8.112705
2024-02-23 12:00:00,5.1799984,5.743956,5.7490997,6.8559217
2024-02-24 12:00:00,3.8899999,4.606106,4.454868,4.77865
2024-02-25 12:00:00,3.1899996,3.8807425,3.638421,3.4344575
2024-02-26 12:00:00,3.1000001,3.566677,3.309411,3.1554246
2024-02-27 12:00:00,3.0900002,3.5070262,3.2666156,3.3671057
2024-02-28 12:00:00,3.0599997,4.2149515,4.0142946,4.2312326
2024-02-29 12:00:00,2.9699998,4.498993,4.242941,4.466567
2024-03-01 12:00:00,3.12,3.8549466,3.4849792,3.62567
2024-03-02 12:00:00,2.81,3.7037458,3.4018347,3.508184
2024-03-03 12:00:00,2.4699998,3.3660324,3.06841,3.1721919
2024-03-04 12:00:00,2.74,3.5031893,3.2259512,3.1159077
2024-03-05 12:00:00,2.89,3.4648638,3.1845531,3.182052
2024-03-06 12:00:00,2.83,3.7506623,3.5139267,3.304144
2024-03-07 12:00:00,7.5499997,3.586883,3.3386621,3.270522
2024-03-08 12:00:00,7.5999985,5.1681776,5.188752,5.7039127
2024-03-09 12:00:00,4.749999,5.565183,5.492164,6.6852365
2024-03-10 12:00:00,4.08,5.239508,5.087691,5.621523
2024-03-11 12:00:00,4.3099995,4.8530464,4.670957,4.8604393
2024-03-12 12:00:00,4.2,4.682473,4.506627,4.750887
2024-03-13 12:00:00,3.8300002,4.563631,4.4233313,4.71974
2024-03-14 12:00:00,3.4499998,4.1333075,3.9753716,3.957298
2024-03-15 12:00:00,3.1599998,3.7679484,3.569706,3.5692391
2024-03-16 12:00:00,2.8700001,3.656166,3.4413164,3.3916063
2024-03-17 12:00:00,2.64,3.3819795,3.101904,3.083506
2024-03-18 12:00:00,2.6799998,3.4615235,3.182342,3.0804434
2024-03-19 12:00:00,2.5400002,3.9096568,3.6781237,3.8317895
2024-03-20 12:00:00,2.6000001,4.0728526,3.869093,3.5440958
2024-03-21 12:00:00,2.5500002,3.8695695,3.5998514,3.1694415
2024-03-22 12:00:00,3.0700002,4.6513987,4.305012,2.9379036
2024-03-23 12:00:00,3.62,4.9255533,4.7475033,4.416423
2024-03-24 12:00:00,3.5099998,4.995447,4.597972,4.5510335
2024-03-25 12:00:00,3.5199995,4.6693873,4.2714863,4.1944947
2024-03-26 12:00:00,3.2800002,4.831361,4.516201,4.69306
2024-03-27 12:00:00,3.0700002,4.305941,3.995686,3.6501637
2024-03-28 12:00:00,2.98,4.2291803,3.9118059,3.7981677
2024-03-29 12:00:00,2.8700001,4.017645,3.654286,3.4806705
2024-03-30 12:00:00,2.9400008,4.4711103,4.087808,3.8639865
2024-03-31 12:00:00,3.32,4.980013,4.5158315,4.2190337
2024-04-01 12:00:00,3.2900002,4.739127,4.199392,3.8458815
2024-04-02 12:00:00,3.3099997,4.609951,4.1321955,3.6031175
2024-04-03 12:00:00,3.5000002,4.8810625,4.4829144,3.731874
2024-04-04 12:00:00,3.3300002,4.6902213,4.316988,3.6734588
2024-04-05 12:00:00,3.2699993,4.577659,4.2345066,3.5317256
2024-04-06 12:00:00,2.88,4.3921165,4.0621204,3.464047
2024-04-07 12:00:00,2.45,4.0865993,3.7391686,3.2139678
2024-04-08 12:00:00,2.9199998,4.1615286,3.8223214,3.0753999
2024-04-09 12:00:00,2.7500002,4.3829856,4.056444,3.2643428
2024-04-10 12:00:00,2.89,4.3676553,4.0390387,3.040452
2024-04-11 12:00:00,3.2199998,4.5842543,4.21658,3.2053394
2024-04-12 12:00:00,4.05,5.311779,4.9147,3.5809925
2024-04-13 12:00:00,4.48,6.192972,5.7429423,4.3271356
2024-04-14 12:00:00,4.619999,5.950707,5.4676223,4.626626
2024-04-15 12:00:00,4.969999,11.093249,10.671225,6.598304
2024-04-16 12:00:00,19.36,11.65891,11.450796,10.719824
2024-04-17 12:00:00,19.140001,20.304321,21.30789,25.255074
2024-04-18 12:00:00,13.11,19.871038,20.057644,21.181347
2024-04-19 12:00:00,10.610001,13.836804,13.569705,11.976022
2024-04-20 12:00:00,9.0599985,11.120486,10.930533,10.1163845
2024-04-21 12:00:00,7.4300003,9.387472,9.17374,8.791924
2024-04-22 12:00:00,9.609997,12.294233,12.865213,12.297026
2024-04-23 12:00:00,10.760001,9.808563,9.539649,7.5458384
2024-04-24 12:00:00,9.709997,10.114365,10.008404,7.180174
2024-04-25 12:00:00,9.160002,9.682621,9.514565,7.1641426
2024-04-26 12:00:00,8.879998,9.853454,9.651955,6.924747
2024-04-27 12:00:00,13.379995,9.743323,9.532166,7.1709
2024-04-28 12:00:00,10.589996,11.099031,11.192949,10.238106
2024-04-29 12:00:00,10.229999,10.436577,10.284386,9.778429
2024-04-30 12:00:00,10.340001,10.371302,10.159517,9.556854
2024-05-01 12:00:00,9.649997,9.973557,9.76767,8.81144
2024-05-02 12:00:00,9.339998,9.498086,9.195835,8.628015
2024-05-03 12:00:00,9.15,9.308227,9.019352,8.713534
2024-05-04 12:00:00,8.68,9.185429,8.9049635,8.61121
2024-05-05 12:00:00,7.870001,8.747987,8.427066,8.113326
2024-05-06 12:00:00,8.29,8.951109,8.695913,8.315586
2024-05-07 12:00:00,14.490003,8.988244,8.683288,8.134485
2024-05-08 12:00:00,13.279997,11.262091,11.397882,11.528948
2024-05-09 12:00:00,11.259997,10.88189,10.815242,11.027446
2024-05-10 12:00:00,10.200001,9.969294,9.787056,9.655277
2024-05-11 12:00:00,9.310001,9.1700735,8.899812,8.500969
2024-05-12 12:00:00,8.400001,8.658386,8.357279,7.7895327
2024-05-13 12:00:00,9.17,15.266795,15.144786,10.025922
2024-05-14 12:00:00,9.509999,16.57281,16.764194,14.739333
2024-05-15 12:00:00,9.810001,14.385733,14.062867,10.8402605
2024-05-16 12:00:00,15.379999,12.69404,12.363829,10.522266
2024-05-17 12:00:00,21.379993,14.168775,14.406145,14.167068
2024-05-18 12:00:00,12.59,15.502768,16.153543,17.393904
2024-05-19 12:00:00,9.529999,11.127464,10.913263,9.72833
2024-05-20 12:00:00,8.4299965,9.543045,9.243477,7.858848
2024-05-21 12:00:00,8.030001,9.233022,8.906165,7.7159004
2024-05-22 12:00:00,8.479999,9.047462,8.74774,8.113411
2024-05-23 12:00:00,9.049999,9.63512,9.425259,8.489573
2024-05-24 12:00:00,8.860001,10.15211,9.917602,8.639536
2024-05-25 12:00:00,8.259999,9.101017,8.639285,7.60515
2024-05-26 12:00:00,7.809999,8.587054,8.141775,7.244841
2024-05-27 12:00:00,8.0999975,8.283493,7.8418536,7.0587225
2024-05-28 12:00:00,8.52,8.344583,7.934964,7.138109
2024-05-29 12:00:00,8.62,8.277209,7.905817,7.116763
2024-05-30 12:00:00,8.359997,8.028735,7.6830606,7.0358543
2024-05-31 12:00:00,8.449999,7.864189,7.5499587,6.992363
2024-06-01 12:00:00,7.7700005,7.8497453,7.580523,7.2188306
2024-06-02 12:00:00,7.1999993,8.134592,7.8263474,7.733681
2024-06-03 12:00:00,45.840004,15.212755,15.687487,14.304903
2024-06-04 12:00:00,44.8,44.049255,48.25918,52.06792
2024-06-05 12:00:00,30.92,35.787437,36.297447,31.472704
2024-06-06 12:00:00,24.650005,26.955204,26.936749,23.704895
2024-06-07 12:00:00,20.460005,22.050554,22.099926,20.380913
2024-06-08 12:00:00,15.57,17.855106,17.787647,16.768557
2024-06-09 12:00:00,12.889996,14.805027,14.674013,14.052234
