DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-09 16:00:00,3.6600003,2.0475063,1.9487703,1.9282681
2023-12-10 16:00:00,3.48,5.4527626,5.01029,5.1927414
2023-12-11 16:00:00,2.7100003,3.124305,2.7545757,3.0090067
2023-12-12 16:00:00,2.3200004,2.2053766,2.0182805,2.1416206
2023-12-13 16:00:00,2.1400006,2.4070864,2.260338,2.3375134
2023-12-14 16:00:00,1.6899999,2.0827112,1.9299058,1.9119678
2023-12-15 16:00:00,1.59,1.6861867,1.5303674,1.4850011
2023-12-16 16:00:00,2.43,2.0129194,1.8678521,1.845899
2023-12-17 16:00:00,3.4499998,4.7238936,4.4318714,4.5403748
2023-12-18 16:00:00,2.9499998,2.7480404,2.3173027,2.6078694
2023-12-19 16:00:00,2.13,2.7697363,2.567791,2.9436207
2023-12-20 16:00:00,2.7700005,2.2924192,2.0900943,2.1576738
2023-12-21 16:00:00,5.5299997,3.811862,3.6705241,4.1236076
2023-12-22 16:00:00,8.57,7.4085164,7.2643285,8.251701
2023-12-23 16:00:00,7.8299994,8.396059,8.036072,9.282477
2023-12-24 16:00:00,10.860001,9.945118,9.881323,10.92009
2023-12-25 16:00:00,9.049999,10.241678,9.6923065,10.992035
2023-12-26 16:00:00,7.130001,8.258999,7.747072,8.299835
2023-12-27 16:00:00,5.42,5.234063,4.824607,4.928254
2023-12-28 16:00:00,5.38,6.017379,5.641083,6.290893
2023-12-29 16:00:00,6.21,6.2507496,5.8746786,6.4070754
2023-12-30 16:00:00,5.2500005,5.9617333,5.58963,6.2419996
2023-12-31 16:00:00,6.439999,6.622414,6.527154,6.879258
2024-01-01 16:00:00,5.8300004,6.8117685,6.3429036,6.8777237
2024-01-02 16:00:00,5.19,4.9110847,4.44803,4.7973733
2024-01-03 16:00:00,4.66,5.3346725,4.903818,5.4505196
2024-01-04 16:00:00,3.81,4.1532216,3.7819746,4.0534725
2024-01-05 16:00:00,3.0500007,3.1761398,2.915298,3.1023822
2024-01-06 16:00:00,2.8600006,2.7621891,2.5718842,2.6956244
2024-01-07 16:00:00,2.62,2.7984843,2.6292298,2.7631576
2024-01-08 16:00:00,2.21,2.346611,2.1825075,2.2290668
2024-01-09 16:00:00,1.9200004,1.939362,1.8011904,1.8197801
2024-01-10 16:00:00,1.6300004,1.7676632,1.6736473,1.6650459
2024-01-11 16:00:00,1.4800001,1.8717073,1.8386552,1.8149323
2024-01-12 16:00:00,1.2499998,1.2165058,1.1096158,1.0405412
2024-01-13 16:00:00,2.3300004,1.8646631,1.8145628,1.7820836
2024-01-14 16:00:00,2.4100006,2.6177785,2.359067,2.3281827
2024-01-15 16:00:00,1.9200004,2.1511633,1.9025421,1.9631501
2024-01-16 16:00:00,1.6000001,1.7147083,1.5507519,1.5285587
2024-01-17 16:00:00,1.26,1.4347596,1.2969154,1.2828465
2024-01-18 16:00:00,1.12,1.166242,1.0527745,1.024008
2024-01-19 16:00:00,1.39,1.3899114,1.3204339,1.298518
2024-01-20 16:00:00,1.6400002,2.0278447,1.9599357,1.8976767
2024-01-21 16:00:00,2.7599998,2.9938488,2.964672,2.9022727
2024-01-22 16:00:00,2.5000002,2.780555,2.3165388,2.4640646
2024-01-23 16:00:00,2.1200004,2.2867758,1.978778,2.1646032
2024-01-24 16:00:00,1.9700001,2.3676584,2.092227,2.3373666
2024-01-25 16:00:00,1.6500002,1.8819283,1.6577244,1.8036087
2024-01-26 16:00:00,1.6700002,1.8625221,1.77037,1.8814883
2024-01-27 16:00:00,1.6600002,1.7436091,1.5695989,1.5972351
2024-01-28 16:00:00,2.19,2.4725163,2.4268546,2.5206265
2024-01-29 16:00:00,1.8600005,1.8288624,1.5711347,1.5979637
2024-01-30 16:00:00,1.6500002,1.7955753,1.6337614,1.7190175
2024-01-31 16:00:00,1.5,1.591691,1.4336448,1.4124889
2024-02-01 16:00:00,1.4599999,1.7699242,1.5136459,1.569497
2024-02-02 16:00:00,1.6100001,1.5657607,1.3738137,1.3851054
2024-02-03 16:00:00,2.3200004,2.7715611,2.509196,2.6381946
2024-02-04 16:00:00,5.0099998,3.6031108,3.3526113,3.5835805
2024-02-05 16:00:00,3.5600002,4.2023935,3.8880353,4.578369
2024-02-06 16:00:00,3.3600001,3.2848668,3.0204732,3.2330623
2024-02-07 16:00:00,2.1000004,2.6874158,2.4324975,2.68071
2024-02-08 16:00:00,1.84,1.6125693,1.4637942,1.4903135
2024-02-09 16:00:00,1.6100001,1.788312,1.6699321,1.7299055
2024-02-10 16:00:00,1.53,1.5125549,1.3950286,1.3978627
2024-02-11 16:00:00,1.59,1.6455442,1.5096619,1.5104067
2024-02-12 16:00:00,1.51,1.5536666,1.4557577,1.5104353
2024-02-13 16:00:00,1.19,1.3422066,1.2548761,1.2393448
2024-02-14 16:00:00,1.0300001,1.1084353,1.0116491,0.97894955
2024-02-15 16:00:00,0.84999996,0.9149516,0.8248953,0.7893715
2024-02-16 16:00:00,0.89,2.1383185,2.2942266,2.358471
2024-02-17 16:00:00,0.89,0.92696345,0.7791035,0.6537316
2024-02-18 16:00:00,1.16,1.587426,1.5424688,1.5600187
2024-02-19 16:00:00,1.1,1.0248736,0.7986012,0.718801
2024-02-20 16:00:00,1.05,1.0984678,0.94339633,0.93777406
2024-02-21 16:00:00,1.0199999,1.1346742,0.96141386,0.9181798
2024-02-22 16:00:00,2.79,1.2726262,1.0786119,1.0884736
2024-02-23 16:00:00,2.6999998,4.19567,3.8454556,4.1355653
2024-02-24 16:00:00,2.6699998,3.1643543,3.0720155,3.1894073
2024-02-25 16:00:00,2.5599997,2.660443,2.4881995,2.5398614
2024-02-26 16:00:00,2.1400006,2.1009896,1.859318,1.9069283
2024-02-27 16:00:00,1.6400002,1.8262198,1.6482114,1.6423321
2024-02-28 16:00:00,1.2499998,1.4594424,1.3112371,1.263092
2024-02-29 16:00:00,1.39,1.655441,1.5241379,1.4619486
2024-03-01 16:00:00,1.24,1.3813286,1.2108603,1.1350491
2024-03-02 16:00:00,1.24,1.6458979,1.5192544,1.4535358
2024-03-03 16:00:00,1.4599999,2.2770495,2.1767201,2.0078309
2024-03-04 16:00:00,1.2800001,1.1760137,0.9579998,0.87377
2024-03-05 16:00:00,1.13,1.249297,1.07019,1.0098548
2024-03-06 16:00:00,0.97999996,1.1058116,0.9687079,0.8859295
2024-03-07 16:00:00,1.1800001,1.2235959,1.1206337,1.0218059
2024-03-08 16:00:00,2.13,2.5776904,2.614921,2.4959266
2024-03-09 16:00:00,3.4,3.9079037,3.7746675,3.5238032
2024-03-10 16:00:00,4.52,4.6975203,4.373994,4.320278
2024-03-11 16:00:00,3.2299993,3.25173,2.883373,2.9020607
2024-03-12 16:00:00,2.1200004,2.4893045,2.244461,2.1644807
2024-03-13 16:00:00,1.8300005,1.9278901,1.7324789,1.5767138
2024-03-14 16:00:00,1.6600002,2.3164134,2.191291,2.057591
2024-03-15 16:00:00,1.5799999,2.484178,2.2783318,2.097526
2024-03-16 16:00:00,3.2299993,3.8534353,3.5879874,3.4045994
2024-03-17 16:00:00,2.9100008,3.2704754,2.9621723,3.0580637
2024-03-18 16:00:00,2.0700002,2.1302927,1.8294176,1.8112804
2024-03-19 16:00:00,1.7200001,2.162395,1.9715396,1.900518
2024-03-20 16:00:00,1.4,1.6984584,1.5024467,1.3560674
2024-03-21 16:00:00,1.21,1.4207776,1.2535553,1.1452888
2024-03-22 16:00:00,1.1700001,1.911041,1.7764767,1.587018
2024-03-23 16:00:00,5.459999,3.644572,3.588296,3.1818504
2024-03-24 16:00:00,6.8199997,7.6995387,7.0985713,7.0628333
2024-03-25 16:00:00,4.1099997,4.411001,3.9256785,4.195881
2024-03-26 16:00:00,3.4899998,5.108614,5.096974,5.107795
2024-03-27 16:00:00,2.9100008,3.0791569,2.7232912,2.57012
2024-03-28 16:00:00,4.56,4.7021623,4.680654,4.676856
2024-03-29 16:00:00,5.2000003,6.4655294,5.7006617,5.809893
2024-03-30 16:00:00,5.78,5.87117,5.5270844,5.938759
2024-03-31 16:00:00,6.310001,7.228314,6.946289,7.179895
2024-04-01 16:00:00,7.9800005,7.4596844,7.13614,7.240614
2024-04-02 16:00:00,7.290001,9.020781,8.705795,9.012134
2024-04-03 16:00:00,4.98,5.088944,4.563082,4.6145835
2024-04-04 16:00:00,4.57,5.1555614,4.836852,4.8835597
2024-04-05 16:00:00,6.23,6.3713,6.238562,6.172666
2024-04-06 16:00:00,7.95,8.389836,8.2134905,8.35696
2024-04-07 16:00:00,9.359999,10.177995,9.712378,10.147961
2024-04-08 16:00:00,6.1699996,6.9328775,6.509924,6.8862157
