DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 20:00:00,3.24,3.4055243,3.6602705,3.5364308
2023-12-04 20:00:00,3.1400003,3.364392,3.6711736,3.508348
2023-12-05 20:00:00,3.0100002,3.0943868,3.387166,3.3729715
2023-12-06 20:00:00,3.7200007,4.757643,4.904294,4.6496305
2023-12-07 20:00:00,5.0100007,3.8854656,4.109129,3.8791828
2023-12-08 20:00:00,3.9499998,4.4547744,4.8317285,4.524572
2023-12-09 20:00:00,24.69,7.414633,7.936345,7.7147346
2023-12-10 20:00:00,10.9,12.759071,13.026963,10.002442
2023-12-11 20:00:00,7.6799994,9.064617,9.784691,9.131364
2023-12-12 20:00:00,7.3099995,7.1313677,7.795329,7.692025
2023-12-13 20:00:00,6.01,6.5240574,7.216017,7.040153
2023-12-14 20:00:00,5.3100004,5.51565,6.1655016,6.1918097
2023-12-15 20:00:00,4.61,4.900091,5.4653096,5.585561
2023-12-16 20:00:00,9.09,7.2161818,8.0746155,7.9283032
2023-12-17 20:00:00,9.8,9.3802185,9.619482,7.6578307
2023-12-18 20:00:00,7.540001,7.727751,8.326238,7.383582
2023-12-19 20:00:00,5.99,6.712351,7.2456803,6.7226934
2023-12-20 20:00:00,5.64,9.478147,10.078126,9.7003145
2023-12-21 20:00:00,16.500002,11.856422,11.811876,10.207429
2023-12-22 20:00:00,16.9,15.245781,15.813842,13.148828
2023-12-23 20:00:00,13.679999,13.846412,15.016717,13.704941
2023-12-24 20:00:00,22.160002,18.137486,19.260752,17.965073
2023-12-25 20:00:00,18.260002,16.614164,17.722065,16.848946
2023-12-26 20:00:00,13.660001,14.519172,15.659731,15.8154125
2023-12-27 20:00:00,10.379999,10.98073,11.873946,12.494946
2023-12-28 20:00:00,11.849999,12.344102,13.16867,13.105146
2023-12-29 20:00:00,10.91,11.973798,12.696418,12.106871
2023-12-30 20:00:00,8.539999,9.334197,10.02538,9.639545
2023-12-31 20:00:00,12.750001,11.226164,11.853992,11.209833
2024-01-01 20:00:00,9.810001,10.625601,11.065608,10.187649
2024-01-02 20:00:00,8.689999,8.672745,9.184799,9.268472
2024-01-03 20:00:00,7.5,8.367494,8.828651,8.651124
2024-01-04 20:00:00,5.9,6.917797,7.398535,7.4197
2024-01-05 20:00:00,4.8899994,5.6387906,6.0439253,6.1693563
2024-01-06 20:00:00,4.8500004,5.0548334,5.408853,5.438297
2024-01-07 20:00:00,4.3,4.905859,5.2453365,5.1929436
2024-01-08 20:00:00,3.6999998,4.3148174,4.6545587,4.608938
2024-01-09 20:00:00,3.12,3.7032743,3.9939182,4.025963
2024-01-10 20:00:00,2.65,3.3520122,3.5964231,3.500439
2024-01-11 20:00:00,2.46,2.6458611,2.9407165,2.9635768
2024-01-12 20:00:00,2.3600001,2.4303918,2.6751423,2.9042182
2024-01-13 20:00:00,7.9300003,4.497013,4.7376556,4.780494
2024-01-14 20:00:00,6.3900003,6.062829,6.41281,5.89131
2024-01-15 20:00:00,4.59,5.8820934,6.289836,5.877679
2024-01-16 20:00:00,3.3300002,4.383421,4.661274,4.735735
2024-01-17 20:00:00,2.5599997,3.5094757,3.791212,3.803104
2024-01-18 20:00:00,2.6999998,3.1638355,3.418861,3.571254
2024-01-19 20:00:00,4.1899996,3.621913,3.8294878,3.7868452
2024-01-20 20:00:00,3.9200008,4.9490833,5.257574,4.988796
2024-01-21 20:00:00,7.59,5.9690647,6.2021255,5.6612473
2024-01-22 20:00:00,5.86,5.860769,6.3122144,5.186928
2024-01-23 20:00:00,5.3400006,5.0722013,5.553506,5.402711
2024-01-24 20:00:00,5.679999,5.5939317,6.1969366,5.7662325
2024-01-25 20:00:00,3.9400003,4.9961367,5.4755573,5.2133546
2024-01-26 20:00:00,5.13,5.018073,5.520671,5.415315
2024-01-27 20:00:00,4.08,4.564224,4.98016,4.7991753
2024-01-28 20:00:00,4.0700006,5.4985256,5.8753104,5.610091
2024-01-29 20:00:00,3.5499997,3.4978795,3.8393898,3.625778
2024-01-30 20:00:00,2.98,3.3424456,3.6925664,3.9056644
2024-01-31 20:00:00,4.7800007,3.1333604,3.447238,3.6092255
2024-02-01 20:00:00,3.4500003,4.4086924,4.9253454,4.615502
2024-02-02 20:00:00,5.8199997,4.117874,4.4528255,4.629637
2024-02-03 20:00:00,5.5,7.759429,8.290793,7.258154
2024-02-04 20:00:00,8.749999,11.448151,11.853045,10.666534
2024-02-05 20:00:00,5.7999997,5.829181,6.010591,5.2830744
2024-02-06 20:00:00,4.71,5.3231544,5.7575707,5.471597
2024-02-07 20:00:00,3.7200007,4.3489246,4.768678,4.7357
2024-02-08 20:00:00,3.1799998,3.5350714,3.8707047,4.090388
2024-02-09 20:00:00,2.7500007,3.322365,3.6427763,3.7543511
2024-02-10 20:00:00,2.5599997,2.9999247,3.28584,3.4085991
2024-02-11 20:00:00,2.4900002,3.3924901,3.631724,3.620832
2024-02-12 20:00:00,2.2700005,2.5583744,2.7556665,2.7954535
2024-02-13 20:00:00,2.04,2.3723402,2.5863361,2.634695
2024-02-14 20:00:00,1.88,2.110403,2.3156066,2.4541168
2024-02-15 20:00:00,1.6899999,2.0736215,2.2932382,2.4492762
2024-02-16 20:00:00,1.5799999,2.0992367,2.0573266,1.6538528
2024-02-17 20:00:00,1.34,1.3053849,1.6695566,1.6708078
2024-02-18 20:00:00,2.3600001,1.5459018,1.7547767,1.8888268
2024-02-19 20:00:00,1.8699999,1.9807093,2.2737226,2.244024
2024-02-20 20:00:00,1.8100002,1.7358184,1.9472451,2.1901667
2024-02-21 20:00:00,2.32,1.9867574,2.2157426,2.2925942
2024-02-22 20:00:00,12.700001,7.2373056,7.837822,7.993203
2024-02-23 20:00:00,4.3,7.293652,7.2887893,5.9617987
2024-02-24 20:00:00,3.8300009,4.6668615,4.849887,4.620716
2024-02-25 20:00:00,3.1700006,3.4441981,3.699967,3.6098304
2024-02-26 20:00:00,2.5100002,2.8617482,3.107419,3.3329687
2024-02-27 20:00:00,1.9599998,2.283049,2.4560423,2.7113068
2024-02-28 20:00:00,2.08,2.0340662,2.166098,2.4056554
2024-02-29 20:00:00,2.44,2.4400315,2.5365899,2.5870607
2024-03-01 20:00:00,2.0099998,2.0904417,2.3010852,2.4598694
2024-03-02 20:00:00,2.0500002,2.4009666,2.5513575,2.73046
2024-03-03 20:00:00,2.2500005,2.544217,2.6168618,2.6063323
2024-03-04 20:00:00,1.7500002,1.7308103,1.9629812,2.070422
2024-03-05 20:00:00,1.4599999,1.6446548,1.8268034,2.0605085
2024-03-06 20:00:00,1.34,1.4281402,1.560823,1.8090231
2024-03-07 20:00:00,1.6800001,1.950123,2.117829,2.3703568
2024-03-08 20:00:00,2.8199997,2.6172774,2.733188,2.866043
2024-03-09 20:00:00,3.1400003,3.4334807,3.5010517,3.6033049
2024-03-10 20:00:00,3.7400002,3.765964,3.7927446,4.068964
2024-03-11 20:00:00,2.5599997,2.0956037,2.1546764,2.5753517
2024-03-12 20:00:00,1.9300001,1.7994468,1.8925275,2.2494636
2024-03-13 20:00:00,1.8000001,1.6147046,1.6954491,2.0505729
2024-03-14 20:00:00,1.84,1.670552,1.7723753,2.0383055
2024-03-15 20:00:00,1.84,1.8919307,2.0676436,2.0860655
2024-03-16 20:00:00,2.5300002,3.1103554,3.286478,3.2032435
2024-03-17 20:00:00,2.03,1.8338784,1.9873511,2.2539835
2024-03-18 20:00:00,1.59,1.615867,1.7776604,1.9207231
2024-03-19 20:00:00,1.4599999,1.4114664,1.4572158,1.7329876
2024-03-20 20:00:00,1.25,1.3353119,1.4023751,1.6128602
2024-03-21 20:00:00,1.23,1.1604153,1.2304826,1.4393114
2024-03-22 20:00:00,2.1999998,1.6047494,1.5979974,1.7144055
2024-03-23 20:00:00,4.28,5.8160267,5.990525,6.085224
2024-03-24 20:00:00,3.6000004,4.848056,4.4737167,4.190007
2024-03-25 20:00:00,2.5900006,2.2011766,2.063386,2.3739893
2024-03-26 20:00:00,2.24,2.1015387,2.0563467,2.2183492
2024-03-27 20:00:00,1.8499998,1.5875196,1.6823132,1.9503596
2024-03-28 20:00:00,4.2,3.0826018,3.2982388,3.8205419
2024-03-29 20:00:00,3.25,3.8038754,3.6412551,3.4519923
2024-03-30 20:00:00,3.8600006,3.3974805,3.2726216,3.6527128
2024-03-31 20:00:00,3.1400003,3.9040513,3.8089685,4.0270395
2024-04-01 20:00:00,3.7300005,3.6025088,3.4760056,3.8837974
2024-04-02 20:00:00,3.2700005,3.321857,3.128878,3.4099994
2024-04-03 20:00:00,3.0100002,2.0999882,2.0332646,2.4128127
2024-04-04 20:00:00,2.9400003,2.7742572,2.7479887,3.1302102
2024-04-05 20:00:00,2.8400004,3.527612,3.535133,3.9903111
2024-04-06 20:00:00,2.6999998,4.0854645,3.9110096,4.3840337
2024-04-07 20:00:00,2.5400002,3.178803,2.8442903,3.0274422
2024-04-08 20:00:00,2.4999998,1.712034,1.5661606,1.8386228
2024-04-09 20:00:00,2.5700004,2.3102434,2.23216,2.531325
2024-04-10 20:00:00,2.4999998,4.101887,3.9558032,4.2801056
2024-04-11 20:00:00,2.29,2.4124026,2.0352392,2.2707233
2024-04-12 20:00:00,2.1999998,3.1230128,2.7255256,2.936374
2024-04-13 20:00:00,2.99,3.3379855,2.855282,3.0806818
2024-04-14 20:00:00,2.66,5.12374,4.2762003,4.295006
2024-04-15 20:00:00,4.6600003,2.4831443,2.037312,2.2408502
2024-04-16 20:00:00,14.990001,4.3120446,3.790588,3.8371081
2024-04-17 20:00:00,5.7500005,7.7915993,7.706355,8.6565075
2024-04-18 20:00:00,4.2,5.6165214,5.4083266,6.0052896
