DATE,ACTUAL_VALUE,D+1_ENSEMBLE_MODEL,D+1_RECENCY_WEIGHTED,D+1_SINGLE_MODEL
2023-12-03 20:00:00,10.259999,11.956435,11.739246,12.040149
2023-12-04 20:00:00,10.870001,11.36118,11.143394,11.909299
2023-12-05 20:00:00,9.910002,11.449869,11.416998,12.568182
2023-12-06 20:00:00,10.17,21.800766,22.256958,23.446795
2023-12-07 20:00:00,9.399999,11.963928,10.06626,10.102463
2023-12-08 20:00:00,9.500001,11.332865,10.337411,10.066492
2023-12-09 20:00:00,19.4,10.449945,9.680948,9.73131
2023-12-10 20:00:00,10.460001,13.057037,13.798629,13.228652
2023-12-11 20:00:00,10.59,11.751326,11.868011,11.392094
2023-12-12 20:00:00,9.47,12.147486,12.076931,12.39571
2023-12-13 20:00:00,9.0199995,10.550723,10.134317,10.652732
2023-12-14 20:00:00,8.5,10.646805,10.298921,10.8674345
2023-12-15 20:00:00,8.0,9.753904,9.225752,10.099202
2023-12-16 20:00:00,7.7900004,9.112678,8.628033,9.431848
2023-12-17 20:00:00,7.620001,8.603958,8.110926,8.913625
2023-12-18 20:00:00,8.190001,9.5329895,9.19309,10.232613
2023-12-19 20:00:00,7.390001,8.9640875,8.46049,9.26854
2023-12-20 20:00:00,6.9200006,8.280083,7.771017,8.283302
2023-12-21 20:00:00,6.269999,7.667734,7.1769996,7.667366
2023-12-22 20:00:00,10.47,7.2005486,6.736504,7.244257
2023-12-23 20:00:00,15.200001,9.470096,9.922751,10.7325
2023-12-24 20:00:00,12.960001,10.469328,11.35598,11.765287
2023-12-25 20:00:00,12.1,10.975906,12.174116,12.988463
2023-12-26 20:00:00,10.739999,9.878263,10.693777,11.505428
2023-12-27 20:00:00,10.129999,10.708725,11.556547,12.1324415
2023-12-28 20:00:00,8.68,9.625915,10.066256,10.790131
2023-12-29 20:00:00,8.05,8.855354,9.220923,9.931755
2023-12-30 20:00:00,12.77,9.178071,9.7717,11.258758
2023-12-31 20:00:00,9.56,9.568312,10.340614,11.5115185
2024-01-01 20:00:00,8.51,8.028216,8.341589,9.083594
2024-01-02 20:00:00,8.429999,8.627026,9.115093,9.745596
2024-01-03 20:00:00,8.119999,8.754187,9.296324,10.355208
2024-01-04 20:00:00,8.539999,8.868156,9.362373,10.4683
2024-01-05 20:00:00,7.6799994,7.8169503,7.8093038,8.581728
2024-01-06 20:00:00,7.0100007,7.1422915,7.1531467,7.8231854
2024-01-07 20:00:00,6.3399997,6.55878,6.5698123,7.1837225
2024-01-08 20:00:00,6.78,7.0283937,7.17971,8.024639
2024-01-09 20:00:00,6.43,7.8986173,8.278195,9.622854
2024-01-10 20:00:00,6.24,10.586472,10.633747,10.944826
2024-01-11 20:00:00,6.0000005,7.517428,6.63868,6.5414867
2024-01-12 20:00:00,5.87,7.2725353,6.7928686,6.7252016
2024-01-13 20:00:00,5.32,5.916794,5.4012136,5.4487123
2024-01-14 20:00:00,4.67,5.669863,5.3688335,5.36384
2024-01-15 20:00:00,5.4700003,6.293867,6.069588,6.3998895
2024-01-16 20:00:00,5.709999,6.7503633,6.491983,6.9595447
2024-01-17 20:00:00,6.45,10.112738,10.706107,12.624779
2024-01-18 20:00:00,5.5399995,6.1747093,5.462632,5.419512
2024-01-19 20:00:00,4.9700003,6.0658574,5.5866637,5.959484
2024-01-20 20:00:00,6.9000006,5.6336517,5.1884685,5.6375084
2024-01-21 20:00:00,5.5299997,6.314053,6.1689024,6.929557
2024-01-22 20:00:00,5.1600003,6.2254386,6.0636406,6.627457
2024-01-23 20:00:00,5.57,5.869977,5.5780344,5.94256
2024-01-24 20:00:00,4.91,5.731114,5.4990044,5.785278
2024-01-25 20:00:00,8.929998,8.665502,9.04931,9.85281
2024-01-26 20:00:00,5.7499995,6.6058726,6.254457,6.549298
2024-01-27 20:00:00,6.9200006,6.3744373,6.260133,6.610551
2024-01-28 20:00:00,5.679999,6.0646486,5.9614067,6.6053867
2024-01-29 20:00:00,6.870001,7.951705,8.504513,9.996891
2024-01-30 20:00:00,5.78,6.1592913,5.8274326,6.3185143
2024-01-31 20:00:00,5.449999,6.0454035,5.7270117,6.124612
2024-02-01 20:00:00,5.77,6.0221705,5.817168,6.316411
2024-02-02 20:00:00,5.04,5.860557,5.6616683,6.0479355
2024-02-03 20:00:00,5.2500005,5.460763,5.239126,5.6646643
2024-02-04 20:00:00,4.42,5.4611435,5.2796583,5.8144345
2024-02-05 20:00:00,4.6000004,5.4154067,5.196361,5.885
2024-02-06 20:00:00,4.2400002,5.1290226,4.823689,5.237085
2024-02-07 20:00:00,7.1999993,7.1154957,7.252513,8.066387
2024-02-08 20:00:00,5.449999,7.109664,6.7754273,7.295887
2024-02-09 20:00:00,4.61,5.503447,4.9706993,5.1496024
2024-02-10 20:00:00,3.9900002,5.100788,4.7360606,5.006821
2024-02-11 20:00:00,3.6399999,4.5444794,4.1689973,4.5729046
2024-02-12 20:00:00,3.7900002,4.73164,4.4102488,4.838661
2024-02-13 20:00:00,3.7200003,4.9468856,4.6812706,5.232802
2024-02-14 20:00:00,3.2900002,4.2384467,3.8115668,4.102682
2024-02-15 20:00:00,3.12,4.9231277,4.709988,5.325614
2024-02-16 20:00:00,2.9600003,3.6776876,3.1420896,3.3774612
2024-02-17 20:00:00,4.8199997,4.271428,3.970386,4.422242
2024-02-18 20:00:00,3.88,4.428478,4.163346,4.552329
2024-02-19 20:00:00,4.27,4.9249935,4.7136602,5.161618
2024-02-20 20:00:00,3.92,4.8007355,4.4493723,4.8445826
2024-02-21 20:00:00,3.7799997,6.1850123,5.436423,4.947082
2024-02-22 20:00:00,3.5099998,5.4895263,4.7945547,4.4468255
2024-02-23 20:00:00,29.080002,7.0228424,7.071964,9.166481
