DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01,4.4900002,3.916912,4.94,0.3284300849792399,0.5730881999999999,0.12763656447053165,1,3.916912
2024-07-02,4.1800003,3.345923,4.73,0.6956849423752894,0.8340772999999997,0.1995400096023916,1,3.345923
2024-07-03,3.9699998,3.2392251,4.21,0.53403166216009,0.7307747,0.18407424101129677,1,3.2392251
2024-07-04,4.59,3.0176115,6.2,2.472405594932249,1.5723884999999997,0.3425683006535947,1,3.0176115
2024-07-05,4.8300004,3.9481661,5.8,0.7776317326564907,0.8818343000000004,0.18257437411392355,1,3.9481661
2024-07-06,4.6100006,3.9181876,5.08,0.4786052269690003,0.6918130000000002,0.15006787634691418,1,3.9181876
2024-07-07,5.59,5.307824,7.74,0.07962329497599986,0.28217599999999976,0.050478711985688686,1,5.307824
2024-07-08,4.7200003,4.4303946,6.51,0.08387146147249004,0.2896057000000001,0.06135713593069053,1,4.4303946
2024-07-09,4.3100004,3.6009114,4.6,0.5028072099209995,0.7090889999999996,0.16452179447593546,1,3.6009114
2024-07-10,4.4300003,3.3989298,5.34,1.0631063759702495,1.0310704999999998,0.23274727543472173,1,3.3989298
2024-07-11,4.0299997,3.1786861,4.34,0.7247348455449601,0.8513136000000001,0.21124408520427435,1,3.1786861
2024-07-12,3.4500003,2.9279277,3.79,0.27255979967076,0.5220726,0.15132537814561928,1,2.9279277
2024-07-13,3.6399999,2.6061301,4.42,1.0688867633520394,1.0338697999999997,0.28403017263819147,1,2.6061301
2024-07-14,3.8300002,3.567737,4.76,0.06878198607424002,0.26226320000000003,0.06847602775582101,1,3.567737
2024-07-15,3.5800004,3.518127,3.99,0.0038283176275600095,0.06187340000000008,0.017283070694628994,1,3.518127
2024-07-16,3.5400002,2.8875232,4.78,0.42572623552900024,0.6524770000000002,0.1843155263098573,1,2.8875232
2024-07-17,3.7499998,4.1506553,4.73,0.1605248296802504,0.4006555000000005,0.10684147236487866,1,4.1506553
2024-07-18,3.5800004,3.7457848,3.99,0.027484467283360056,0.16578440000000016,0.046308486445979215,1,3.7457848
2024-07-19,3.4300003,3.2002711,3.7,0.052775505332639985,0.22972919999999997,0.06697643729069061,1,3.2002711
2024-07-20,3.3399997,2.8771799,3.82,0.2142021672720401,0.4628198000000001,0.13856881484151035,1,2.8771799
