DATE,ACTUAL_VALUE,D+1,ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01 16:00:00,19.51,18.242176535051613,"(2, 0, 2)",578.6452955936293,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,19.51,1.6073763382737392,1.267823464948389,0.06498326319571446,1,18.242176535051613
2024-07-02 16:00:00,18.76,16.184439860125405,"(2, 0, 2)",576.8095335584492,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,18.76,6.633510034110852,2.5755601398745966,0.1372899861340403,1,16.184439860125405
2024-07-03 16:00:00,19.08,15.226207191868536,"(2, 0, 2)",572.5230430295094,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,19.08,14.851719008005784,3.8537928081314625,0.20198075514315844,1,15.226207191868536
2024-07-04 16:00:00,16.84,14.517351388941837,"(2, 0, 2)",571.1436898461315,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,16.84,5.394696570450415,2.3226486110581632,0.137924501844309,1,14.517351388941837
2024-07-05 16:00:00,15.8,19.761544648253963,"(1, 0, 2)",524.7257209246873,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,15.8,15.693836000109611,3.9615446482539625,0.2507306739401242,0,0.0
2024-07-06 16:00:00,13.93,12.748918059965716,"(1, 0, 2)",522.2060287826671,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,13.93,1.394954549075148,1.181081940034284,0.08478693036857746,1,12.748918059965716
2024-07-07 16:00:00,14.76,17.181259832962827,"(2, 0, 2)",555.7409269515003,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,14.76,5.862499178719176,2.4212598329628268,0.16404199410317255,0,0.0
2024-07-08 16:00:00,20.82,15.80897422944684,"(2, 0, 2)",551.0290492293507,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,20.82,25.1103792731479,5.011025770553161,0.24068327428209227,1,15.80897422944684
2024-07-09 16:00:00,19.29,17.63417325659564,"(1, 0, 2)",501.624001175251,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,19.29,2.741762204173081,1.6558267434043579,0.08583860774517149,1,17.63417325659564
2024-07-10 16:00:00,18.92,20.78853146024009,"(1, 0, 1)",489.69142107596593,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,18.92,3.491409817906958,1.8685314602400886,0.09875959092178058,0,0.0
2024-07-11 16:00:00,18.0,15.986343969769823,"(1, 0, 1)",500.2861195691436,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,18.0,4.054810608082354,2.0136560302301767,0.11186977945723203,1,15.986343969769823
2024-07-12 16:00:00,16.7,12.613566108045433,"(2, 0, 2)",560.4786711914323,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,16.7,16.698941953314947,4.086433891954567,0.2446966402368004,1,12.613566108045433
2024-07-13 16:00:00,15.01,10.497235507600283,"(2, 0, 2)",561.6682738711895,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,15.01,20.36504336386367,4.512764492399716,0.3006505324716667,1,10.497235507600283
2024-07-14 16:00:00,13.49,19.78012490375897,"(1, 0, 2)",500.6236935209899,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,13.49,39.565671304888795,6.29012490375897,0.4662805710718288,0,0.0
2024-07-15 16:00:00,17.84,17.36952024828433,"(1, 0, 2)",502.2504085464327,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,17.84,0.22135119677443704,0.47047975171566847,0.026372183392133885,1,17.36952024828433
2024-07-16 16:00:00,96.0,13.043198190921212,"(2, 0, 2)",562.1998362329543,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,96.0,6881.830966390777,82.95680180907878,0.864133352177904,1,13.043198190921212
2024-07-17 16:00:00,39.47,30.74981792822832,"(2, 0, 2)",560.0794837904532,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,39.47,76.04157536484819,8.720182071771678,0.22093189946216565,1,30.74981792822832
2024-07-18 16:00:00,25.56,54.92838872455656,"(2, 0, 0)",484.8181697935802,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,25.56,862.5022562766611,29.368388724556564,1.1489979939184884,0,0.0
2024-07-19 16:00:00,21.96,39.62903439604881,"(2, 0, 0)",547.6456127216408,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,21.96,312.19477648875585,17.669034396048808,0.8046008377071406,0,0.0
2024-07-20 16:00:00,17.07,13.721932981846203,"(2, 0, 0)",546.847685181448,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,17.07,11.209552758049258,3.348067018153797,0.1961374937407028,1,13.721932981846203
2024-07-21 16:00:00,14.86,18.30902483714208,"(2, 0, 0)",484.6000679682557,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,14.86,11.89577232722295,3.4490248371420797,0.232101267640786,0,0.0
2024-07-22 16:00:00,17.1,11.538760582724787,"(2, 0, 2)",560.583947181028,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,17.1,30.927383856255563,5.561239417275214,0.3252186793728195,1,11.538760582724787
2024-07-23 16:00:00,17.53,14.51515269143878,"(2, 0, 2)",563.0612766935667,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,17.53,9.089304293938836,3.0148473085612206,0.1719821624963617,1,14.51515269143878
2024-07-24 16:00:00,14.98,14.78923569020258,"(2, 0, 2)",558.4820353107128,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,14.98,0.03639102189248649,0.1907643097974212,0.012734600119988063,1,14.78923569020258
2024-07-25 16:00:00,16.87,16.25501028360084,"(2, 0, 2)",558.0367566615129,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,16.87,0.3782123512767214,0.6149897163991618,0.03645463641963022,1,16.25501028360084
2024-07-26 16:00:00,15.69,13.706631105364362,"(2, 0, 2)",555.4910140123272,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,15.69,3.933752172208189,1.9833688946356371,0.12640974471865118,1,13.706631105364362
