DATE,ACTUAL_VALUE,D+1,ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01,4.94,6.138577221592704,"(1, 0, 2)",89.99930312825069,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.94,1.4365873561208846,1.1985772215927035,0.24262696793374564,0,0.0
2024-07-02,4.73,4.2824002615484655,"(2, 0, 2)",89.34987271307286,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.73,0.20034552586188245,0.4475997384515349,0.09462996584599045,1,4.2824002615484655
2024-07-03,4.21,4.573788649876333,"(1, 0, 0)",88.33011067624354,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.21,0.13234218177884502,0.36378864987633275,0.08641060567133795,0,0.0
2024-07-04,6.2,4.013554322163989,"(2, 0, 2)",84.53373809386409,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,6.2,4.7805447021277745,2.1864456778360113,0.3526525286832276,1,4.013554322163989
2024-07-05,5.8,5.095761805242751,"(0, 0, 2)",85.03765581530871,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,5.8,0.49595143495494853,0.7042381947572487,0.1214203784064222,1,5.095761805242751
2024-07-06,5.08,5.888409941886309,"(2, 0, 2)",83.5536271675901,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,5.08,0.653526634140625,0.8084099418863087,0.1591358153319505,0,0.0
2024-07-07,7.74,18.87855631064529,"(2, 0, 2)",78.95472398631122,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,7.74,124.06743668541603,11.13855631064529,1.4390899626156706,0,0.0
2024-07-08,6.51,4.197710120505791,"(2, 0, 2)",81.33121479259027,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,6.51,5.346684486811343,2.312289879494209,0.355190457679602,1,4.197710120505791
2024-07-09,4.6,4.635743052663379,"(0, 0, 2)",80.39457638189407,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.6,0.0012775658136971214,0.035743052663379515,0.007770228839865113,0,0.0
2024-07-10,5.34,3.481015494091019,"(2, 0, 0)",78.45618304218036,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,5.34,3.455823393209658,1.858984505908981,0.34812443930879794,1,3.481015494091019
2024-07-11,4.34,4.086838329100998,"(1, 0, 0)",78.03975617500956,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.34,0.06409083161237442,0.25316167089900166,0.05833218223479301,1,4.086838329100998
2024-07-12,3.79,4.212011290924333,"(0, 0, 2)",74.14876293413838,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.79,0.178093529667622,0.422011290924333,0.11134862557370263,0,0.0
2024-07-13,4.42,3.3504749953276987,"(0, 0, 2)",74.32841871267095,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.42,1.1438837356192861,1.0695250046723013,0.24197398295753422,1,3.3504749953276987
2024-07-14,4.76,8.096944449507852,"(1, 0, 0)",73.81289680077204,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.76,11.135198259101262,3.336944449507852,0.7010387498966076,0,0.0
2024-07-15,3.99,3.776527799588633,"(2, 0, 2)",72.73748947605173,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.99,0.045570380348471,0.21347220041136739,0.053501804614377785,1,3.776527799588633
2024-07-16,4.78,3.4791418838959367,"(0, 0, 2)",71.85823544774341,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.78,1.6922318382338133,1.3008581161040635,0.27214604939415554,1,3.4791418838959367
2024-07-17,4.73,3.8086783495009313,"(1, 0, 0)",67.2912028695693,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.73,0.8488335836783288,0.9213216504990691,0.19478258995751987,1,3.8086783495009313
2024-07-18,3.99,4.063402090562936,"(1, 0, 0)",66.0763081619146,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.99,0.005387866899009394,0.07340209056293556,0.01839651392554776,0,0.0
2024-07-19,3.7,4.57818216443789,"(1, 0, 0)",65.1307464834434,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.7,0.7712039139368169,0.8781821644378898,0.2373465309291594,0,0.0
2024-07-20,3.82,3.151445708782854,"(1, 0, 0)",64.92523666900212,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.82,0.4469648403048602,0.6685542912171458,0.17501421236050937,1,3.151445708782854
2024-07-21,4.3,3.585385612980557,"(1, 0, 0)",63.42904809908086,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.3,0.5106737221351739,0.7146143870194428,0.166189392330103,1,3.585385612980557
2024-07-22,3.88,2.808536367904069,"(0, 0, 1)",63.07025843228944,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.88,1.148034314904204,1.0714636320959308,0.27615042064328116,1,2.808536367904069
2024-07-23,3.61,3.61645457003005,"(1, 0, 0)",62.32156104626511,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.61,4.1661474272819795e-05,0.006454570030050011,0.0017879695374099754,0,0.0
2024-07-24,3.35,3.4950471640300007,"(1, 0, 0)",62.12854317478877,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.35,0.021038679793145904,0.14504716403000062,0.04329766090447779,0,0.0
2024-07-25,3.21,3.355911796219341,"(1, 0, 0)",61.8955874134789,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.21,0.0212902522759545,0.14591179621934103,0.04545538823032431,0,0.0
2024-07-26,3.0,3.118089744698626,"(1, 0, 0)",61.20627133754864,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.0,0.013945187802986717,0.11808974469862621,0.0393632482328754,0,0.0
2024-07-27,3.07,3.461404532049396,"(1, 0, 0)",61.29096521546944,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.07,0.1531975077088068,0.3914045320493962,0.12749333291511278,0,0.0
2024-07-28,4.41,9.527135462555709,"(1, 0, 0)",61.00977191732407,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,4.41,26.185075342145225,5.117135462555709,1.160348177450274,0,0.0
2024-07-29,3.55,6.388223769861924,"(1, 0, 0)",65.63641527401037,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.55,8.055514167809235,2.8382237698619246,0.7994996534822323,0,0.0
2024-07-30,3.1,2.2860527467496747,"(0, 0, 2)",64.36572273314711,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,3.1,0.6625101310737492,0.8139472532503254,0.2625636300807501,1,2.2860527467496747
2024-07-31,2.82,3.001567955984372,"(0, 0, 2)",64.81009011624118,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,2.82,0.03296692264034298,0.18156795598437236,0.06438579999445829,0,0.0
2024-08-01,2.5,2.840918480642981,"(0, 0, 2)",64.60303611478687,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,2.5,0.11622541044391847,0.3409184806429808,0.13636739225719233,0,0.0
