DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01,4.94,5.725241492300021,4.94,0.6166042012295629,0.7852414923000204,0.1589557676720689,0,0.0
2024-07-02,4.73,5.165514730438418,4.73,0.18967308042884765,0.4355147304384177,0.09207499586435891,0,0.0
2024-07-03,4.21,4.956900135503096,4.21,0.5578598124145431,0.746900135503096,0.17741095855180428,0,0.0
2024-07-04,6.2,5.167595091643243,6.2,1.0658598947991247,1.0324049083567575,0.16651692070270283,1,5.167595091643243
2024-07-05,5.8,5.732312936611328,5.8,0.004581538550182031,0.06768706338867148,0.011670183342874393,1,5.732312936611328
2024-07-06,5.08,5.55318997077254,5.08,0.22390874843971748,0.4731899707725402,0.09314763204183862,0,0.0
2024-07-07,7.74,5.353900639494377,7.74,5.693470158205344,2.3860993605056233,0.3082815711247575,1,5.353900639494377
2024-07-08,6.51,6.667859212788495,6.51,0.02491953106220349,0.15785921278849546,0.024248727002841086,0,0.0
2024-07-09,4.6,6.154721648456029,4.6,2.4171594041778324,1.5547216484560291,0.33798296705565856,0,0.0
2024-07-10,5.34,4.792163226804083,5.34,0.3001251300657149,0.5478367731959173,0.102591156029198,1,4.792163226804083
2024-07-11,4.34,5.243544132842778,4.34,0.8163919999946073,0.9035441328427778,0.20818989236008706,0,0.0
2024-07-12,3.79,4.650190203130327,3.79,0.7399271855613933,0.860190203130327,0.22696311428240817,0,0.0
2024-07-13,4.42,4.123097079767094,4.42,0.0881513440428274,0.2969029202329061,0.06717260638753532,1,4.123097079767094
2024-07-14,4.76,4.803743935634677,4.76,0.0019135319048107972,0.04374393563467738,0.009189902444259953,0,0.0
2024-07-15,3.99,4.718642765172268,3.99,0.5309202792378882,0.7286427651722676,0.18261723437901442,0,0.0
2024-07-16,4.78,4.0871511262050735,4.78,0.48003956191889835,0.6928488737949268,0.14494746313701395,1,4.0871511262050735
2024-07-17,4.73,4.646742737638602,4.73,0.006931771735914673,0.08325726236139808,0.017601958215940395,1,4.646742737638602
2024-07-18,3.99,4.592824405690322,3.99,0.3633972640958892,0.6028244056903214,0.1510838109499552,0,0.0
2024-07-19,3.7,4.073424622837249,3.7,0.13944594894114123,0.3734246228372484,0.10092557373979687,0,0.0
2024-07-20,3.82,3.911149519855456,3.82,0.008308234969880196,0.09114951985545616,0.023861130852213655,0,0.0
