DATE,ACTUAL_VALUE,D+1,MARGINAL_PRICE,RMSE_COMPONENT,MAE,MAPE,ACCEPTANCE,REVENUE
2024-07-01 16:00:00,18.08,22.490463,18.08,19.452183874369002,4.410463,0.24394153761061949,0,0.0
2024-07-02 16:00:00,14.75,18.837595,14.75,16.708432884025,4.087595,0.27712508474576275,0,0.0
2024-07-03 16:00:00,12.46,13.102765,12.46,0.4131468452249986,0.6427649999999989,0.051586276083467004,0,0.0
2024-07-04 16:00:00,29.4,24.99892,29.4,19.369505166400003,4.40108,0.1496965986394558,1,24.99892
2024-07-05 16:00:00,24.73,40.346813,24.73,243.8848482769689,15.616812999999997,0.6314926405175898,0,0.0
2024-07-06 16:00:00,38.32,36.028385,38.32,5.251499308225001,2.291615,0.05980206158663884,1,36.028385
2024-07-07 16:00:00,30.9,28.780523,30.9,4.492182753528999,2.119477,0.06859148867313916,1,28.780523
2024-07-08 16:00:00,19.98,22.074852,19.98,4.388404901903998,2.0948519999999995,0.10484744744744742,0,0.0
2024-07-09 16:00:00,17.85,19.385983,17.85,2.359243776288994,1.535982999999998,0.08604946778711474,0,0.0
2024-07-10 16:00:00,13.87,16.947357,13.87,9.470126105449006,3.077357000000001,0.22187144917087248,0,0.0
2024-07-11 16:00:00,12.49,17.942799,12.49,29.733016934401007,5.452799000000001,0.4365731785428343,0,0.0
2024-07-12 16:00:00,10.6,14.457481,10.6,14.880159665360999,3.857481,0.36391330188679244,0,0.0
2024-07-13 16:00:00,24.5,29.776089,24.5,27.83711513592099,5.276088999999999,0.2153505714285714,0,0.0
2024-07-14 16:00:00,26.0,32.382607,26.0,40.737672116449005,6.382607,0.24548488461538462,0,0.0
2024-07-15 16:00:00,17.43,20.6822,17.43,10.576804840000014,3.252200000000002,0.18658634538152621,0,0.0
2024-07-16 16:00:00,80.35,25.726974,80.35,2983.6749693966754,54.623025999999996,0.6798136403235843,1,25.726974
2024-07-17 16:00:00,31.7,36.75936,31.7,25.597123609600015,5.059360000000002,0.15960126182965306,0,0.0
2024-07-18 16:00:00,20.29,21.804049,20.29,2.292344374401,1.514049,0.07462045342533268,0,0.0
2024-07-19 16:00:00,15.94,17.742935,15.94,3.250574614224999,1.8029349999999997,0.11310759096612295,0,0.0
2024-07-20 16:00:00,20.88,21.245022,20.88,0.1332410604839998,0.36502199999999974,0.017481896551724125,0,0.0
2024-07-21 16:00:00,19.45,18.980335,19.45,0.22058521222499916,0.4696649999999991,0.02414730077120818,1,18.980335
2024-07-22 16:00:00,14.84,22.323963,14.84,56.00970218536899,7.483962999999999,0.5043101752021563,0,0.0
2024-07-23 16:00:00,13.37,21.759628,13.37,70.385857978384,8.389628,0.6274964846671653,0,0.0
2024-07-24 16:00:00,18.67,22.833872,18.67,17.33783003238398,4.163871999999998,0.22302474558114607,0,0.0
2024-07-25 16:00:00,13.51,18.022196,13.51,20.35991274241601,4.512196000000001,0.33398934122871954,0,0.0
2024-07-26 16:00:00,11.53,13.537207,11.53,4.028879940849004,2.007207000000001,0.17408560277536872,0,0.0
2024-07-27 16:00:00,11.57,11.862705,11.57,0.08567621702499986,0.29270499999999977,0.025298617113223835,0,0.0
2024-07-28 16:00:00,26.7,20.690523,26.7,36.113813813529006,6.009477,0.22507404494382025,1,20.690523
2024-07-29 16:00:00,18.43,19.41667,18.43,0.9735176889000003,0.9866700000000002,0.053536082474226816,0,0.0
2024-07-30 16:00:00,15.25,18.833065,15.25,12.83835479422501,3.5830650000000013,0.2349550819672132,0,0.0
2024-07-31 16:00:00,13.06,15.440816,13.06,5.668284825855997,2.3808159999999994,0.18229831546707498,0,0.0
2024-08-01 16:00:00,10.61,11.554194,10.61,0.8915023096360025,0.9441940000000013,0.08899095193213961,0,0.0
2024-08-02 16:00:00,9.33,10.639362,9.33,1.7144288470440003,1.3093620000000001,0.1403389067524116,0,0.0
2024-08-03 16:00:00,18.9,12.10698,18.9,46.14512072039998,6.7930199999999985,0.3594190476190476,1,12.10698
2024-08-04 16:00:00,35.1,25.891975,35.1,84.78772440062505,9.208025000000003,0.26233689458689463,1,25.891975
2024-08-05 16:00:00,18.42,22.468323,18.42,16.388919112329,4.048323,0.219778664495114,0,0.0
2024-08-06 16:00:00,15.67,17.396389,15.67,2.9804189793209974,1.7263889999999993,0.11017160178685381,0,0.0
2024-08-07 16:00:00,13.4,13.760298,13.4,0.12981464880400018,0.36029800000000023,0.02688791044776121,0,0.0
2024-08-08 16:00:00,12.39,11.901791,12.39,0.2383480276810012,0.4882090000000012,0.039403470540758774,1,11.901791
2024-08-09 16:00:00,26.13,19.19862,26.13,48.04402870440001,6.931380000000001,0.2652652123995408,1,19.19862
2024-08-10 16:00:00,30.6,34.07328,30.6,12.063673958399969,3.4732799999999955,0.11350588235294103,0,0.0
2024-08-11 16:00:00,29.82,34.714825,29.82,23.959311780624972,4.894824999999997,0.1641457075788061,0,0.0
2024-08-12 16:00:00,19.38,24.132969,19.38,22.590714314961,4.752969,0.2452512383900929,0,0.0
2024-08-13 16:00:00,17.63,17.987923,17.63,0.12810887392899967,0.35792299999999955,0.020301928530913192,0,0.0
2024-08-14 16:00:00,14.6,15.141103,14.6,0.29279245660899966,0.5411029999999997,0.03706184931506847,0,0.0
2024-08-15 16:00:00,14.06,16.841202,14.06,7.7350845648039925,2.7812019999999986,0.19780953058321468,0,0.0
2024-08-16 16:00:00,13.38,13.314374,13.38,0.004306771875999995,0.06562599999999996,0.004904783258594915,1,13.314374
2024-08-17 16:00:00,16.78,12.333054,16.78,19.775328726916005,4.4469460000000005,0.26501466030989274,1,12.333054
2024-08-18 16:00:00,18.91,17.001637,18.91,3.641849339769005,1.9083630000000014,0.10091819143310425,1,17.001637
2024-08-19 16:00:00,14.77,15.132077,14.77,0.13109975392900078,0.3620770000000011,0.02451435341909283,0,0.0
2024-08-20 16:00:00,13.95,14.777701,13.95,0.6850889454010018,0.8277010000000011,0.05933340501792123,0,0.0
2024-08-21 16:00:00,33.23,21.794064,33.23,130.78063219609595,11.435935999999998,0.34414492928077034,1,21.794064
2024-08-22 16:00:00,26.93,31.40965,26.93,20.067264122499996,4.4796499999999995,0.16634422577051614,0,0.0
2024-08-23 16:00:00,32.82,31.132063,32.82,2.8491313159690055,1.6879370000000016,0.051430134064594804,1,31.132063
2024-08-24 16:00:00,31.03,35.11457,31.03,16.683712084899994,4.084569999999999,0.13163293586851432,0,0.0
2024-08-25 16:00:00,27.92,29.46559,27.92,2.388848448099991,1.5455899999999971,0.05535780802292253,0,0.0
2024-08-26 16:00:00,19.08,20.338726,19.08,1.5843911430760074,1.258726000000003,0.06597096436058716,0,0.0
2024-08-27 16:00:00,16.6,17.903828,16.6,1.6999674535839981,1.3038279999999993,0.0785438554216867,0,0.0
2024-08-28 16:00:00,15.08,24.140022,15.08,82.08399864048397,9.060021999999998,0.6007972148541113,0,0.0
2024-08-29 16:00:00,16.0,18.808826,16.0,7.889503498275999,2.808826,0.175551625,0,0.0
2024-08-30 16:00:00,12.5,15.75882,12.5,10.619907792400001,3.25882,0.2607056,0,0.0
2024-08-31 16:00:00,19.03,20.1262,19.03,1.201654439999999,1.0961999999999996,0.057603783499737236,0,0.0
2024-09-01 16:00:00,23.32,27.13574,23.32,14.559871747599987,3.815739999999998,0.1636252144082332,0,0.0
2024-09-02 16:00:00,15.2,17.096695,15.2,3.5974519230250044,1.8966950000000011,0.12478256578947376,0,0.0
2024-09-03 16:00:00,12.21,12.810158,12.21,0.36018962496399837,0.6001579999999986,0.049152989352989236,0,0.0
2024-09-04 16:00:00,11.44,11.554194,11.44,0.013040269636000282,0.11419400000000124,0.009981993006993116,0,0.0
2024-09-05 16:00:00,22.75,20.789268,22.75,3.8444699758240004,1.9607320000000001,0.08618602197802198,1,20.789268
2024-09-06 16:00:00,16.43,21.575768,16.43,26.478928309824003,5.145768,0.31319342665855143,0,0.0
2024-09-07 16:00:00,17.49,18.3699,17.49,0.774224010000005,0.8799000000000028,0.05030874785591783,0,0.0
2024-09-08 16:00:00,17.37,15.5424795,17.37,3.339831177920251,1.8275205000000003,0.10521131260794475,1,15.5424795
2024-09-09 16:00:00,13.23,18.297636,13.23,25.680934628496004,5.067636,0.38304126984126985,0,0.0
2024-09-10 16:00:00,22.09,20.308277,22.09,3.1745368487289984,1.7817229999999995,0.08065744680851061,1,20.308277
2024-09-11 16:00:00,19.72,18.7659,19.72,0.9103068100000008,0.9541000000000004,0.048382352941176494,1,18.7659
2024-09-12 16:00:00,12.51,15.583789,12.51,9.448178816520999,3.0737889999999997,0.24570655475619502,0,0.0
2024-09-13 16:00:00,15.06,14.818632,15.06,0.05825851142400065,0.24136800000000136,0.016027091633466224,1,14.818632
2024-09-14 16:00:00,18.17,16.747997,18.17,2.022092532009,1.4220030000000001,0.07826103467253714,1,16.747997
2024-09-15 16:00:00,18.3,18.78818,18.3,0.23831971239999983,0.48817999999999984,0.026676502732240426,0,0.0
2024-09-16 16:00:00,12.9,21.802864,12.9,79.26098740249599,8.902864,0.690144496124031,0,0.0
2024-09-17 16:00:00,15.57,16.876978,15.57,1.7081914924840023,1.3069780000000009,0.08394206807964039,0,0.0
2024-09-18 16:00:00,15.94,16.969677,15.94,1.0602347243290027,1.0296770000000013,0.064597051442911,0,0.0
2024-09-19 16:00:00,16.52,16.829227,16.52,0.09562133752899996,0.3092269999999999,0.01871834140435835,0,0.0
2024-09-20 16:00:00,15.25,18.8622,15.25,13.047988840000011,3.6122000000000014,0.2368655737704919,0,0.0
2024-09-21 16:00:00,18.23,15.918489,18.23,5.343083103121006,2.311511000000001,0.1267970927043336,1,15.918489
2024-09-22 16:00:00,16.66,14.572114,16.66,4.3592679489960044,2.087886000000001,0.12532328931572634,1,14.572114
2024-09-23 16:00:00,11.92,14.314737,11.92,5.734765299168997,2.3947369999999992,0.20090075503355698,0,0.0
2024-09-24 16:00:00,10.03,13.564123,10.03,12.490025379129007,3.534123000000001,0.3523552342971088,0,0.0
2024-09-25 16:00:00,9.1,10.851383,9.1,3.067342412689002,1.7513830000000006,0.1924596703296704,0,0.0
