DATE,ACTUAL_VALUE,D+1,ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS
2023-12-01,8.77,10.181236409050715,"(2, 0, 2)",165.60149423519965,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-02,8.9,9.449299833393093,"(2, 0, 2)",165.2247184554148,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-03,8.2,9.07844975049499,"(2, 0, 2)",165.21212613592687,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-04,8.55,8.595395180431838,"(2, 0, 2)",165.52801785387072,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-05,9.39,8.947814425395517,"(2, 0, 2)",165.1730549048099,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-06,8.74,9.522165019012773,"(2, 0, 1)",165.92675769211962,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-07,7.61,8.598143927765808,"(2, 0, 1)",165.75873392718438,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-08,8.96,7.731492189059108,"(2, 0, 2)",164.8054544456654,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-09,8.85,9.054456226307735,"(2, 0, 2)",164.84679104933622,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-10,31.92,9.572499191984166,"(2, 0, 1)",165.32596028632264,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-11,25.41,27.03886797484087,"(2, 0, 2)",180.06476170967926,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-12,15.38,18.179227612121096,"(2, 0, 2)",179.5729947377033,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-13,13.48,14.301628481095005,"(2, 0, 2)",179.76608744976525,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-14,10.75,12.872552329036022,"(2, 0, 2)",179.4004999413179,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-15,9.12,10.88766503915133,"(2, 0, 1)",180.55507469266297,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-16,9.27,9.99548863156178,"(2, 0, 1)",180.57936013869133,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-17,25.89,11.700531799857647,"(2, 0, 2)",178.8695987000234,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-18,24.42,19.017478458622616,"(2, 0, 1)",186.69213502459638,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-19,21.12,23.125600479632787,"(2, 0, 2)",185.38107310507536,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-20,19.22,20.722820053497532,"(2, 0, 2)",185.4325944118649,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-21,24.19,18.386853688713543,"(2, 0, 2)",184.58555900210115,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-22,32.96,25.623704461736544,"(2, 0, 2)",185.34506250819805,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-23,36.07,38.46054066301908,"(2, 0, 2)",185.9918854385303,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-24,33.49,27.253773073540774,"(2, 0, 2)",187.30622507121439,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-25,31.81,28.915515168529527,"(2, 0, 2)",183.82186102104902,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-26,28.48,29.10796630833111,"(2, 0, 2)",184.0852491767327,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-27,18.61,29.551486817552696,"(2, 0, 2)",183.94363016063284,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-28,27.25,19.530159050574653,"(2, 0, 2)",184.36529849377564,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-29,29.33,27.569413070763876,"(2, 0, 2)",184.12808858784172,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-30,26.86,25.34801303564988,"(2, 0, 2)",183.51499831607393,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-31,20.32,24.66882917525357,"(2, 0, 2)",183.45082657673947,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-01,21.33,20.96297811164162,"(2, 0, 2)",183.80671143217467,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-02,18.1,19.53681829276652,"(2, 0, 2)",183.8435341025918,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-03,24.16,18.36493593977721,"(2, 0, 2)",183.71999693289808,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-04,20.93,28.95172692982455,"(2, 0, 2)",183.7991934907515,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-05,16.43,15.994996052765341,"(2, 0, 2)",184.8956943385373,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-06,14.13,16.0056629370678,"(2, 0, 2)",183.82922276615506,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-07,13.22,13.453180681030277,"(2, 0, 2)",183.20122509457374,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-08,10.77,13.230817543586296,"(2, 0, 2)",182.63812503137487,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-09,9.06,10.636414752958023,"(2, 0, 2)",182.54130504624442,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-10,7.33,9.419075654854758,"(2, 0, 2)",181.19516234922025,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-11,6.09,7.72414984023095,"(2, 0, 1)",182.0426293913684,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-12,5.21,6.479144848099056,"(2, 0, 2)",182.00731325878064,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-13,5.3,6.242945627401391,"(2, 0, 1)",181.77930355243507,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-14,9.44,5.450378537305617,"(2, 0, 2)",180.12239240161983,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-15,11.01,9.353791915432694,"(2, 0, 1)",180.5415462610625,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2024-01-16,8.21,9.991257969250281,"(2, 0, 2)",179.2288287487745,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
