DATE,ACTUAL_VALUE,D+1,ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS
2023-12-01 16:00:00,2.5,3.9699684330234417,"(1, 0, 2)",544.9272158395265,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-02 16:00:00,2.64,2.6746854841257757,"(2, 0, 2)",545.5187719768999,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-03 16:00:00,2.21,3.70752007355325,"(2, 0, 2)",544.3303147343584,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-04 16:00:00,1.89,3.6590741624655005,"(2, 0, 2)",543.8077455846767,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-05 16:00:00,1.54,2.4284015242318246,"(2, 0, 2)",545.8005196724766,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-06 16:00:00,2.66,1.8374251592156763,"(2, 0, 2)",546.4804469343311,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-07 16:00:00,2.4,2.563669024534968,"(1, 0, 2)",547.817493286926,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-08 16:00:00,1.97,2.1775199659508098,"(1, 0, 2)",547.7773144687953,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-09 16:00:00,5.1,3.7984515191367345,"(1, 0, 2)",547.7869618755867,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-10 16:00:00,4.05,5.258809867293964,"(1, 0, 2)",547.9815729168903,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-11 16:00:00,3.39,2.733925619497173,"(1, 0, 2)",547.7609093461377,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-12 16:00:00,2.92,2.608314203239691,"(1, 0, 2)",547.9398643982702,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-13 16:00:00,2.43,2.7862957931666785,"(2, 0, 2)",546.7126927884397,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
