DATE,ACTUAL_VALUE,D+1,ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS
2023-12-01 08:00:00,27.14,16.501667651990637,"(1, 0, 2)",14.412329085778751,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-02 08:00:00,18.76,25.596195603132376,"(1, 0, 2)",18.385858809993643,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-03 08:00:00,14.42,16.41698213561367,"(1, 0, 2)",19.860277219579658,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-04 08:00:00,14.31,15.071013909598427,"(1, 0, 2)",19.869478158158714,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-05 08:00:00,13.89,14.46833751648561,"(1, 0, 2)",19.90419109021695,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-06 08:00:00,23.68,14.258267312212551,"(1, 0, 2)",21.95047793024269,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-07 08:00:00,23.93,24.156471739380404,"(1, 0, 2)",23.26055911077381,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-08 08:00:00,19.77,19.909802553788982,"(1, 0, 2)",22.83946403558225,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-09 08:00:00,15.84,18.893524651525997,"(2, 0, 2)",21.629326398087507,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-10 08:00:00,13.54,15.142365647595083,"(1, 0, 2)",19.793128743646584,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-11 08:00:00,14.34,14.841368481898936,"(1, 0, 2)",19.457306488193524,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-12 08:00:00,15.91,15.103238855437093,"(2, 0, 2)",8.228613592912794,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-13 08:00:00,16.03,15.377243046322988,"(1, 0, 2)",-4.873615291743739,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-14 08:00:00,15.86,16.39774088164872,"(2, 0, 2)",-3.7748469236371136,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-15 08:00:00,15.56,14.917774707215845,"(1, 0, 2)",-5.222542716135592,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-16 08:00:00,13.79,14.554538780282172,"(1, 0, 2)",-9.277083245402245,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-17 08:00:00,12.54,13.231692566898909,"(1, 0, 2)",-9.793458234300665,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-18 08:00:00,12.27,12.881088642356225,"(2, 0, 2)",-7.392406981912217,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-19 08:00:00,12.14,12.506731212109695,"(1, 0, 2)",-9.597459002084342,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-20 08:00:00,12.3,11.619876107991894,"(2, 0, 2)",-7.544436513161344,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-21 08:00:00,11.21,11.931306463577126,"(1, 0, 2)",-9.958549305438162,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-22 08:00:00,10.13,10.939981242506905,"(1, 0, 2)",-9.936003638909199,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-23 08:00:00,9.07,10.314138688879433,"(2, 0, 2)",-5.764511773051147,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-24 08:00:00,8.14,8.659002435435195,"(1, 0, 2)",-9.67444514236707,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-25 08:00:00,7.65,8.332781518926327,"(1, 0, 2)",-9.963562844283096,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-26 08:00:00,7.31,7.787467448774235,"(1, 0, 2)",-9.88758462049907,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-27 08:00:00,10.87,8.3728716676192,"(1, 0, 2)",-12.072326302979867,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
2023-12-28 08:00:00,9.48,9.87649280159867,"(1, 0, 2)",-10.747428788729202,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], RES_SHARE",2,1_3
