DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC
2023-12-01 12:00:00,12.75,11.094503788162676,"(1, 0, 2)","(1, 0, 1, 7)",117.54502964354748
2023-12-02 12:00:00,10.73,11.350913463056411,"(1, 0, 0)","(1, 0, 1, 7)",119.16942348843592
2023-12-03 12:00:00,9.16,9.76072273834652,"(1, 0, 2)","(1, 0, 1, 7)",117.6308557704248
2023-12-04 12:00:00,9.12,9.717132508611865,"(1, 0, 2)","(1, 0, 1, 7)",117.55727451033897
2023-12-05 12:00:00,9.17,9.294084475304542,"(1, 0, 1)","(1, 0, 1, 7)",118.64945091495169
2023-12-06 12:00:00,17.19,9.133655231485992,"(1, 0, 1)","(1, 0, 1, 7)",118.77110566484475
2023-12-07 12:00:00,15.06,17.279072941698033,"(1, 0, 0)","(2, 0, 1, 7)",125.13947817922106
2023-12-08 12:00:00,11.64,13.612823708053746,"(3, 0, 0)","(1, 0, 1, 7)",123.12714837632642
2023-12-09 12:00:00,9.99,10.703180910123383,"(1, 0, 2)","(1, 0, 1, 7)",123.87046971870286
2023-12-10 12:00:00,8.66,9.738230425730947,"(2, 0, 2)","(1, 0, 1, 7)",124.22625294115588
2023-12-11 12:00:00,8.84,9.244176326697513,"(1, 0, 0)","(1, 0, 1, 7)",123.86185124887753
2023-12-12 12:00:00,9.33,8.678729160342575,"(1, 0, 0)","(1, 0, 0, 7)",133.78861076443428
2023-12-13 12:00:00,9.18,9.33327254598581,"(1, 0, 0)","(1, 0, 2, 7)",122.24318093920763
2023-12-14 12:00:00,9.02,9.287204681529712,"(1, 0, 2)","(2, 0, 1, 7)",122.21557846665682
2023-12-15 12:00:00,8.89,8.794634039514124,"(1, 0, 2)","(1, 0, 2, 7)",121.85513062333084
2023-12-16 12:00:00,7.92,8.001990798600326,"(1, 0, 2)","(1, 0, 1, 7)",120.12993554391501
2023-12-17 12:00:00,7.13,7.31756456468497,"(2, 0, 2)","(1, 0, 1, 7)",120.38930059580717
2023-12-18 12:00:00,7.4,7.595976347620014,"(2, 0, 2)","(1, 0, 1, 7)",120.38648333154411
2023-12-19 12:00:00,7.12,7.580283724131769,"(1, 0, 2)","(1, 0, 1, 7)",119.79586567411103
2023-12-20 12:00:00,6.67,7.169853997076231,"(1, 0, 2)","(1, 0, 1, 7)",119.90847896396258
2023-12-21 12:00:00,5.93,6.764261160698495,"(1, 0, 0)","(1, 0, 1, 7)",119.59947549295134
2023-12-22 12:00:00,5.32,5.885675584468011,"(2, 0, 2)","(1, 0, 1, 7)",120.91971543465233
2023-12-23 12:00:00,4.67,5.086187702737536,"(2, 0, 2)","(1, 0, 1, 7)",121.00603073974733
2023-12-24 12:00:00,4.68,4.797103562124292,"(3, 0, 1)","(0, 0, 0, 7)",128.65376568556758
2023-12-25 12:00:00,4.68,5.0024846205557285,"(1, 0, 2)","(1, 0, 2, 7)",122.41707696048537
2023-12-26 12:00:00,4.74,4.603925159682705,"(1, 0, 0)","(1, 0, 0, 7)",132.38730040141553
2023-12-27 12:00:00,5.33,4.770544476419543,"(2, 0, 2)","(1, 0, 1, 7)",120.369957688525
2023-12-28 12:00:00,5.06,5.377889671546011,"(1, 0, 2)","(1, 0, 1, 7)",119.54571940920763
2023-12-29 12:00:00,4.6,4.957020296375375,"(3, 0, 1)","(0, 0, 0, 7)",128.220315535934
2023-12-30 12:00:00,4.54,4.398588271507909,"(2, 0, 2)","(1, 0, 1, 7)",120.426129604551
2023-12-31 12:00:00,4.3,4.259734001356309,"(1, 0, 1)","(1, 0, 1, 7)",121.04249471374784
2024-01-01 12:00:00,4.12,4.532248956383828,"(1, 0, 2)","(2, 0, 1, 7)",122.21922767027502
2024-01-02 12:00:00,4.61,4.179336928891849,"(1, 0, 2)","(1, 0, 1, 7)",117.73790873534881
2024-01-03 12:00:00,4.55,4.650067536511421,"(1, 0, 1)","(1, 0, 1, 7)",118.8843803596888
2024-01-04 12:00:00,4.48,4.617628889754552,"(1, 0, 1)","(1, 0, 1, 7)",118.94178077056274
2024-01-05 12:00:00,4.39,4.42521615704757,"(1, 0, 2)","(1, 0, 1, 7)",117.97039329077184
2024-01-06 12:00:00,4.14,4.327308027856715,"(2, 0, 2)","(2, 0, 1, 7)",121.0941977223597
2024-01-07 12:00:00,3.73,4.116553979243669,"(3, 0, 1)","(0, 0, 0, 7)",124.53683969155655
2024-01-08 12:00:00,3.63,3.9145428111735643,"(3, 0, 1)","(1, 0, 1, 7)",120.06659308629396
2024-01-09 12:00:00,3.94,3.684683775719708,"(2, 0, 2)","(1, 0, 1, 7)",117.84447082425379
2024-01-10 12:00:00,4.68,3.889967417737492,"(1, 0, 0)","(1, 0, 0, 7)",127.64889467940318
2024-01-11 12:00:00,7.02,4.594331864102403,"(1, 0, 2)","(1, 0, 1, 7)",117.29397828590936
2024-01-12 12:00:00,5.24,6.823163485754495,"(1, 0, 2)","(1, 0, 1, 7)",118.42363203918796
2024-01-13 12:00:00,4.08,4.861981901860964,"(1, 0, 2)","(1, 0, 1, 7)",119.11995649300638
2024-01-14 12:00:00,3.3,4.1440379560614815,"(1, 0, 2)","(1, 0, 1, 7)",118.6299391450894
2024-01-15 12:00:00,3.49,3.22973446259997,"(2, 0, 0)","(1, 0, 1, 7)",121.18435313206352
2024-01-16 12:00:00,3.71,3.473723682072173,"(1, 0, 0)","(1, 0, 0, 7)",129.19927400086624
2024-01-17 12:00:00,4.29,3.7147647484467665,"(1, 0, 0)","(1, 0, 1, 7)",118.67478293505222
