DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC
2023-12-01,8.77,9.708747975384519,"(1, 0, 0)","(0, 0, 0, 7)",87.9660383530728
2023-12-02,8.9,8.613420769988661,"(1, 0, 0)","(0, 0, 0, 7)",88.03400167695351
2023-12-03,8.2,8.744061036474315,"(1, 0, 0)","(0, 0, 0, 7)",87.90691511424318
2023-12-04,8.55,8.059148606705316,"(1, 0, 0)","(0, 0, 0, 7)",87.82439751744576
2023-12-05,9.39,8.404943254938116,"(1, 0, 0)","(0, 0, 0, 7)",87.58671812736777
2023-12-06,8.74,9.235085849571767,"(1, 0, 0)","(0, 0, 0, 7)",87.45149317226019
2023-12-07,7.61,8.600159015388872,"(1, 0, 0)","(0, 0, 0, 7)",87.35821911413467
2023-12-08,8.96,7.491437372959217,"(1, 0, 0)","(0, 0, 0, 7)",87.24895170827487
2023-12-09,8.85,8.817362987321076,"(1, 0, 0)","(0, 0, 0, 7)",85.42089453931561
2023-12-10,31.92,8.705978773448528,"(1, 0, 0)","(0, 0, 0, 7)",83.03426017296589
2023-12-11,25.41,31.210835596528344,"(1, 0, 0)","(0, 0, 0, 7)",91.69645854459083
2023-12-12,15.38,24.918244917516883,"(1, 0, 0)","(0, 0, 0, 7)",75.26217057553228
2023-12-13,13.48,15.025344568129245,"(1, 0, 0)","(0, 0, 0, 7)",75.58069287749551
2023-12-14,10.75,13.948494051942145,"(1, 0, 1)","(0, 0, 0, 7)",75.6415347329577
2023-12-15,9.12,11.141183347867322,"(1, 0, 1)","(0, 0, 0, 7)",75.05163767386216
2023-12-16,9.27,9.303515645515539,"(1, 0, 1)","(0, 0, 0, 7)",75.4050580621478
2023-12-17,25.89,9.16346547030192,"(1, 0, 1)","(0, 0, 0, 7)",75.2998091598663
2023-12-18,24.42,9.603254726458417,"(0, 0, 2)","(0, 0, 0, 7)",79.37483990110535
2023-12-19,21.12,8.226781091155887,"(0, 0, 2)","(0, 0, 0, 7)",76.57038437089385
2023-12-20,19.22,21.12130002292786,"(1, 0, 1)","(0, 0, 0, 7)",75.78369190092369
2023-12-21,24.19,19.469600353490293,"(1, 0, 1)","(0, 0, 0, 7)",75.74772409588785
2023-12-22,32.96,23.483825164206007,"(1, 0, 0)","(0, 0, 0, 7)",75.89160226612222
2023-12-23,36.07,31.101217172581254,"(1, 0, 0)","(0, 0, 0, 7)",77.79276940003608
2023-12-24,33.49,31.721207399194792,"(1, 0, 0)","(0, 0, 0, 7)",79.07976166705052
2023-12-25,31.81,32.37326448090144,"(1, 0, 0)","(0, 0, 0, 7)",80.01263662956973
2023-12-26,28.48,31.08462430535464,"(1, 0, 0)","(0, 0, 0, 7)",80.25274400283425
2023-12-27,18.61,27.865997276331278,"(1, 0, 0)","(0, 0, 0, 7)",80.40503793404919
2023-12-28,27.25,18.158130016699772,"(1, 0, 0)","(0, 0, 0, 7)",80.60208174129251
2023-12-29,29.33,26.682962593272123,"(1, 0, 0)","(0, 0, 0, 7)",81.97487183120444
2023-12-30,26.86,28.767303150747424,"(1, 0, 0)","(0, 0, 0, 7)",82.31682183593209
2023-12-31,20.32,26.331017357605816,"(1, 0, 0)","(0, 0, 0, 7)",82.24407540087704
2024-01-01,21.33,19.893831182485453,"(1, 0, 0)","(0, 0, 0, 7)",82.01021978831591
2024-01-02,18.1,20.90886846609502,"(1, 0, 0)","(0, 0, 0, 7)",81.78227821737043
2024-01-03,24.16,17.70675993037112,"(1, 0, 0)","(0, 0, 0, 7)",80.44693998828895
2024-01-04,20.93,23.456281533726912,"(1, 0, 0)","(0, 0, 0, 7)",75.53872072023685
2024-01-05,16.43,20.352583570385203,"(1, 0, 0)","(0, 0, 0, 7)",75.14068493520698
2024-01-06,14.13,16.029763914646967,"(1, 0, 0)","(0, 0, 0, 7)",74.78701814721022
2024-01-07,13.22,13.734306269515264,"(1, 0, 0)","(0, 0, 0, 7)",74.26075839283928
2024-01-08,10.77,12.876821256183037,"(1, 0, 0)","(0, 0, 0, 7)",74.09486220388206
2024-01-09,9.06,10.516531331521309,"(1, 0, 0)","(0, 0, 0, 7)",74.66469706248431
2024-01-10,7.33,8.868255929309493,"(1, 0, 0)","(0, 0, 0, 7)",75.57264700955902
2024-01-11,6.09,7.155032783371471,"(1, 0, 0)","(0, 0, 0, 7)",74.90425064918058
2024-01-12,5.21,5.949611479499709,"(1, 0, 0)","(0, 0, 0, 7)",76.68826904196618
2024-01-13,5.3,5.109827098285533,"(1, 0, 0)","(0, 0, 0, 7)",77.56270799537769
2024-01-14,9.44,5.178784385592073,"(1, 0, 0)","(0, 0, 0, 7)",76.59285323577227
2024-01-15,11.01,9.17280111997658,"(1, 0, 0)","(0, 0, 0, 7)",77.01382866583293
2024-01-16,8.21,10.728358484536734,"(1, 0, 0)","(0, 0, 0, 7)",75.83391332315297
2024-01-17,7.11,8.03422197517442,"(1, 0, 0)","(0, 0, 0, 7)",76.3879255158653
