DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC
2023-12-01 04:00:00,14.86,10.728779139756089,"(1, 0, 0)","(1, 0, 0, 7)",65.83119696794097
2023-12-02 04:00:00,10.53,13.324120216403616,"(1, 0, 0)","(2, 0, 0, 7)",66.69013845541016
2023-12-03 04:00:00,9.34,8.360868582938034,"(1, 0, 0)","(1, 0, 1, 7)",66.92668477016224
2023-12-04 04:00:00,10.0,9.063872837032735,"(1, 0, 0)","(2, 0, 0, 7)",66.0968366456329
2023-12-05 04:00:00,8.92,9.471160274236581,"(1, 0, 0)","(1, 0, 0, 7)",66.10687105728567
2023-12-06 04:00:00,30.0,8.629869567418373,"(1, 0, 0)","(1, 0, 0, 7)",65.7500838613966
2023-12-07 04:00:00,14.9,29.490003249477912,"(1, 0, 0)","(0, 0, 0, 7)",77.67640954170703
2023-12-08 04:00:00,11.19,14.531919764712857,"(1, 0, 0)","(0, 0, 0, 7)",78.8544495519004
2023-12-09 04:00:00,9.9,10.396585882474625,"(1, 0, 0)","(1, 0, 0, 7)",78.88654470327087
2023-12-10 04:00:00,8.91,9.445803919958506,"(1, 0, 0)","(1, 0, 0, 7)",78.60357745497639
2023-12-11 04:00:00,13.28,8.681311818015375,"(1, 0, 0)","(1, 0, 0, 7)",76.40311439821222
2023-12-12 04:00:00,13.75,12.665032786874926,"(1, 0, 0)","(1, 0, 0, 7)",74.3171688199684
2023-12-13 04:00:00,11.78,17.09424215922766,"(1, 0, 0)","(0, 0, 1, 7)",69.87369227933323
2023-12-14 04:00:00,12.26,10.11032169333715,"(1, 0, 0)","(1, 0, 0, 7)",70.53794393258642
2023-12-15 04:00:00,11.64,11.36057439185689,"(1, 0, 0)","(1, 0, 0, 7)",70.42648507646705
2023-12-16 04:00:00,9.89,11.148305165646173,"(1, 0, 0)","(0, 0, 1, 7)",69.91645216754539
2023-12-17 04:00:00,9.24,9.495869685173927,"(1, 0, 0)","(0, 0, 1, 7)",69.95628762198564
2023-12-18 04:00:00,12.42,9.389696050092244,"(1, 0, 0)","(0, 0, 1, 7)",69.95319613050745
2023-12-19 04:00:00,10.52,11.988350031152413,"(1, 0, 0)","(0, 0, 1, 7)",69.92000654803445
2023-12-20 04:00:00,9.27,9.693087697739777,"(1, 0, 0)","(0, 0, 1, 7)",61.63365899999933
2023-12-21 04:00:00,8.23,9.085143507667214,"(1, 0, 0)","(0, 0, 1, 7)",53.9271407241925
2023-12-22 04:00:00,7.49,7.988855319002751,"(1, 0, 0)","(0, 0, 1, 7)",40.52231987671868
2023-12-23 04:00:00,7.33,7.1838920593642,"(1, 0, 0)","(0, 0, 1, 7)",39.02583158499924
2023-12-24 04:00:00,7.11,7.172350188182465,"(1, 0, 0)","(0, 0, 0, 7)",38.22021718432921
2023-12-25 04:00:00,6.88,6.959152340638657,"(1, 0, 0)","(0, 0, 0, 7)",38.31701195008871
2023-12-26 04:00:00,6.37,6.6765065033829964,"(1, 0, 0)","(0, 0, 0, 7)",33.44248465001354
2023-12-27 04:00:00,8.77,6.155014904938267,"(1, 0, 0)","(0, 0, 1, 7)",18.58425302082265
2023-12-28 04:00:00,6.81,8.395312553606084,"(1, 0, 0)","(0, 0, 1, 7)",-6.446442463151037
2023-12-29 04:00:00,6.26,6.576835662918538,"(1, 0, 0)","(0, 0, 1, 7)",-7.334943029612909
2023-12-30 04:00:00,5.66,6.188143520891817,"(1, 0, 0)","(0, 0, 1, 7)",-9.750036917356663
2023-12-31 04:00:00,5.42,5.56053973434466,"(1, 0, 0)","(0, 0, 1, 7)",-10.52603161270424
2024-01-01 04:00:00,5.01,5.264684876085875,"(1, 0, 0)","(0, 0, 1, 7)",-11.316585486416326
