DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS
2023-12-01 04:00:00,9.73,7.510538505650432,"(2, 0, 0)","(1, 0, 1, 7)",-202.35323849731003,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-02 04:00:00,9.32,8.873451051201249,"(1, 0, 1)","(1, 0, 1, 7)",-201.4473508929927,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-03 04:00:00,8.3,8.3327428571604,"(1, 0, 1)","(1, 0, 1, 7)",-202.18953546921813,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-04 04:00:00,8.27,8.742420460279844,"(1, 0, 1)","(1, 0, 1, 7)",-202.5798441910966,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-05 04:00:00,8.16,8.354323907712162,"(1, 0, 1)","(1, 0, 1, 7)",-202.16966574017002,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-06 04:00:00,12.17,8.103409155931548,"(1, 0, 1)","(1, 0, 1, 7)",-202.41455736733576,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-07 04:00:00,11.48,14.050587878894536,"(1, 0, 1)","(1, 0, 1, 7)",-197.8599068623813,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-08 04:00:00,9.84,10.587814821951358,"(1, 0, 1)","(1, 0, 1, 7)",-197.27928632518285,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-09 04:00:00,8.48,8.671472575634375,"(1, 0, 1)","(1, 0, 1, 7)",-197.13653552389016,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-10 04:00:00,7.66,7.518880856664284,"(1, 0, 1)","(1, 0, 1, 7)",-197.0479294379464,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-11 04:00:00,8.94,8.033583963488226,"(1, 0, 1)","(1, 0, 1, 7)",-197.47936844480046,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-12 04:00:00,9.59,9.442525004335945,"(1, 0, 1)","(1, 0, 1, 7)",-201.901485267807,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-13 04:00:00,9.97,9.899761129704606,"(1, 0, 1)","(1, 0, 1, 7)",-202.01367610447573,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-14 04:00:00,10.24,10.553279042049535,"(1, 0, 1)","(1, 0, 1, 7)",-201.96342735234205,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-15 04:00:00,10.0,9.418070699254113,"(1, 0, 1)","(1, 0, 1, 7)",-202.8521739145076,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-16 04:00:00,9.31,8.758524965416768,"(1, 0, 1)","(1, 0, 1, 7)",-202.85790718160695,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-17 04:00:00,8.21,8.459452655773573,"(1, 0, 1)","(1, 0, 1, 7)",-203.03067741275368,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-18 04:00:00,9.31,8.711183649129055,"(1, 0, 1)","(1, 0, 1, 7)",-203.07353609478469,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-19 04:00:00,9.51,9.803211501235628,"(1, 0, 1)","(1, 0, 1, 7)",-203.12135761334702,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-20 04:00:00,8.75,9.665179353659665,"(1, 0, 1)","(1, 0, 1, 7)",-203.05109897972258,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-21 04:00:00,7.76,9.088052288480863,"(1, 0, 1)","(1, 0, 1, 7)",-202.83739476420186,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-22 04:00:00,6.98,7.106028231655279,"(1, 0, 1)","(1, 0, 1, 7)",-202.23057305862784,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-23 04:00:00,6.43,6.1521982282659184,"(1, 0, 1)","(1, 0, 1, 7)",-202.5176108458163,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-24 04:00:00,6.42,5.99098671865557,"(1, 0, 1)","(1, 0, 1, 7)",-202.40467422617493,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-25 04:00:00,6.19,6.721000422439616,"(1, 0, 1)","(1, 0, 1, 7)",-202.54184041236775,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-26 04:00:00,5.8,6.177613775573519,"(1, 0, 1)","(1, 0, 1, 7)",-204.50117031900825,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-27 04:00:00,6.79,5.792446587343588,"(1, 0, 1)","(1, 0, 1, 7)",-204.4532433312359,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
2023-12-28 04:00:00,6.23,7.20613591944149,"(1, 0, 1)","(1, 0, 1, 7)",-204.14565628772232,FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW],1,1
