DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS
2023-12-01 08:00:00,3.35,6.13208357296075,"(3, 0, 2)","(1, 0, 2, 7)",70.89220486863229,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-02 08:00:00,3.39,3.287549201467457,"(1, 0, 0)","(0, 0, 0, 7)",86.17173854222402,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-03 08:00:00,3.42,4.695283937805077,"(0, 0, 2)","(2, 0, 2, 7)",73.4828068267978,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-04 08:00:00,2.84,3.9404318034218484,"(0, 0, 2)","(2, 0, 2, 7)",78.76415177293026,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-05 08:00:00,2.4,2.8456313762860437,"(1, 0, 0)","(1, 0, 2, 7)",77.27028360932866,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-06 08:00:00,2.52,1.824355742369022,"(1, 0, 0)","(1, 0, 2, 7)",78.83087316392213,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-07 08:00:00,3.65,1.9056811743794253,"(1, 0, 0)","(1, 0, 2, 7)",78.78364598556915,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-08 08:00:00,3.3,3.804882850059713,"(1, 0, 1)","(2, 0, 2, 7)",77.60404651967508,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-09 08:00:00,3.76,5.386597807857367,"(4, 0, 2)","(1, 0, 2, 7)",72.99853378541523,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-10 08:00:00,9.17,4.722103745423192,"(4, 0, 2)","(2, 0, 2, 7)",74.90296431013498,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-11 08:00:00,6.74,5.4156061166393625,"(1, 0, 0)","(1, 0, 2, 7)",77.47273990805455,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-12 08:00:00,4.38,3.8625433322889737,"(1, 0, 0)","(2, 0, 2, 7)",75.14360341135452,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-13 08:00:00,4.02,4.57053187451868,"(1, 0, 0)","(2, 0, 2, 7)",77.29715541244182,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-14 08:00:00,3.28,2.8758018870451934,"(1, 0, 0)","(1, 0, 2, 7)",77.13523124423601,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-15 08:00:00,2.95,2.9416454091374984,"(1, 0, 0)","(1, 0, 2, 7)",81.92511575172423,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-16 08:00:00,3.15,3.842124930546885,"(1, 0, 0)","(1, 0, 2, 7)",81.01410722902496,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
