DATE,ACTUAL_VALUE,D+1,ORDER,SEASONAL_ORDER,AIC,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS
2023-12-01,13.24,10.361874935658756,"(1, 0, 0)","(2, 0, 0, 7)",239.3209633377195,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-02,9.84,10.987268985059563,"(1, 0, 0)","(0, 0, 0, 7)",233.68651226387,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-03,9.25,12.29384205997951,"(1, 0, 0)","(2, 0, 0, 7)",230.28633481341757,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-04,13.26,10.30870752414347,"(1, 0, 0)","(2, 0, 0, 7)",226.05548993970356,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-05,12.46,15.718640754119178,"(1, 0, 0)","(2, 0, 0, 7)",226.0399421387775,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-06,10.0,8.102609438232811,"(1, 0, 0)","(2, 0, 0, 7)",225.9188442069164,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-07,9.44,10.43446021594961,"(1, 0, 0)","(2, 0, 0, 7)",226.0832499511595,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-08,13.0,13.895418869339784,"(1, 0, 0)","(2, 0, 0, 7)",226.48624772992497,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-09,10.55,10.259413260064381,"(1, 0, 0)","(2, 0, 0, 7)",226.59776913964225,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-10,66.31,17.122584958144383,"(1, 0, 0)","(2, 0, 0, 7)",224.76201675379323,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-11,33.92,31.0504920271188,"(1, 0, 0)","(2, 0, 0, 7)",235.4586899657293,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-12,17.82,15.655357357458128,"(1, 0, 0)","(2, 0, 0, 7)",235.13242056439782,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-13,15.8,19.812881225677593,"(1, 0, 0)","(2, 0, 0, 7)",236.10546117751971,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-14,12.5,12.454289377749403,"(1, 0, 0)","(2, 0, 0, 7)",235.968720378255,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
2023-12-15,10.1,12.085992543533022,"(1, 0, 0)","(2, 0, 0, 7)",234.7363896193488,EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh,1,4
