DATE,ACTUAL_VALUE,D+1
2023-12-01,5.61,4.377785314530385
2023-12-02,5.0,5.4158940482782025
2023-12-03,4.91,4.249857452885322
2023-12-04,4.96,4.613593322306345
2023-12-05,4.68,4.546392740094848
2023-12-06,9.45,4.277154153652552
2023-12-07,6.28,9.194896517506622
2023-12-08,5.35,5.516877736897262
2023-12-09,8.8,5.034192661699512
2023-12-10,6.06,7.458555334470324
2023-12-11,7.0,5.132510124890796
2023-12-12,8.68,5.320738428299999
2023-12-13,6.37,8.747848491087174
2023-12-14,5.9,5.860216474618494
2023-12-15,5.5,5.857336527673562
2023-12-16,5.57,6.079313228706901
2023-12-17,6.68,4.895384149856141
2023-12-18,6.57,6.301184149376826
2023-12-19,6.16,6.209376954754421
2023-12-20,5.64,6.159359090193795
2023-12-21,5.14,5.912268431881613
2023-12-22,5.0,4.913722115847394
2023-12-23,6.15,5.475142967735213
2023-12-24,7.2,5.352561887633639
2023-12-25,6.65,6.551417547352069
2023-12-26,6.26,6.167042021611614
2023-12-27,6.36,5.833866740406426
2023-12-28,5.73,6.119368597304898
2023-12-29,5.37,5.263329209078059
2023-12-30,5.02,5.662754522310189
2023-12-31,6.83,4.950196074039384
2024-01-01,5.25,6.373479845858826
2024-01-02,5.19,4.9540512621734365
2024-01-03,4.88,5.42204391693382
2024-01-04,4.64,4.763907866488861
2024-01-05,4.9,4.101978640370795
2024-01-06,4.22,4.799529788636039
2024-01-07,3.95,4.508364397794056
2024-01-08,3.98,3.8221572687789775
2024-01-09,3.69,3.9727754693014456
2024-01-10,3.54,3.5900508954521007
2024-01-11,3.47,3.3326482914574593
2024-01-12,3.21,3.3979447728124663
2024-01-13,3.68,3.2625047229933872
2024-01-14,3.13,3.76804484774828
2024-01-15,3.0,3.03697475262595
2024-01-16,3.05,3.006643859110106
2024-01-17,2.88,2.955680324182182
2024-01-18,2.78,2.701469355033614
2024-01-19,2.59,2.804564935018122
2024-01-20,4.0,2.7322164482220237
2024-01-21,6.9,3.5731335488295994
2024-01-22,4.56,5.170482964431143
2024-01-23,3.99,4.356732588186037
2024-01-24,3.5,4.17872325773534
2024-01-25,3.5,3.5176385209324783
2024-01-26,3.17,3.18844765582753
2024-01-27,3.52,3.547075860726333
2024-01-28,4.4,3.8139829788300035
2024-01-29,3.98,3.727351581442619
2024-01-30,3.9,3.47469939938474
2024-01-31,3.65,3.5985935385996037
2024-02-01,3.35,3.6052071253325395
2024-02-02,3.1,3.1468149634648244
2024-02-03,3.17,3.5608058479112024
2024-02-04,4.86,3.6822980888278187
2024-02-05,3.4,3.9942065470395467
2024-02-06,3.16,3.416404020179689
2024-02-07,2.96,3.0780575538749924
2024-02-08,3.44,2.7111082217040967
2024-02-09,2.9,3.0858138813432765
2024-02-10,2.83,2.7162279221599857
2024-02-11,2.73,3.60974786927117
2024-02-12,2.8,2.4353483749892213
2024-02-13,2.52,2.732556098296407
2024-02-14,2.35,2.381770829510918
2024-02-15,2.33,2.4579873720319814
2024-02-16,2.11,2.207703486041799
2024-02-17,2.19,2.196090519632493
2024-02-18,3.61,2.4720926275912305
2024-02-19,3.07,3.027953259470321
2024-02-20,2.89,2.6484929186154846
2024-02-21,2.5,2.7661609568670817
2024-02-22,2.4,2.535356749949048
2024-02-23,2.2,2.3293909361438994
2024-02-24,3.17,2.2303988003613147
2024-02-25,2.62,3.5869337522283256
2024-02-26,2.67,2.3703004654278548
2024-02-27,2.68,2.569279523539418
2024-02-28,22.46,2.3766062783754482
2024-02-29,7.21,12.152509311025884
2024-03-01,4.37,4.897519258000276
2024-03-02,3.9,5.572724030794925
2024-03-03,3.54,4.462972185970523
2024-03-04,3.48,3.323162916683735
2024-03-05,3.11,3.228765950233989
2024-03-06,3.24,4.748702305111113
2024-03-07,3.09,2.7316515574426488
2024-03-08,3.05,2.596992420022211
2024-03-09,4.62,2.8674553681461963
2024-03-10,7.58,4.006375818322218
2024-03-11,4.54,5.448862247514081
2024-03-12,3.88,4.163362246092811
2024-03-13,3.48,5.6467679521970915
2024-03-14,3.24,3.0486486132672077
2024-03-15,2.97,2.8783044637741853
2024-03-16,3.96,3.224882903781861
2024-03-17,3.54,4.169892259155026
2024-03-18,3.29,3.105783272285338
2024-03-19,3.04,3.0119960470733878
2024-03-20,3.21,3.594430909439237
2024-03-21,3.23,2.800264894709178
2024-03-22,3.1,2.864641107825449
2024-03-23,8.21,3.3556414428081243
2024-03-24,6.66,6.658671199093761
