DATE,ACTUAL_VALUE,D+1
2023-12-09,10.55,14.555816
2023-12-10,66.31,26.205523
2023-12-11,33.92,36.865395
2023-12-12,17.82,22.272057
2023-12-13,15.8,20.49549
2023-12-14,12.5,12.511542
2023-12-15,10.1,11.646716
2023-12-16,12.4,18.483448
2023-12-17,36.83,27.21403
2023-12-18,29.79,32.389725
2023-12-19,25.9,30.367702
2023-12-20,20.67,33.61207
2023-12-21,32.75,33.49746
2023-12-22,45.0,29.287207
2023-12-23,40.97,39.079845
2023-12-24,37.66,39.941032
2023-12-25,38.86,38.375233
2023-12-26,32.15,38.009712
2023-12-27,22.31,29.178104
2023-12-28,39.17,33.86501
2023-12-29,33.88,38.105343
2023-12-30,29.94,34.43633
2023-12-31,24.49,32.088234
2024-01-01,25.21,39.31511
2024-01-02,20.63,28.736229
2024-01-03,31.99,38.008316
2024-01-04,25.89,38.95476
2024-01-05,17.65,20.397028
2024-01-06,15.64,19.463104
2024-01-07,14.09,19.453207
2024-01-08,12.18,18.053032
2024-01-09,9.7,10.884215
2024-01-10,7.85,9.700706
2024-01-11,6.8,8.006907
2024-01-12,5.51,7.1790247
2024-01-13,7.14,9.359037
2024-01-14,13.97,23.592058
2024-01-15,18.57,22.363565
2024-01-16,10.04,16.01979
2024-01-17,8.98,13.3824215
2024-01-18,6.94,7.3922143
2024-01-19,6.7,10.929135
2024-01-20,7.64,19.17202
2024-01-21,7.5,13.783286
2024-01-22,34.61,25.953838
2024-01-23,24.98,18.605286
2024-01-24,37.96,23.845148
2024-01-25,25.89,33.578037
2024-01-26,16.05,16.2555
2024-01-27,15.4,23.784117
2024-01-28,11.2,12.441987
2024-01-29,15.54,24.048954
2024-01-30,10.0,10.861401
2024-01-31,8.19,14.002352
2024-02-01,22.52,23.787474
2024-02-02,12.28,17.431698
2024-02-03,24.96,24.210428
2024-02-04,22.5,31.418438
2024-02-05,25.55,35.622498
2024-02-06,23.3,29.730019
2024-02-07,22.46,24.318316
2024-02-08,13.25,13.884526
2024-02-09,11.45,14.494542
2024-02-10,9.38,11.795506
2024-02-11,10.29,13.130963
2024-02-12,8.65,10.238256
2024-02-13,7.7,8.680443
2024-02-14,6.23,8.363706
2024-02-15,5.72,7.8285995
