DATE,ACTUAL_VALUE,D+1
2023-12-09 04:00:00,8.26,12.856491
2023-12-10 04:00:00,29.65,19.702003
2023-12-11 04:00:00,20.35,21.858652
2023-12-12 04:00:00,12.58,15.967307
2023-12-13 04:00:00,10.93,11.380199
2023-12-14 04:00:00,8.81,9.358616
2023-12-15 04:00:00,7.97,8.031642
2023-12-16 04:00:00,9.75,14.606056
2023-12-17 04:00:00,27.53,16.994112
2023-12-18 04:00:00,20.4,22.147697
2023-12-19 04:00:00,15.35,18.331669
2023-12-20 04:00:00,13.62,20.249563
2023-12-21 04:00:00,20.05,19.594513
2023-12-22 04:00:00,30.17,23.430908
2023-12-23 04:00:00,35.39,24.454208
2023-12-24 04:00:00,33.81,26.419708
2023-12-25 04:00:00,31.41,26.31107
2023-12-26 04:00:00,26.43,26.355883
2023-12-27 04:00:00,16.27,18.447092
2023-12-28 04:00:00,22.06,20.05323
2023-12-29 04:00:00,24.39,24.770214
2023-12-30 04:00:00,21.75,24.43483
2023-12-31 04:00:00,18.29,25.123396
2024-01-01 04:00:00,19.77,23.357168
2024-01-02 04:00:00,16.93,20.928856
2024-01-03 04:00:00,20.63,21.522995
2024-01-04 04:00:00,18.13,25.398756
2024-01-05 04:00:00,14.39,15.787732
2024-01-06 04:00:00,12.15,17.230324
2024-01-07 04:00:00,12.05,19.15407
2024-01-08 04:00:00,10.38,10.331564
2024-01-09 04:00:00,8.36,8.331161
2024-01-10 04:00:00,6.78,6.855681
2024-01-11 04:00:00,5.57,6.7180376
2024-01-12 04:00:00,4.21,5.3213196
2024-01-13 04:00:00,5.48,5.440793
2024-01-14 04:00:00,6.43,12.482373
2024-01-15 04:00:00,6.86,12.867073
2024-01-16 04:00:00,5.51,6.40022
2024-01-17 04:00:00,4.44,5.726064
2024-01-18 04:00:00,4.34,4.3041215
2024-01-19 04:00:00,4.2,5.591807
2024-01-20 04:00:00,5.2,10.6343
2024-01-21 04:00:00,6.33,11.882451
2024-01-22 04:00:00,13.77,12.079627
2024-01-23 04:00:00,13.18,13.432036
2024-01-24 04:00:00,17.91,14.179605
2024-01-25 04:00:00,13.47,14.0563
2024-01-26 04:00:00,9.4,9.462209
2024-01-27 04:00:00,8.32,15.088465
2024-01-28 04:00:00,6.77,7.6040993
2024-01-29 04:00:00,7.18,7.8051767
2024-01-30 04:00:00,5.96,6.579934
2024-01-31 04:00:00,5.04,5.614445
2024-02-01 04:00:00,8.2,6.6818986
2024-02-02 04:00:00,7.66,7.4091725
2024-02-03 04:00:00,15.38,11.832105
2024-02-04 04:00:00,18.54,17.39013
2024-02-05 04:00:00,16.9,19.631645
