DATE,ACTUAL_VALUE,D+1
2023-12-09 20:00:00,19.4,9.958766
2023-12-10 20:00:00,10.46,12.274114
2023-12-11 20:00:00,10.59,10.134798
2023-12-12 20:00:00,9.47,10.112535
2023-12-13 20:00:00,9.02,8.917922
2023-12-14 20:00:00,8.5,8.179646
2023-12-15 20:00:00,8.0,8.172156
2023-12-16 20:00:00,7.79,10.247332
2023-12-17 20:00:00,7.62,10.127214
2023-12-18 20:00:00,8.19,8.947011
2023-12-19 20:00:00,7.39,7.9184995
2023-12-20 20:00:00,6.92,7.9698596
2023-12-21 20:00:00,6.27,10.067022
2023-12-22 20:00:00,10.47,8.327531
2023-12-23 20:00:00,15.2,10.252927
2023-12-24 20:00:00,12.96,10.066995
2023-12-25 20:00:00,12.1,12.12533
2023-12-26 20:00:00,10.74,12.159433
2023-12-27 20:00:00,10.13,11.396947
2023-12-28 20:00:00,8.68,9.7575245
2023-12-29 20:00:00,8.05,10.446325
2023-12-30 20:00:00,12.77,9.028285
2023-12-31 20:00:00,9.56,11.814503
2024-01-01 20:00:00,8.51,10.39144
2024-01-02 20:00:00,8.43,11.434841
2024-01-03 20:00:00,8.12,8.714986
2024-01-04 20:00:00,8.54,8.330236
2024-01-05 20:00:00,7.68,8.137623
2024-01-06 20:00:00,7.01,8.197296
2024-01-07 20:00:00,6.34,7.467468
2024-01-08 20:00:00,6.78,8.308783
2024-01-09 20:00:00,6.43,8.141815
2024-01-10 20:00:00,6.24,7.408112
2024-01-11 20:00:00,6.0,8.334033
2024-01-12 20:00:00,5.87,6.772924
2024-01-13 20:00:00,5.32,5.654084
2024-01-14 20:00:00,4.67,4.0301356
2024-01-15 20:00:00,5.47,8.957273
2024-01-16 20:00:00,5.71,5.704522
2024-01-17 20:00:00,6.45,5.7820425
2024-01-18 20:00:00,5.54,5.375154
2024-01-19 20:00:00,4.97,4.687769
2024-01-20 20:00:00,6.9,4.158191
2024-01-21 20:00:00,5.53,5.404265
2024-01-22 20:00:00,5.16,5.5970073
2024-01-23 20:00:00,5.57,4.4521885
2024-01-24 20:00:00,4.91,5.0285354
2024-01-25 20:00:00,8.93,4.3211203
2024-01-26 20:00:00,5.75,5.591482
2024-01-27 20:00:00,6.92,5.095252
2024-01-28 20:00:00,5.68,5.889079
2024-01-29 20:00:00,6.87,6.270249
2024-01-30 20:00:00,5.78,6.557729
2024-01-31 20:00:00,5.45,4.3938727
2024-02-01 20:00:00,5.77,6.861649
2024-02-02 20:00:00,5.04,4.302086
2024-02-03 20:00:00,5.25,4.9340215
2024-02-04 20:00:00,4.42,3.8310244
2024-02-05 20:00:00,4.6,7.455149
2024-02-06 20:00:00,4.24,4.109454
2024-02-07 20:00:00,7.2,3.9784975
2024-02-08 20:00:00,5.45,5.2378407
2024-02-09 20:00:00,4.61,4.5766306
2024-02-10 20:00:00,3.99,4.3801756
2024-02-11 20:00:00,3.64,3.8959463
2024-02-12 20:00:00,3.79,5.4271235
2024-02-13 20:00:00,3.72,4.0433345
