DATE,ACTUAL_VALUE,D+1
2023-12-03,9.25,9.723317
2023-12-04,13.26,13.6792755
2023-12-05,12.46,18.491972
2023-12-06,10.0,12.838846
2023-12-07,9.44,9.494682
2023-12-08,13.0,13.6792755
2023-12-09,10.55,12.216329
2023-12-10,66.31,20.197865
2023-12-11,33.92,31.770552
2023-12-12,17.82,21.187569
2023-12-13,15.8,19.34277
2023-12-14,12.5,13.523678
2023-12-15,10.1,12.4731455
2023-12-16,12.4,13.315131
2023-12-17,36.83,26.08631
2023-12-18,29.79,29.014553
2023-12-19,25.9,30.173565
2023-12-20,20.67,30.591393
2023-12-21,32.75,28.311817
2023-12-22,45.0,33.047413
2023-12-23,40.97,39.494453
2023-12-24,37.66,39.54374
2023-12-25,38.86,36.896595
2023-12-26,32.15,37.92056
2023-12-27,22.31,28.830423
2023-12-28,39.17,33.482723
2023-12-29,33.88,37.92056
2023-12-30,29.94,36.384098
2023-12-31,24.49,31.24918
2024-01-01,25.21,35.73274
2024-01-02,20.63,27.940197
2024-01-03,31.99,31.333838
2024-01-04,25.89,36.384098
2024-01-05,17.65,22.771204
2024-01-06,15.64,22.40367
2024-01-07,14.09,20.947596
2024-01-08,12.18,18.808292
2024-01-09,9.7,12.881018
2024-01-10,7.85,10.114728
2024-01-11,6.8,9.186971
2024-01-12,5.51,8.347689
2024-01-13,7.14,8.471612
2024-01-14,13.97,18.06187
2024-01-15,18.57,21.235727
2024-01-16,10.04,15.381971
2024-01-17,8.98,11.936419
2024-01-18,6.94,7.811253
2024-01-19,6.7,10.112351
2024-01-20,7.64,15.496052
2024-01-21,7.5,15.502248
2024-01-22,34.61,19.603039
2024-01-23,24.98,24.32978
2024-01-24,37.96,22.629898
2024-01-25,25.89,26.469198
2024-01-26,16.05,17.49617
2024-01-27,15.4,22.451817
2024-01-28,11.2,12.538503
2024-01-29,15.54,20.580095
2024-01-30,10.0,12.884522
2024-01-31,8.19,15.760626
2024-02-01,22.52,21.79889
2024-02-02,12.28,18.858786
2024-02-03,24.96,25.587503
2024-02-04,22.5,27.270775
2024-02-05,25.55,27.449633
2024-02-06,23.3,24.352062
2024-02-07,22.46,27.721432
2024-02-08,13.25,17.24263
2024-02-09,11.45,20.613514
2024-02-10,9.38,13.055054
2024-02-11,10.29,14.451133
2024-02-12,8.65,11.309458
2024-02-13,7.7,14.902615
2024-02-14,6.23,11.925788
