PRODUCT,PRODUCT_SIGN,PRICE_TYPE,LOOKBACK,EXOGENOUS_FACTORS,NUM_FEATURES,FEATURE_NUMBERS,N_ESTIMATORS,LEARNING_RATE,MAX_DEPTH,MIN_CHILD_WEIGHT,SUBSAMPLE,COLSAMPLE_BYTREE,REG_ALPHA,REG_LAMBDA,OUTPUT_FILE,SUCCESS,MESSAGE
00_04,NEG,AVERAGE,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,390,0.07238907311715187,3,3,0.7163944085902855,0.9279933255689212,0.009614180195154672,0.0009007995345181118,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_00_04_NEG_AVERAGE.csv,True,Completed successfully
00_04,NEG,MARGINAL,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,602,0.04168043219772739,3,5,0.745401317442596,0.9050263264243317,6.2272849786049425e-06,1.6902749588425065e-08,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_00_04_NEG_MARGINAL.csv,True,Completed successfully
00_04,POS,AVERAGE,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,761,0.03414392715578557,4,10,0.7206013971406113,0.9939435574131176,0.0005306821165183735,1.1145446390668579e-08,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_00_04_POS_AVERAGE.csv,True,Completed successfully
00_04,POS,MARGINAL,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,297,0.05388108577817234,3,10,0.7035119926400067,0.8650089137415928,6.388511557344611e-06,0.0004793052550782129,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_00_04_POS_MARGINAL.csv,True,Completed successfully
04_08,NEG,AVERAGE,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,961,0.010403166981612921,3,1,0.7125328734079353,0.8336229096455265,0.0016334274456461662,3.960228561394633e-06,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_04_08_NEG_AVERAGE.csv,True,Completed successfully
04_08,NEG,MARGINAL,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,681,0.11114989443094977,3,10,0.9329770563201687,0.6849356442713105,4.329370014459266e-07,4.4734294104626844e-07,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_04_08_NEG_MARGINAL.csv,True,Completed successfully
04_08,POS,AVERAGE,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,293,0.043719957141108365,6,7,0.6017805057520015,0.9130875209266313,0.005738255958298126,5.782407074939148e-06,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_04_08_POS_AVERAGE.csv,True,Completed successfully
04_08,POS,MARGINAL,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,825,0.0131937888722586,4,1,0.6052561262871233,0.8806434548782254,0.0004811163259990184,0.0025502248207007966,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_04_08_POS_MARGINAL.csv,True,Completed successfully
08_12,NEG,AVERAGE,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,922,0.19056829202509654,3,2,0.8012364486139857,0.811449326873843,7.888496118879295e-08,0.07173135220695016,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_08_12_NEG_AVERAGE.csv,True,Completed successfully
08_12,NEG,MARGINAL,7,"FCR_GERMANY_SETTLEMENTCAPACITY_PRICE_[EUR/MW], EXESSIVE_AVAILABLE_CAPACITY_UNTIL_PRICE_LIMIT_9999_€/MWh",2,1_4,425,0.06333268775321842,3,9,0.6298202574719083,0.9947547746402069,0.08916674715636537,6.143857495033091e-07,/ceph/home/glo54486/Economic_LSTM_XGboost/03_Output_paper/xgboost_v2_exog_1_4_model_output/xgboost_v2_exog_1_4_ts7_model_results_08_12_NEG_MARGINAL.csv,True,Completed successfully
