DATE,ACTUAL_VALUE,D+1
2023-12-03,4.25,4.201891
2023-12-04,4.11,4.153157
2023-12-05,4.06,4.1361685
2023-12-06,4.48,4.0298967
2023-12-07,5.05,4.1502013
2023-12-08,4.6,4.972564
2023-12-09,4.96,4.2630033
2023-12-10,5.04,5.0145655
2023-12-11,5.41,5.1024485
2023-12-12,5.58,5.1193185
2023-12-13,5.67,6.3712316
2023-12-14,5.41,5.9020715
2023-12-15,5.12,5.1760387
2023-12-16,4.89,5.311043
2023-12-17,4.89,5.2969437
2023-12-18,5.46,5.184723
2023-12-19,5.55,6.1459494
2023-12-20,5.31,6.7491035
2023-12-21,4.74,5.296154
2023-12-22,4.35,4.405678
2023-12-23,4.52,4.382728
2023-12-24,5.26,4.2783804
2023-12-25,5.58,5.346402
2023-12-26,5.41,6.4224324
2023-12-27,5.63,5.769366
2023-12-28,5.17,6.6199517
2023-12-29,4.87,5.1094112
2023-12-30,4.67,4.980359
2023-12-31,4.71,4.6289783
2024-01-01,4.72,4.4260883
2024-01-02,4.71,4.635036
2024-01-03,4.54,4.456363
2024-01-04,4.29,4.4792614
2024-01-05,4.15,4.330784
2024-01-06,4.01,4.160289
2024-01-07,3.73,3.8816345
2024-01-08,3.56,3.630821
2024-01-09,3.47,3.587304
2024-01-10,3.29,3.4949322
2024-01-11,3.16,3.3414254
2024-01-12,3.04,3.1954734
2024-01-13,2.84,3.1739812
2024-01-14,2.74,2.666415
2024-01-15,2.59,2.5132926
2024-01-16,2.61,2.722364
2024-01-17,2.58,2.8873823
2024-01-18,2.51,2.705342
2024-01-19,2.43,2.5621505
2024-01-20,2.44,2.547085
2024-01-21,3.53,2.5121453
2024-01-22,3.56,3.5974672
2024-01-23,3.39,3.3820522
2024-01-24,3.21,3.1722133
2024-01-25,3.02,3.0612113
2024-01-26,2.89,3.138983
2024-01-27,2.93,2.9507165
2024-01-28,3.35,2.9396455
2024-01-29,3.47,3.455258
2024-01-30,3.43,3.5313163
2024-01-31,3.36,3.392675
2024-02-01,3.09,3.2027555
2024-02-02,2.88,3.0801234
2024-02-03,2.76,2.7523336
2024-02-04,2.68,2.628823
2024-02-05,2.85,2.4434905
2024-02-06,2.8,2.5715308
2024-02-07,2.73,2.5892897
2024-02-08,2.83,2.6732738
2024-02-09,2.72,2.6669767
2024-02-10,2.49,2.6448555
2024-02-11,2.41,2.564394
2024-02-12,2.4,2.6042795
2024-02-13,2.34,2.674487
2024-02-14,2.16,2.6062055
2024-02-15,2.02,2.3528512
2024-02-16,1.96,2.113992
2024-02-17,1.86,2.1140287
2024-02-18,2.15,2.0611243
2024-02-19,2.31,1.9050579
2024-02-20,2.43,2.160615
2024-02-21,2.25,2.2996411
2024-02-22,2.15,2.106875
2024-02-23,1.97,1.8656875
2024-02-24,2.1,1.9886262
2024-02-25,2.3,2.0537915
2024-02-26,2.28,2.3768904
2024-02-27,2.21,2.367885
2024-02-28,3.35,2.297595
2024-02-29,4.75,3.3225453
2024-03-01,3.79,4.257801
2024-03-02,3.38,3.4593434
