DATE,ACTUAL_VALUE,D+1
2023-12-03,4.91,5.01258
2023-12-04,4.96,4.8497777
2023-12-05,4.68,4.697335
2023-12-06,9.45,4.8241563
2023-12-07,6.28,6.54869
2023-12-08,5.35,5.9034147
2023-12-09,8.8,5.243309
2023-12-10,6.06,6.657215
2023-12-11,7.0,6.7039323
2023-12-12,8.68,6.6575274
2023-12-13,6.37,7.428011
2023-12-14,5.9,6.756105
2023-12-15,5.5,6.3890095
2023-12-16,5.57,6.135778
2023-12-17,6.68,5.8685837
2023-12-18,6.57,6.4088507
2023-12-19,6.16,6.7640386
2023-12-20,5.64,5.838841
2023-12-21,5.14,5.63819
2023-12-22,5.0,5.434568
2023-12-23,6.15,5.390419
2023-12-24,7.2,5.9776907
2023-12-25,6.65,6.416358
2023-12-26,6.26,5.9620204
2023-12-27,6.36,5.636421
2023-12-28,5.73,6.609172
2023-12-29,5.37,6.198953
2023-12-30,5.02,5.7496977
2023-12-31,6.83,5.627178
2024-01-01,5.25,6.0980053
2024-01-02,5.19,5.561596
2024-01-03,4.88,4.9262285
2024-01-04,4.64,4.8210564
2024-01-05,4.9,5.456092
2024-01-06,4.22,4.9341683
2024-01-07,3.95,4.870509
2024-01-08,3.98,4.2506237
2024-01-09,3.69,4.236145
2024-01-10,3.54,4.048248
2024-01-11,3.47,4.001623
2024-01-12,3.21,3.8779929
2024-01-13,3.68,3.7646375
2024-01-14,3.13,4.001623
2024-01-15,3.0,3.6190262
2024-01-16,3.05,3.3704977
2024-01-17,2.88,3.4545915
2024-01-18,2.78,3.4514928
2024-01-19,2.59,3.2436671
2024-01-20,4.0,3.388662
2024-01-21,6.9,4.5299654
2024-01-22,4.56,5.003562
2024-01-23,3.99,4.3961916
2024-01-24,3.5,4.1260405
2024-01-25,3.5,3.4007409
2024-01-26,3.17,3.4442267
2024-01-27,3.52,3.5952985
2024-01-28,4.4,4.2922583
2024-01-29,3.98,4.8827324
2024-01-30,3.9,4.247044
2024-01-31,3.65,4.0218368
2024-02-01,3.35,4.002467
2024-02-02,3.1,3.6055703
2024-02-03,3.17,3.3972473
2024-02-04,4.86,3.5419445
2024-02-05,3.4,4.998578
2024-02-06,3.16,4.0625715
2024-02-07,2.96,3.4035726
2024-02-08,3.44,3.2925718
2024-02-09,2.9,3.7455132
2024-02-10,2.83,3.2601311
2024-02-11,2.73,3.4574285
2024-02-12,2.8,3.3654218
2024-02-13,2.52,3.2405474
2024-02-14,2.35,3.0153615
2024-02-15,2.33,3.1202037
2024-02-16,2.11,2.8474288
2024-02-17,2.19,2.7786314
2024-02-18,3.61,2.517744
2024-02-19,3.07,3.163211
2024-02-20,2.89,2.5972319
2024-02-21,2.5,2.5158927
2024-02-22,2.4,2.4603887
2024-02-23,2.2,2.6558409
2024-02-24,3.17,2.5216856
2024-02-25,2.62,3.1823783
2024-02-26,2.67,2.8442426
2024-02-27,2.68,2.642154
2024-02-28,22.46,2.451364
2024-02-29,7.21,9.771172
2024-03-01,4.37,6.5892096
2024-03-02,3.9,5.0541906
2024-03-03,3.54,3.7628083
2024-03-04,3.48,3.8019729
2024-03-05,3.11,3.9875221
2024-03-06,3.24,4.4454393
2024-03-07,3.09,4.041502
2024-03-08,3.05,3.6190262
2024-03-09,4.62,3.6436167
2024-03-10,7.58,4.881268
