DATE,ACTUAL_VALUE,D+1
2023-12-03 04:00:00,9.13,12.972327
2023-12-04 04:00:00,11.34,11.234456
2023-12-05 04:00:00,12.6,12.292629
2023-12-06 04:00:00,10.0,14.216403
2023-12-07 04:00:00,9.0,10.994785
2023-12-08 04:00:00,10.78,11.754852
2023-12-09 04:00:00,9.95,9.863571
2023-12-10 04:00:00,54.12,10.110603
2023-12-11 04:00:00,26.45,26.75952
2023-12-12 04:00:00,15.48,19.403313
2023-12-13 04:00:00,12.93,15.812443
2023-12-14 04:00:00,10.62,16.154436
2023-12-15 04:00:00,9.0,13.020935
2023-12-16 04:00:00,13.64,9.820083
2023-12-17 04:00:00,39.0,16.726608
2023-12-18 04:00:00,24.33,29.091616
2023-12-19 04:00:00,17.59,24.78153
2023-12-20 04:00:00,15.63,16.544222
2023-12-21 04:00:00,29.05,16.452057
2023-12-22 04:00:00,45.85,21.874838
2023-12-23 04:00:00,41.04,31.476923
2023-12-24 04:00:00,39.04,34.90464
2023-12-25 04:00:00,34.65,32.99717
2023-12-26 04:00:00,28.7,28.861555
2023-12-27 04:00:00,19.88,26.491573
2023-12-28 04:00:00,28.23,21.250671
2023-12-29 04:00:00,28.61,25.683609
2023-12-30 04:00:00,23.89,25.683609
2023-12-31 04:00:00,23.13,21.641125
2024-01-01 04:00:00,23.4,24.370184
2024-01-02 04:00:00,19.32,21.037868
2024-01-03 04:00:00,26.96,17.625181
2024-01-04 04:00:00,21.33,25.923943
2024-01-05 04:00:00,15.19,18.523323
2024-01-06 04:00:00,14.07,15.3492
2024-01-07 04:00:00,14.23,15.729235
2024-01-08 04:00:00,11.53,15.173427
2024-01-09 04:00:00,9.0,13.531932
2024-01-10 04:00:00,7.51,12.040292
2024-01-11 04:00:00,5.94,10.193604
2024-01-12 04:00:00,4.82,8.505224
2024-01-13 04:00:00,7.36,5.750863
2024-01-14 04:00:00,7.86,9.596806
2024-01-15 04:00:00,11.25,7.7305045
2024-01-16 04:00:00,6.71,8.738615
2024-01-17 04:00:00,6.18,6.1376443
2024-01-18 04:00:00,4.97,6.507697
2024-01-19 04:00:00,5.0,5.200632
2024-01-20 04:00:00,6.51,5.556254
2024-01-21 04:00:00,8.4,7.1507034
2024-01-22 04:00:00,25.28,7.188754
2024-01-23 04:00:00,17.75,14.734763
2024-01-24 04:00:00,25.75,11.325718
2024-01-25 04:00:00,16.76,16.674707
2024-01-26 04:00:00,11.05,11.215062
2024-01-27 04:00:00,10.4,10.726934
2024-01-28 04:00:00,7.74,10.659688
2024-01-29 04:00:00,11.74,10.664323
2024-01-30 04:00:00,7.04,10.73541
2024-01-31 04:00:00,5.73,9.927268
2024-02-01 04:00:00,13.36,8.509987
2024-02-02 04:00:00,9.34,11.710601
2024-02-03 04:00:00,21.7,9.236763
2024-02-04 04:00:00,23.64,15.905396
2024-02-05 04:00:00,21.34,17.794014
2024-02-06 04:00:00,18.83,13.841737
2024-02-07 04:00:00,15.0,15.971235
2024-02-08 04:00:00,9.46,15.895827
2024-02-09 04:00:00,8.68,10.050723
2024-02-10 04:00:00,6.89,11.664797
2024-02-11 04:00:00,10.97,8.629934
2024-02-12 04:00:00,7.46,10.696596
2024-02-13 04:00:00,6.51,10.651346
2024-02-14 04:00:00,5.4,8.470501
2024-02-15 04:00:00,4.66,5.664278
2024-02-16 04:00:00,4.03,4.42232
2024-02-17 04:00:00,4.15,4.6302357
2024-02-18 04:00:00,3.81,4.6606874
2024-02-19 04:00:00,7.06,3.7162364
2024-02-20 04:00:00,4.65,5.819895
2024-02-21 04:00:00,4.87,5.200632
2024-02-22 04:00:00,5.94,5.4969163
2024-02-23 04:00:00,15.0,7.0683255
2024-02-24 04:00:00,7.63,9.330347
2024-02-25 04:00:00,6.59,6.878276
2024-02-26 04:00:00,5.21,6.507697
2024-02-27 04:00:00,4.17,5.6696215
2024-02-28 04:00:00,3.52,4.3480177
2024-02-29 04:00:00,4.38,4.140971
2024-03-01 04:00:00,3.47,4.695912
2024-03-02 04:00:00,3.87,3.4428055
2024-03-03 04:00:00,4.79,3.4961812
2024-03-04 04:00:00,3.48,3.9932652
2024-03-05 04:00:00,3.17,3.6171227
2024-03-06 04:00:00,2.84,3.1879976
2024-03-07 04:00:00,2.54,2.8424506
2024-03-08 04:00:00,2.8,2.5470846
2024-03-09 04:00:00,4.5,2.9154303
2024-03-10 04:00:00,7.2,4.2941327
2024-03-11 04:00:00,4.5,6.604215
2024-03-12 04:00:00,3.41,4.34545
2024-03-13 04:00:00,2.76,3.5164523
2024-03-14 04:00:00,2.58,2.6730304
2024-03-15 04:00:00,3.93,2.3002815
2024-03-16 04:00:00,6.95,3.3698106
2024-03-17 04:00:00,4.79,5.850986
2024-03-18 04:00:00,4.01,4.7294207
2024-03-19 04:00:00,3.5,4.8751183
2024-03-20 04:00:00,2.78,3.365988
2024-03-21 04:00:00,2.46,2.840605
2024-03-22 04:00:00,3.28,2.8867743
2024-03-23 04:00:00,3.9,2.9667792
2024-03-24 04:00:00,11.08,4.815591
2024-03-25 04:00:00,5.92,7.455248
2024-03-26 04:00:00,4.44,6.4158154
2024-03-27 04:00:00,3.8,4.4272604
2024-03-28 04:00:00,3.43,3.9785488
2024-03-29 04:00:00,12.09,3.778391
2024-03-30 04:00:00,7.12,9.247499
2024-03-31 04:00:00,6.6,8.091835
2024-04-01 04:00:00,5.92,6.798339
2024-04-02 04:00:00,7.04,6.642715
2024-04-03 04:00:00,5.15,6.6184587
2024-04-04 04:00:00,5.01,5.336072
2024-04-05 04:00:00,4.08,6.0398064
2024-04-06 04:00:00,4.56,5.200632
2024-04-07 04:00:00,8.73,5.334484
2024-04-08 04:00:00,5.33,7.1792183
2024-04-09 04:00:00,4.2,6.956251
2024-04-10 04:00:00,8.11,4.880231
2024-04-11 04:00:00,7.23,6.6325417
2024-04-12 04:00:00,5.72,6.583879
2024-04-13 04:00:00,6.2,6.700379
2024-04-14 04:00:00,8.72,7.1027856
2024-04-15 04:00:00,5.48,7.1792183
2024-04-16 04:00:00,36.6,6.697027
2024-04-17 04:00:00,13.2,17.249054
2024-04-18 04:00:00,8.12,11.624906
2024-04-19 04:00:00,7.71,8.220661
2024-04-20 04:00:00,10.53,7.5272703
2024-04-21 04:00:00,7.84,8.322445
2024-04-22 04:00:00,7.84,7.990922
2024-04-23 04:00:00,5.33,11.353361
2024-04-24 04:00:00,4.99,7.8858843
2024-04-25 04:00:00,4.25,4.9258065
2024-04-26 04:00:00,3.6,5.2301493
2024-04-27 04:00:00,3.76,4.4499826
2024-04-28 04:00:00,7.26,4.0356483
2024-04-29 04:00:00,5.49,6.4139094
2024-04-30 04:00:00,4.24,6.700379
2024-05-01 04:00:00,5.4,5.200632
2024-05-02 04:00:00,4.95,6.7117276
