DATE,ACTUAL_VALUE,D+1
2023-12-03,4.25,4.208998
2023-12-04,4.11,4.0997295
2023-12-05,4.06,4.0220156
2023-12-06,4.48,3.9213076
2023-12-07,5.05,4.1749725
2023-12-08,4.6,5.151835
2023-12-09,4.96,4.4026184
2023-12-10,5.04,4.9172516
2023-12-11,5.41,5.0147424
2023-12-12,5.58,5.2999434
2023-12-13,5.67,6.479124
2023-12-14,5.41,5.9756184
2023-12-15,5.12,5.4419937
2023-12-16,4.89,5.154895
2023-12-17,4.89,4.9588747
2023-12-18,5.46,4.994913
2023-12-19,5.55,5.7201934
2023-12-20,5.31,6.3405294
2023-12-21,4.74,5.281452
2023-12-22,4.35,4.526855
2023-12-23,4.52,4.2997966
2023-12-24,5.26,4.289081
2023-12-25,5.58,5.0435557
2023-12-26,5.41,6.1320605
2023-12-27,5.63,5.3143826
2023-12-28,5.17,6.218752
2023-12-29,4.87,5.1543856
2023-12-30,4.67,4.889162
2023-12-31,4.71,4.443672
2024-01-01,4.72,4.434973
2024-01-02,4.71,4.4135895
2024-01-03,4.54,4.434973
2024-01-04,4.29,4.3096275
2024-01-05,4.15,4.094404
2024-01-06,4.01,4.0461526
2024-01-07,3.73,3.8283756
2024-01-08,3.56,3.6532402
2024-01-09,3.47,3.630688
2024-01-10,3.29,3.4641097
2024-01-11,3.16,3.3529725
2024-01-12,3.04,3.2905648
2024-01-13,2.84,3.2593393
2024-01-14,2.74,2.850956
2024-01-15,2.59,2.708138
2024-01-16,2.61,2.6737118
2024-01-17,2.58,2.696625
2024-01-18,2.51,2.6843805
2024-01-19,2.43,2.5816817
2024-01-20,2.44,2.5120635
2024-01-21,3.53,2.5438957
2024-01-22,3.56,3.7804744
2024-01-23,3.39,3.6431217
2024-01-24,3.21,3.3068233
2024-01-25,3.02,3.2072282
2024-01-26,2.89,3.1471024
2024-01-27,2.93,2.759929
2024-01-28,3.35,2.9240909
2024-01-29,3.47,3.469202
2024-01-30,3.43,3.4825509
2024-01-31,3.36,3.5020847
2024-02-01,3.09,3.335914
2024-02-02,2.88,3.2605581
2024-02-03,2.76,2.9426355
2024-02-04,2.68,2.7207966
2024-02-05,2.85,2.6386356
2024-02-06,2.8,2.7433872
2024-02-07,2.73,2.762521
2024-02-08,2.83,2.7604847
2024-02-09,2.72,2.733056
2024-02-10,2.49,2.7985387
2024-02-11,2.41,2.5893557
2024-02-12,2.4,2.5960798
2024-02-13,2.34,2.6509256
2024-02-14,2.16,2.5792453
2024-02-15,2.02,2.4410548
2024-02-16,1.96,2.2148778
2024-02-17,1.86,2.13213
2024-02-18,2.15,2.1092644
2024-02-19,2.31,2.2121172
2024-02-20,2.43,2.3547502
2024-02-21,2.25,2.3407369
2024-02-22,2.15,2.188367
2024-02-23,1.97,1.9722549
2024-02-24,2.1,2.1195607
2024-02-25,2.3,2.1477895
2024-02-26,2.28,2.5000966
2024-02-27,2.21,2.4088695
2024-02-28,3.35,2.510333
2024-02-29,4.75,3.3644238
2024-03-01,3.79,4.570983
2024-03-02,3.38,3.6036897
2024-03-03,3.14,3.2001333
2024-03-04,3.11,3.0550137
2024-03-05,2.9,3.4292262
2024-03-06,2.86,2.9794407
2024-03-07,2.82,3.2262015
2024-03-08,2.7,2.854021
2024-03-09,2.82,2.7162566
2024-03-10,3.66,2.7161179
2024-03-11,3.85,4.0895753
2024-03-12,3.54,3.8936944
2024-03-13,3.24,3.4230416
2024-03-14,3.01,3.3645175
2024-03-15,2.8,3.3246174
2024-03-16,3.12,2.7121167
2024-03-17,3.09,3.571806
2024-03-18,3.0,3.5122106
2024-03-19,2.84,3.3822224
2024-03-20,2.79,2.9039595
2024-03-21,2.85,2.8044848
2024-03-22,2.78,2.8001583
2024-03-23,4.6,2.8331788
2024-03-24,5.25,4.7053776
