DATE,ACTUAL_VALUE,D+1
2023-12-03 16:00:00,1.88,2.3897622
2023-12-04 16:00:00,1.61,2.031176
2023-12-05 16:00:00,1.31,1.8504531
2023-12-06 16:00:00,1.33,1.6586914
2023-12-07 16:00:00,1.63,1.6586914
2023-12-08 16:00:00,1.61,1.8238995
2023-12-09 16:00:00,3.66,3.328147
2023-12-10 16:00:00,3.48,4.163084
2023-12-11 16:00:00,2.71,3.2723327
2023-12-12 16:00:00,2.32,2.255103
2023-12-13 16:00:00,2.14,2.070117
2023-12-14 16:00:00,1.69,2.1086278
2023-12-15 16:00:00,1.59,1.9230735
2023-12-16 16:00:00,2.43,3.4751246
2023-12-17 16:00:00,3.45,4.0267606
2023-12-18 16:00:00,2.95,3.9735842
2023-12-19 16:00:00,2.13,3.819179
2023-12-20 16:00:00,2.77,3.073241
2023-12-21 16:00:00,5.53,4.6735907
2023-12-22 16:00:00,8.57,7.7418394
2023-12-23 16:00:00,7.83,9.461317
2023-12-24 16:00:00,10.86,9.261044
2023-12-25 16:00:00,9.05,13.596435
2023-12-26 16:00:00,7.13,12.674127
2023-12-27 16:00:00,5.42,7.5185733
2023-12-28 16:00:00,5.38,10.178507
2023-12-29 16:00:00,6.21,10.392592
2023-12-30 16:00:00,5.25,8.159309
2023-12-31 16:00:00,6.44,10.38689
2024-01-01 16:00:00,5.83,10.698889
2024-01-02 16:00:00,5.19,6.8134227
2024-01-03 16:00:00,4.66,7.2104793
2024-01-04 16:00:00,3.81,4.2926188
2024-01-05 16:00:00,3.05,4.946046
2024-01-06 16:00:00,2.86,3.7953577
2024-01-07 16:00:00,2.62,3.8731816
2024-01-08 16:00:00,2.21,2.7642179
2024-01-09 16:00:00,1.92,2.3307333
2024-01-10 16:00:00,1.63,2.1301916
2024-01-11 16:00:00,1.48,1.9433061
2024-01-12 16:00:00,1.25,1.7922304
2024-01-13 16:00:00,2.33,3.3073845
2024-01-14 16:00:00,2.41,3.417061
2024-01-15 16:00:00,1.92,2.741302
2024-01-16 16:00:00,1.6,1.9697428
2024-01-17 16:00:00,1.26,1.7731667
2024-01-18 16:00:00,1.12,1.4447267
2024-01-19 16:00:00,1.39,1.3402045
2024-01-20 16:00:00,1.64,2.019467
2024-01-21 16:00:00,2.76,3.6445422
2024-01-22 16:00:00,2.5,3.6357648
2024-01-23 16:00:00,2.12,2.7586527
2024-01-24 16:00:00,1.97,3.1894267
2024-01-25 16:00:00,1.65,1.6383333
2024-01-26 16:00:00,1.67,3.2273686
2024-01-27 16:00:00,1.66,2.0338955
2024-01-28 16:00:00,2.19,2.6170497
2024-01-29 16:00:00,1.86,2.0207574
2024-01-30 16:00:00,1.65,2.1283731
2024-01-31 16:00:00,1.5,1.8887566
2024-02-01 16:00:00,1.46,1.9970624
2024-02-02 16:00:00,1.61,2.8841286
2024-02-03 16:00:00,2.32,3.328147
2024-02-04 16:00:00,5.01,3.9083104
2024-02-05 16:00:00,3.56,6.257537
2024-02-06 16:00:00,3.36,5.137291
2024-02-07 16:00:00,2.1,2.5618603
2024-02-08 16:00:00,1.84,1.9819183
2024-02-09 16:00:00,1.61,1.9364952
2024-02-10 16:00:00,1.53,1.9981003
2024-02-11 16:00:00,1.59,1.9102663
